TIME P_Ch3_mesh1 P_Ch3_mesh2 P_Ch3_mesh3 P_Ch3_mesh4 P_Ch3_mesh5 P_Ch3_mesh6 P_Ch3_mesh7 P_Ch3_mesh8 P_Ch3_mesh9 P_Ch3_mesh10 P_Ch3_mesh11 P_Ch3_mesh12 P_Ch3_mesh13 P_Ch3_mesh14 P_Ch3_mesh15 
1.005929362504220080e+03 6.657547449290321674e+05 6.630005528569155140e+05 6.595763061862433096e+05 6.565064712165646488e+05 6.539255341277479893e+05 6.517430671091146069e+05 6.498584095286952797e+05 6.481978287168167299e+05 6.467051972285191296e+05 6.453212753662095638e+05 6.440740854942117585e+05 6.428903341069973540e+05 6.418952276833847864e+05 6.407551362809129059e+05 6.398188614327063551e+05
1.055929362504220080e+03 6.443305008702910272e+05 6.415723302671364509e+05 6.381450329617894022e+05 6.350925238202274777e+05 6.325469526883220533e+05 6.303944015142791905e+05 6.285347729083080776e+05 6.268959631074621575e+05 6.254229066890870454e+05 6.240562152511797613e+05 6.228253610775613924e+05 6.216557308294246905e+05 6.206747332923085196e+05 6.195474184929338517e+05 6.186209075628294377e+05
1.105929362504220080e+03 6.230805417813973036e+05 6.203214579102282878e+05 6.168978610361184692e+05 6.138772695704592625e+05 6.113858163872259902e+05 6.092823718115679221e+05 6.074636091054234421e+05 6.058608118198099546e+05 6.044195030260811327e+05 6.030807491966856178e+05 6.018767346376265632e+05 6.007296931438485626e+05 5.997716299665333936e+05 5.986655788192360196e+05 5.977533151014905889e+05
1.155929362504220080e+03 5.948123667401403654e+05 5.920534400856095599e+05 5.886251933496261481e+05 5.855867887908313423e+05 5.830675074678687379e+05 5.809375964467859594e+05 5.790944845828524558e+05 5.774685935795721598e+05 5.760052150803223485e+05 5.746460128312925808e+05 5.734180510129181203e+05 5.722521394673075993e+05 5.712696156685644528e+05 5.701380043480462627e+05 5.692167029576386558e+05
1.205929362504220080e+03 5.791852314813312842e+05 5.764330675254184753e+05 5.730001610050860327e+05 5.699898251481151674e+05 5.675326543086189777e+05 5.654651952295568772e+05 5.636796654574944405e+05 5.621061549340932397e+05 5.606883479978599353e+05 5.593682741548791528e+05 5.581816511761128204e+05 5.570493641945341369e+05 5.561048132408872480e+05 5.550121097202900564e+05 5.541075865438790061e+05
1.255929362504220080e+03 5.519196896541208262e+05 5.491581547191318823e+05 5.458317727386971237e+05 5.430278998959939927e+05 5.407408138904008083e+05 5.387927519551479490e+05 5.370960229561171727e+05 5.355945901908617234e+05 5.342400743123537395e+05 5.329743852021625498e+05 5.318394573851749301e+05 5.307478597300024703e+05 5.298468997682762565e+05 5.287920581956289243e+05 5.279127678288393654e+05
1.305929362504220080e+03 5.248033476960560074e+05 5.220268669602050213e+05 5.185732829036454204e+05 5.154548582581615774e+05 5.128182669861000613e+05 5.105920519156257506e+05 5.086772176470609847e+05 5.069984339896824677e+05 5.055005638053487637e+05 5.041174188930271775e+05 5.028792332781368750e+05 5.017056020823003491e+05 5.007316303584772977e+05 4.996103977426431375e+05 4.986983763778672437e+05
1.355929362504220080e+03 5.104241967410612851e+05 5.076070267829396180e+05 5.042931511693510110e+05 5.015244182746321894e+05 4.992766752001684508e+05 4.973793758153837989e+05 4.957340134973644163e+05 4.942840888172519044e+05 4.929826712679994525e+05 4.917647936579692760e+05 4.906835004423891660e+05 4.896336891959350905e+05 4.887873320034513599e+05 4.877763390396688483e+05 4.869288916901369812e+05
1.405929362504220080e+03 5.094744298761461396e+05 5.066780484723322443e+05 5.032255732450035284e+05 5.002121006915244507e+05 4.977802053350451752e+05 4.957603438826907659e+05 4.940313348165440257e+05 4.925177368897513370e+05 4.911646463925315766e+05 4.899083202587537817e+05 4.887806328676124685e+05 4.877057357676231768e+05 4.868141953619428677e+05 4.857634574082807521e+05 4.849066277613617131e+05
1.455929362504220080e+03 4.892249249531590031e+05 4.864810023660400766e+05 4.830303520212401636e+05 4.798875806989808916e+05 4.771595356506848475e+05 4.747956410033200518e+05 4.727211402687873342e+05 4.708744379120108788e+05 4.692040216484398698e+05 4.676587877640318475e+05 4.662647282637801836e+05 4.649443922401950695e+05 4.638311021090283757e+05 4.625744278308447683e+05 4.615745905841346248e+05
