TIME P_Ch3_mesh1 P_Ch3_mesh2 P_Ch3_mesh3 P_Ch3_mesh4 P_Ch3_mesh5 P_Ch3_mesh6 P_Ch3_mesh7 P_Ch3_mesh8 P_Ch3_mesh9 P_Ch3_mesh10 P_Ch3_mesh11 P_Ch3_mesh12 P_Ch3_mesh13 P_Ch3_mesh14 P_Ch3_mesh15 
0.000000000000000000e+00 1.594247949001022801e+07 1.593442533805396780e+07 1.591668893332055397e+07 1.589743324815772660e+07 1.588959095089949667e+07 1.587061452796534821e+07 1.585153053388138488e+07 1.583182744595946558e+07 1.582394441878006794e+07 1.580449994450080208e+07 1.578493648300473578e+07 1.576472468395829201e+07 1.575677890958294831e+07 1.573633927348280326e+07 1.572389676600678638e+07
5.000040000000043960e+01 7.565583806469283067e+06 7.564002329980225302e+06 7.561977600020026788e+06 7.560240923895994201e+06 7.558671075827525929e+06 7.557213840690933168e+06 7.555855693021675572e+06 7.554580839970072731e+06 7.553369720925191417e+06 7.552197302468097769e+06 7.551076588710404932e+06 7.549994682601587847e+06 7.548997278304677457e+06 7.547896244452983141e+06 7.546974471769459546e+06
1.000003999999985922e+02 6.212117548910440877e+06 6.210445761957835406e+06 6.208273429112464190e+06 6.206489579164805822e+06 6.204954820593757555e+06 6.203582287220262922e+06 6.202350068708657287e+06 6.201230464725849219e+06 6.200206496407239698e+06 6.199283533447237685e+06 6.198484132535678335e+06 6.197783308719459921e+06 6.197202629561182112e+06 6.196487562789982185e+06 6.195973356226217002e+06
1.502405034099261059e+02 2.217551833881126717e+06 2.217527055886794347e+06 2.217507510096503887e+06 2.217495013982582372e+06 2.217471871803555172e+06 2.217457156980922446e+06 2.217441710137548856e+06 2.217426638476969674e+06 2.217402263635328040e+06 2.217385015656893142e+06 2.217366908558921888e+06 2.217348568916601595e+06 2.217321418394540902e+06 2.217297691267029848e+06 2.217271874270322267e+06
2.004200391960640388e+02 7.712230137429736787e+05 7.694118440438798862e+05 7.669724030624780571e+05 7.650485100018517114e+05 7.635461550225744722e+05 7.621892144572333200e+05 7.614071007383378455e+05 7.613134176628320711e+05 7.612588291673050262e+05 7.611600009647919796e+05 7.610531502981394297e+05 7.609357541533994954e+05 7.608631437006860506e+05 7.607378161693874281e+05 7.606768425777585944e+05
2.553043625042201370e+02 7.705388654810810694e+05 7.675804857663570438e+05 7.641705497674364597e+05 7.612643145409269491e+05 7.589059275943657849e+05 7.569238381965181325e+05 7.552356387032020139e+05 7.537308864126517437e+05 7.523702184893072117e+05 7.511245103565640748e+05 7.500631157312031137e+05 7.489294888494521147e+05 7.480610042426767759e+05 7.478997291703770170e+05 7.478443650489046704e+05
3.053043625042201370e+02 7.191249302315453533e+05 7.163905536190270213e+05 7.129794791017912794e+05 7.098656056469425093e+05 7.071970944224022096e+05 7.049371243396815844e+05 7.029900600590447430e+05 7.012816859420977999e+05 6.997582011923509417e+05 6.983527043374775676e+05 6.970905293787025148e+05 6.959033429634454660e+05 6.949110838241683086e+05 6.937773446037392132e+05 6.928553560269180452e+05
3.553043625042201370e+02 7.213491419539343333e+05 7.185976650439653313e+05 7.151665830985761713e+05 7.118363637698090170e+05 7.087201318862772314e+05 7.060400701063681627e+05 7.037846188157605939e+05 7.018458896231960971e+05 7.001402436512424611e+05 6.985900471890282352e+05 6.971994653912979411e+05 6.959086272592931055e+05 6.948149501282532001e+05 6.935891668919816148e+05 6.926100211049661739e+05
4.053043625042201370e+02 8.157043005122563336e+05 8.127998196397179272e+05 8.093571351883372990e+05 8.063293212788532255e+05 8.038941118547451915e+05 8.018785147489533992e+05 8.001805312897496624e+05 7.987453823668792611e+05 7.974655216114135692e+05 7.962788895286784973e+05 7.952117217536248500e+05 7.941761364269396290e+05 7.933466237025477458e+05 7.923170059708763147e+05 7.914477227640990168e+05
4.553043625042201370e+02 7.606658388419066323e+05 7.581334120917754481e+05 7.547928450468229130e+05 7.517413147685213480e+05 7.491161631064629182e+05 7.468997112524169497e+05 7.449775615063473815e+05 7.432693215291016968e+05 7.417222288101733429e+05 7.402661547725293785e+05 7.389152481449504849e+05 7.376335577042605728e+05 7.365154622869471787e+05 7.352151961052722763e+05 7.342210130519591039e+05
5.053043625042201370e+02 7.913610028907896485e+05 7.886159991549334954e+05 7.852046146256175125e+05 7.820597470998928184e+05 7.793343514695742633e+05 7.770445203033218859e+05 7.750813927578092553e+05 7.733608367461857852e+05 7.718211036169840954e+05 7.704003318931921385e+05 7.691224904301482020e+05 7.679153163993484341e+05 7.669001796620880486e+05 7.657453226843659068e+05 7.647921790718605043e+05
5.553043625042200802e+02 7.989453681945885764e+05 7.962170344057775801e+05 7.928094699037312530e+05 7.896139049936051015e+05 7.867902567823370919e+05 7.844194521466753213e+05 7.823929482232675655e+05 7.806217579146608477e+05 7.790401703114019474e+05 7.775852598521260079e+05 7.762770196348502068e+05 7.750458812282858416e+05 7.740081669793423498e+05 7.728336551619339734e+05 7.718705850163821597e+05
6.053043625042200802e+02 7.927485354386508698e+05 7.900010253019110532e+05 7.865852759240742307e+05 7.833787949553440558e+05 7.805500091700820485e+05 7.781826320123224286e+05 7.761625520998439752e+05 7.743987541306185303e+05 7.728239681368145393e+05 7.713751505246103043e+05 7.700720866355372127e+05 7.688449926308490103e+05 7.678098252464142861e+05 7.666372199142304016e+05 7.656743903247864218e+05
6.584293625042200802e+02 7.813025699622327229e+05 7.785532487224596553e+05 7.751353071668328485e+05 7.719211979480945738e+05 7.690793700812709285e+05 7.666993098869906971e+05 7.646678668168350123e+05 7.628938613736769184e+05 7.613095605286015198e+05 7.598521328441344667e+05 7.585406649012037087e+05 7.573060225555525394e+05 7.562630463478702586e+05 7.550829699491253123e+05 7.541157449078458594e+05
7.084293625042200802e+02 7.689788448379097972e+05 7.662281241145946551e+05 7.628082860041926615e+05 7.595927445248302538e+05 7.567488754828084493e+05 7.543652181631742278e+05 7.523295009718942456e+05 7.505509539879289223e+05 7.489619576991335489e+05 7.474999784662441816e+05 7.461839497584297787e+05 7.449449155945111997e+05 7.438974339641102124e+05 7.427128739549298771e+05 7.417430938161435770e+05
