TIME T_liq_Ch3_mesh1 T_liq_Ch3_mesh2 T_liq_Ch3_mesh3 T_liq_Ch3_mesh4 T_liq_Ch3_mesh5 T_liq_Ch3_mesh6 T_liq_Ch3_mesh7 T_liq_Ch3_mesh8 T_liq_Ch3_mesh9 T_liq_Ch3_mesh10 T_liq_Ch3_mesh11 T_liq_Ch3_mesh12 T_liq_Ch3_mesh13 T_liq_Ch3_mesh14 T_liq_Ch3_mesh15 
0.000000000000000000e+00 5.633130860106322189e+02 5.633119256685481560e+02 5.650952238518750619e+02 5.683905670249185960e+02 5.715776551754569255e+02 5.746080290779710822e+02 5.774862214199708887e+02 5.802887290773561517e+02 5.830192241278057281e+02 5.856402827312845147e+02 5.882199012647158725e+02 5.908681662554778313e+02 5.935659694537130235e+02 5.950788334933969281e+02 5.951010033598602149e+02
5.000040000000043960e+01 5.657637771655504366e+02 5.657452218913788329e+02 5.657420748276164204e+02 5.657396896847676544e+02 5.657292565597209659e+02 5.657084619960353393e+02 5.656867725533841167e+02 5.656630031654135564e+02 5.656410392620945231e+02 5.656179792258163843e+02 5.655955098827445227e+02 5.655737083676087877e+02 5.655547132600023588e+02 5.655287195560198370e+02 5.654967537668333080e+02
1.000003999999985922e+02 5.614698029801110124e+02 5.617580212521304475e+02 5.615397604057856142e+02 5.614477150411217963e+02 5.613879434164434770e+02 5.613457602460579210e+02 5.613208039449689295e+02 5.613091645408022714e+02 5.613029579572331613e+02 5.613007978174002801e+02 5.612965773692285438e+02 5.612939935119039774e+02 5.612915482555220024e+02 5.612801689216204295e+02 5.612732527777843643e+02
1.502405034099261059e+02 5.484651831620577696e+02 5.488577403515271271e+02 5.485711346832038089e+02 5.484562199253992958e+02 5.483911167172204841e+02 5.483423579787561266e+02 5.483005186190441691e+02 5.482699535118595122e+02 5.482488489969363172e+02 5.482284864101420681e+02 5.482048618367376775e+02 5.481883924500851890e+02 5.481740554177949889e+02 5.481578608493393858e+02 5.482640201192162976e+02
2.004200391960640388e+02 5.152397744378231437e+02 5.157838478153419146e+02 5.154373605404098271e+02 5.153037934242742040e+02 5.152277602211028125e+02 5.151161742839414046e+02 5.150086169905819133e+02 5.149483869601805281e+02 5.149466938693678912e+02 5.149454205839585939e+02 5.149441845566616394e+02 5.149429479117894743e+02 5.149418544660542238e+02 5.149406610944655540e+02 5.149398070089702060e+02
2.553043625042201370e+02 4.412383363584288531e+02 4.434891889660368633e+02 4.483365917317357798e+02 4.490167196788993920e+02 4.489565491093877085e+02 4.488744377025147969e+02 4.488124820949005880e+02 4.487756288546260066e+02 4.487624632032371892e+02 4.487293741161691401e+02 4.486324582027249335e+02 4.486269164303201933e+02 4.486235106595324851e+02 4.486171773453999663e+02 4.486139191720236568e+02
3.053043625042201370e+02 4.420756734037631190e+02 4.423093447332482242e+02 4.451769130711812750e+02 4.477830488482069313e+02 4.480991857580045803e+02 4.480077821049426348e+02 4.479069701572523741e+02 4.478215919186651490e+02 4.477480853361339541e+02 4.476806889819756066e+02 4.476178617767873789e+02 4.475626484629202082e+02 4.475107836419783212e+02 4.474616399573961871e+02 4.473978421752445911e+02
3.553043625042201370e+02 4.395209589632955272e+02 4.400365286048165672e+02 4.424636327422194881e+02 4.465158636983641145e+02 4.478127296601539911e+02 4.478817767044594689e+02 4.477777483165845069e+02 4.476798461898007986e+02 4.475968724589109797e+02 4.475223950892511198e+02 4.474536860909323082e+02 4.473928839240187472e+02 4.473361943435463104e+02 4.472839735636338787e+02 4.472217746357670194e+02
4.053043625042201370e+02 4.369192131591137240e+02 4.371599216631094009e+02 4.408297562171202912e+02 4.472936647313989056e+02 4.499599060881882906e+02 4.502013523388687872e+02 4.501538086226384507e+02 4.500797984809508421e+02 4.500110140644779904e+02 4.499399059402996954e+02 4.498829382267373376e+02 4.498238900643546572e+02 4.497910795337340915e+02 4.496657433115396998e+02 4.493265424977757334e+02
4.553043625042201370e+02 4.389462104105215303e+02 4.388142932420332727e+02 4.438392854172790294e+02 4.523434957356622590e+02 4.536014677092874194e+02 4.535917518961845758e+02 4.534987925042012193e+02 4.534176565245448955e+02 4.533454578792909047e+02 4.532790229708991205e+02 4.532182507223856760e+02 4.531630417073394028e+02 4.531144603229433301e+02 4.530535655572398355e+02 4.528614235865959472e+02
5.053043625042201370e+02 4.398558837188278403e+02 4.398181609145815969e+02 4.443702185821197190e+02 4.521022269593024703e+02 4.533201405915655755e+02 4.533065179560169327e+02 4.532124431207333259e+02 4.531300529791774920e+02 4.530568649903628966e+02 4.529897296288228858e+02 4.529280435914064924e+02 4.528724336086529547e+02 4.528224585308229848e+02 4.527646732825617164e+02 4.526945369202313145e+02
5.553043625042200802e+02 4.399270392889408754e+02 4.399919622709529108e+02 4.444776110885379126e+02 4.517388164871080676e+02 4.528759894612726953e+02 4.528562219812868648e+02 4.527614053008796304e+02 4.526781084808563378e+02 4.526040193625776169e+02 4.525359786501257418e+02 4.524733977941705234e+02 4.524168276867187046e+02 4.523660688830389631e+02 4.523071194713103296e+02 4.522411051656317227e+02
6.053043625042200802e+02 4.394761677386326255e+02 4.396093301726043023e+02 4.441132051563760683e+02 4.513259168033870310e+02 4.524748952230163468e+02 4.524555346703414784e+02 4.523595133036552625e+02 4.522751339773989798e+02 4.521999810389970662e+02 4.521309353305669561e+02 4.520673814743150842e+02 4.520098874843125714e+02 4.519582945104586429e+02 4.518985946253179122e+02 4.518334173316533224e+02
6.553043625042200802e+02 4.389120474959983085e+02 4.390618461009296993e+02 4.435495892261548079e+02 4.508600374300040698e+02 4.520604642980968606e+02 4.520465156640731834e+02 4.519491263187422305e+02 4.518634837936525059e+02 4.517871524823243590e+02 4.517170532446894526e+02 4.516525067467578083e+02 4.515940819456072859e+02 4.515416302270954247e+02 4.514811910212687280e+02 4.514156444817005536e+02
7.053043625042200802e+02 4.383520603068735113e+02 4.385080586422811848e+02 4.429547669956471623e+02 4.503310261252393616e+02 4.515790048563848131e+02 4.515701814472755586e+02 4.514713764912697798e+02 4.513844389432882167e+02 4.513068982221437295e+02 4.512357006768127121e+02 4.511701220168018835e+02 4.511107305159790144e+02 4.510573897734843740e+02 4.509961882193860561e+02 4.509302700276113001e+02
7.584293625042200802e+02 4.378106810297969105e+02 4.379566008496013865e+02 4.424129921366999270e+02 4.498263472031309789e+02 4.510357344625234077e+02 4.510101109031166970e+02 4.509093380225721717e+02 4.508210373993979942e+02 4.507422806083255296e+02 4.506700013966723759e+02 4.506032451227009687e+02 4.505429352655510797e+02 4.504882213508772111e+02 4.504275909730059766e+02 4.503620199937656139e+02
