TIME T_liq_Ch3_mesh1 T_liq_Ch3_mesh2 T_liq_Ch3_mesh3 T_liq_Ch3_mesh4 T_liq_Ch3_mesh5 T_liq_Ch3_mesh6 T_liq_Ch3_mesh7 T_liq_Ch3_mesh8 T_liq_Ch3_mesh9 T_liq_Ch3_mesh10 T_liq_Ch3_mesh11 T_liq_Ch3_mesh12 T_liq_Ch3_mesh13 T_liq_Ch3_mesh14 T_liq_Ch3_mesh15 
0.000000000000000000e+00 5.633130860106322189e+02 5.633119256685481560e+02 5.650952238518750619e+02 5.683905670249185960e+02 5.715776551754569255e+02 5.746080290779710822e+02 5.774862214199708887e+02 5.802887290773561517e+02 5.830192241278057281e+02 5.856402827312845147e+02 5.882199012647158725e+02 5.908681662554778313e+02 5.935659694537130235e+02 5.950788334933969281e+02 5.951010033598602149e+02
5.000040000000043960e+01 5.659389763955357466e+02 5.659225394967110105e+02 5.659202836094059421e+02 5.659155000087057488e+02 5.659048282236342402e+02 5.658831942060238589e+02 5.658632230998161958e+02 5.658399495556699321e+02 5.658177102634393805e+02 5.657939569232681833e+02 5.657705027033869101e+02 5.657474959622878714e+02 5.657273176749195045e+02 5.657004143419003412e+02 5.656668604884241631e+02
1.000003999999985922e+02 5.617589008336940424e+02 5.618736803225799576e+02 5.617507342349448436e+02 5.616886158454492488e+02 5.616553554210136099e+02 5.616376243287855914e+02 5.616272644194825716e+02 5.616215002686714115e+02 5.616168141361613380e+02 5.616147190799334794e+02 5.616111084217808411e+02 5.616090444734247740e+02 5.616063970233905138e+02 5.615933446950040207e+02 5.615829397906099985e+02
1.502405034099261059e+02 5.506758713064625681e+02 5.510361969626509335e+02 5.507592302057151983e+02 5.506328763224314571e+02 5.505607270517049301e+02 5.505054178693379754e+02 5.504579116510217318e+02 5.504244353507309597e+02 5.504027484504832728e+02 5.503805492394709518e+02 5.503587417826515775e+02 5.503428569364499481e+02 5.503284820766108396e+02 5.503119913123912283e+02 5.504209412755684525e+02
2.004200391960640388e+02 5.239516905743709003e+02 5.245961293172920250e+02 5.240891404093905521e+02 5.239399552905658766e+02 5.238552684924599134e+02 5.238022815798552756e+02 5.237542089327318990e+02 5.237215967303050093e+02 5.237021729415666869e+02 5.236745984926236588e+02 5.236029955702177858e+02 5.235387622703101442e+02 5.235375476400412253e+02 5.235362238857112516e+02 5.235586209694455420e+02
2.553043625042201370e+02 4.284765250808230803e+02 4.360139631405540399e+02 4.460164036781636696e+02 4.529539150439046580e+02 4.541379476953898120e+02 4.541426537420544491e+02 4.540462612325175087e+02 4.539654074030248125e+02 4.539354244449788780e+02 4.538708299150438847e+02 4.538313276261882834e+02 4.537600299954524417e+02 4.537569770215023937e+02 4.537511587830363169e+02 4.537480370500059621e+02
3.053043625042201370e+02 4.314644409164382637e+02 4.310393407811117186e+02 4.325489547994113764e+02 4.371250709296475065e+02 4.421707433353669785e+02 4.433467135672647714e+02 4.434302790595196484e+02 4.433349071657232230e+02 4.432420995675784638e+02 4.431588683674439721e+02 4.430846364084714537e+02 4.430178848697335638e+02 4.429617340971589670e+02 4.428906730760270420e+02 4.428256249116288359e+02
3.553043625042201370e+02 4.350668893452629504e+02 4.353668620702425187e+02 4.373712440358932554e+02 4.410567301466708159e+02 4.451254219592266850e+02 4.468166559815541063e+02 4.470318413507979471e+02 4.469451835663927568e+02 4.468476937024256017e+02 4.467620659881915799e+02 4.466855355078819230e+02 4.466188482497802852e+02 4.465592287663094453e+02 4.464998927112793012e+02 4.464329296753812173e+02
4.053043625042201370e+02 4.346968834078363670e+02 4.347027734480580534e+02 4.387294532508398675e+02 4.462400533586557572e+02 4.503596722369782128e+02 4.508250105265893239e+02 4.507965778020964080e+02 4.507224043651161196e+02 4.506527668356178538e+02 4.505844643472449320e+02 4.505250252076170909e+02 4.504638212600513043e+02 4.504181298772090258e+02 4.503036707998997485e+02 4.499394054027966376e+02
4.553043625042201370e+02 4.370826505345194164e+02 4.367487065710852789e+02 4.417293312643190575e+02 4.516653260235007679e+02 4.535469594817595862e+02 4.536283277798445397e+02 4.535340081699201846e+02 4.534509412903935868e+02 4.533770346541452341e+02 4.533092772429075126e+02 4.532473943244223165e+02 4.531912251706637562e+02 4.531418909111467315e+02 4.530799690282100300e+02 4.528660388679374478e+02
5.053043625042201370e+02 4.384247025825491733e+02 4.382672144850124027e+02 4.428053683547995547e+02 4.517318442860207597e+02 4.535156288990097551e+02 4.535909358745611826e+02 4.534963724129382854e+02 4.534123258676235650e+02 4.533376752963274612e+02 4.532693435128443866e+02 4.532066721166974048e+02 4.531500904171107322e+02 4.530996106134851402e+02 4.530400331155057643e+02 4.529631989590642434e+02
5.553043625042200802e+02 4.389590965413373738e+02 4.388961268094671482e+02 4.434188169751025725e+02 4.518564980818233607e+02 4.534378470983664329e+02 4.534852256032889954e+02 4.533901417945826324e+02 4.533059077775943706e+02 4.532309384819683942e+02 4.531622492108625693e+02 4.530991652550584377e+02 4.530421264910296486e+02 4.529911858487378709e+02 4.529311925720165846e+02 4.528622295236164632e+02
6.053043625042200802e+02 4.390163980282384841e+02 4.390235427892886264e+02 4.435527220206913626e+02 4.517539575117302775e+02 4.532643224023225343e+02 4.532993694819515440e+02 4.532034509614638864e+02 4.531186372674808354e+02 4.530431133143722491e+02 4.529738754163234375e+02 4.529101979072734707e+02 4.528526158808511468e+02 4.528010324984396675e+02 4.527409109680792767e+02 4.526743547865390838e+02
6.553043625042200802e+02 4.388360327202840949e+02 4.388815142182079967e+02 4.433859718026551491e+02 4.514624542888274163e+02 4.529559541068341559e+02 4.529874383616108275e+02 4.528905516681401764e+02 4.528049110939012962e+02 4.527285847748426590e+02 4.526585877048279372e+02 4.525941384402576659e+02 4.525358322646901570e+02 4.524835338638818030e+02 4.524229237067215195e+02 4.523570347995513430e+02
7.053043625042200802e+02 4.385615509507875345e+02 4.386298993666637784e+02 4.431001607045055266e+02 4.511021869466710541e+02 4.525984109227978252e+02 4.526291431690814875e+02 4.525311907584974165e+02 4.524445886040273308e+02 4.523673243649726032e+02 4.522964605454895377e+02 4.522311901115829755e+02 4.521721157988075674e+02 4.521190644807829813e+02 4.520579372864193033e+02 4.519918583989583567e+02
7.584293625042200802e+02 4.382444044537581362e+02 4.383137610366113677e+02 4.427896561044996133e+02 4.507226954143019952e+02 4.521397598869319268e+02 4.521437695445204668e+02 4.520440043123496707e+02 4.519564310144094748e+02 4.518783808394459811e+02 4.518068438440553223e+02 4.517407595174058770e+02 4.516811503227737035e+02 4.516269637529161969e+02 4.515670594597703484e+02 4.515017327838743313e+02
8.096793625042200802e+02 4.385639992087945984e+02 4.385675673701134656e+02 4.430536716597392797e+02 4.497917567511067887e+02 4.507374973542775365e+02 4.506581944881712047e+02 4.505583762244452259e+02 4.504713775557209487e+02 4.503938440725507348e+02 4.503225794317225450e+02 4.502567409355370387e+02 4.501974114091995602e+02 4.501431308355209922e+02 4.500844980405821616e+02 4.500184874648765003e+02
8.596793625042200802e+02 4.383625479327448602e+02 4.383037812275395027e+02 4.427643488958331659e+02 4.481505223414376360e+02 4.487133108508525652e+02 4.486109753748675644e+02 4.485113840596578143e+02 4.484244413531347391e+02 4.483469455160628740e+02 4.482755283992458430e+02 4.482094612200293113e+02 4.481500225522723326e+02 4.480951631832783733e+02 4.480375830888895052e+02 4.479711406467976644e+02
9.096793625042200802e+02 4.383883237952658760e+02 4.385632089566688592e+02 4.434883019563128528e+02 4.463758595408633596e+02 4.465476421894186387e+02 4.464374052979454177e+02 4.463385032113466764e+02 4.462516108172887925e+02 4.461738107886916964e+02 4.461017586482029174e+02 4.460351131025875588e+02 4.459748038028045016e+02 4.459195250815233180e+02 4.458603960790783276e+02 4.457927078306446447e+02
9.596793625042200802e+02 4.370594599598750847e+02 4.373590749306232510e+02 4.422236191994469436e+02 4.446082808728361329e+02 4.447187307793514606e+02 4.446051222218173962e+02 4.445036206952887596e+02 4.444142971568810481e+02 4.443341888574209975e+02 4.442599081431102377e+02 4.441913065110514367e+02 4.441288922426758177e+02 4.440722537760387922e+02 4.440103219713359977e+02 4.439419954162708564e+02
1.009679362504220080e+03 4.356392386567013091e+02 4.359877953343333843e+02 4.408472677033683453e+02 4.431650225376050685e+02 4.432692649730159360e+02 4.431526288562975537e+02 4.430485227333455782e+02 4.429567793111939409e+02 4.428744406111846956e+02 4.427980283063556044e+02 4.427275833386627255e+02 4.426632380625495671e+02 4.426052647485390139e+02 4.425409228809976980e+02 4.424715745720877180e+02
1.059679362504220080e+03 4.342506782411360859e+02 4.346177602740839347e+02 4.394343353789381581e+02 4.418855361086377229e+02 4.420122542087172519e+02 4.418928831916201148e+02 4.417860777526487368e+02 4.416918914184413438e+02 4.416073564069725990e+02 4.415288959030517617e+02 4.414566496704486553e+02 4.413905087392784594e+02 4.413311575561260156e+02 4.412649112704251024e+02 4.411945669480281822e+02
1.109679362504220080e+03 4.330861542138713389e+02 4.334324436570016132e+02 4.381518189922665556e+02 4.407030811011906621e+02 4.408448502797151605e+02 4.407228110338033957e+02 4.406134548640113167e+02 4.405169678930174086e+02 4.404303515795589306e+02 4.403499499528090269e+02 4.402759855698573119e+02 4.402081328136101774e+02 4.401474613963112006e+02 4.400793969568684361e+02 4.400081444882692949e+02
1.159679362504220080e+03 4.320739019925966318e+02 4.324064888303278735e+02 4.371448431261169958e+02 4.395752662627846234e+02 4.396909293858453793e+02 4.395659215810804312e+02 4.394545688818566305e+02 4.393563032265034280e+02 4.392680757554218189e+02 4.391861647370978972e+02 4.391108509397119519e+02 4.390417003048899574e+02 4.389799054664391633e+02 4.389108070869017411e+02 4.388386714659606582e+02
1.209679362504220080e+03 4.310871764401595669e+02 4.314254939244306684e+02 4.361372625398370246e+02 4.384027340584949570e+02 4.384917933021410477e+02 4.383639046825654191e+02 4.382503650701133893e+02 4.381501313728907121e+02 4.380601022318828086e+02 4.379764954310275584e+02 4.378996694165394956e+02 4.378290176854810625e+02 4.377660287488410518e+02 4.376954600769342392e+02 4.376224567867910764e+02
1.259679362504220080e+03 4.300669173934400078e+02 4.304144174144048520e+02 4.350971179312039112e+02 4.372703087075935287e+02 4.373440984228524258e+02 4.372133791711887625e+02 4.370975448522625015e+02 4.369952434117294615e+02 4.369033276955854035e+02 4.368179484024879002e+02 4.367395477920334770e+02 4.366673264038448679e+02 4.366031085631893802e+02 4.365309435743730546e+02 4.364570373162685542e+02
