TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
0.000000000000000000e+00 1.594517866609182023e+07 1.594338732350764424e+07 1.612420265094235539e+07 1.612207197464756854e+07 1.611994131679932028e+07 1.611781067881467380e+07 1.611568006189271808e+07 1.611354946721146815e+07 1.611141889592744969e+07 1.610928834914603457e+07 1.610715782794462331e+07 1.610502733346711099e+07 1.610289686695855111e+07 1.610076642924921587e+07 1.609908520237527788e+07
5.000040000000043960e+01 7.591793869483570568e+06 7.591122230943369679e+06 7.590474425692314282e+06 7.589150411731488071e+06 7.587865127948701382e+06 7.586621237235631794e+06 7.585409109575359151e+06 7.584219693737746216e+06 7.583046751033332199e+06 7.581886501219035126e+06 7.580736797412426211e+06 7.579596323858893476e+06 7.578463770179593936e+06 7.577336482040684670e+06 7.576446277801244520e+06
1.000003999999985922e+02 6.421793084955199622e+06 6.420049970294332132e+06 6.417870112114075571e+06 6.415807240652701817e+06 6.413769796065645292e+06 6.411756233358971775e+06 6.409765116102411412e+06 6.407795126500825398e+06 6.405845069589777850e+06 6.403913917585812509e+06 6.402000534948612563e+06 6.400105239796066657e+06 6.398220650843847543e+06 6.396383293166838586e+06 6.394803265321709216e+06
1.502405034099261059e+02 3.374421629624700639e+06 3.373293010689799208e+06 3.370972273879094049e+06 3.369707167404570617e+06 3.368466604170672596e+06 3.367248802777212579e+06 3.366052387736291625e+06 3.364876186636861879e+06 3.363719153672852553e+06 3.362580313787836581e+06 3.361458957821689080e+06 3.360354611078320537e+06 3.359266854689141735e+06 3.358193856887618080e+06 3.357365417379074730e+06
2.004200391960640388e+02 8.787455349945891649e+05 8.771774041394513333e+05 8.753225627768324921e+05 8.734982778427561279e+05 8.717124928287219955e+05 8.699672154086461524e+05 8.682595510637718253e+05 8.665837753781651845e+05 8.649303972253394313e+05 8.632932932091761613e+05 8.616510444444945315e+05 8.606695695084260078e+05 8.605555307136971969e+05 8.605254702001782134e+05 8.605026837791983271e+05
2.553043625042201370e+02 8.031991517724548467e+05 8.005478047407674603e+05 7.972162441298188642e+05 7.939191146899377927e+05 7.906098796954178251e+05 7.872919486059853807e+05 7.839673798480988480e+05 7.806376913736914285e+05 7.773042213682429865e+05 7.739679916777518811e+05 7.713037419804245001e+05 7.701462867331831949e+05 7.700858742272884119e+05 7.700628518576790811e+05 7.700456297361075412e+05
3.053043625042201370e+02 7.623733122744790744e+05 7.596347589924782515e+05 7.562511606649141759e+05 7.529069092300428310e+05 7.495608146255412139e+05 7.462128672188076889e+05 7.428630325621940428e+05 7.395112779317251407e+05 7.361576110006868839e+05 7.328021346987325232e+05 7.294450862636765232e+05 7.260869163161001634e+05 7.231801312255141092e+05 7.217976159084098181e+05 7.217154060803183820e+05
3.553043625042201370e+02 7.578047426593753044e+05 7.550326573992262129e+05 7.516259095999504207e+05 7.482590579127093079e+05 7.448907628667943645e+05 7.415211083610421047e+05 7.381502378881244222e+05 7.347783356514719781e+05 7.314055866253041895e+05 7.280321152701872634e+05 7.246578883936044294e+05 7.212825945558280218e+05 7.179054955675792880e+05 7.145252980850310996e+05 7.118546589007099392e+05
4.053043625042201370e+02 8.623060242662288947e+05 8.594007739438872086e+05 8.557674625059722457e+05 8.522298972197078401e+05 8.486872982170366449e+05 8.451404771760316798e+05 8.415899105716841295e+05 8.380358080784387421e+05 8.344782133054842707e+05 8.309170894831592450e+05 8.273523667733335169e+05 8.237839415669447044e+05 8.202116607108523604e+05 8.166350994667927735e+05 8.138089871288985014e+05
4.553043625042201370e+02 8.552103764895357890e+05 8.524419667933910387e+05 8.489903072412599577e+05 8.456241798401352717e+05 8.422546371137397364e+05 8.388816928071575239e+05 8.355052833417038200e+05 8.321252858954316471e+05 8.287415579978928436e+05 8.253539957802828867e+05 8.219625845749781001e+05 8.185674448915215908e+05 8.151688556289111730e+05 8.117672098355614580e+05 8.090810170112309279e+05
