TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
5.115543625042201370e+02 2.918426716386553831e+06 2.916839701741027180e+06 2.914908744668786414e+06 2.913088745051403996e+06 2.911319537275832612e+06 2.909596625066801906e+06 2.907917169764294289e+06 2.906269628501655068e+06 2.904638365883864928e+06 2.903014648040636443e+06 2.901386277138919570e+06 2.899748937044569757e+06 2.898076289974319749e+06 2.896421034605579451e+06 2.894958898559644353e+06
5.615543625042200802e+02 1.809488789134054212e+06 1.806773852444938617e+06 1.803549827930815518e+06 1.800244388571599731e+06 1.796932297868183348e+06 1.793613104851833545e+06 1.790286429229269968e+06 1.786951974567911355e+06 1.783609536311298842e+06 1.780259015316234203e+06 1.776900433145351941e+06 1.773533936378388666e+06 1.770159788992381189e+06 1.766778362936199410e+06 1.764105214805948315e+06
6.115543625042200802e+02 1.460337655227477895e+06 1.457521597147037974e+06 1.454016537868158193e+06 1.450591457732849522e+06 1.447162374216814758e+06 1.443729510780742392e+06 1.440293174865710549e+06 1.436853788032056065e+06 1.433411927132810000e+06 1.429968388407372637e+06 1.426524288752853638e+06 1.423081205568796489e+06 1.419641341413676040e+06 1.416207661701086443e+06 1.413504465624152450e+06
6.615543625042200802e+02 1.455794491996065015e+06 1.453012013310900191e+06 1.449524325368000660e+06 1.446124155808918178e+06 1.442721289951343322e+06 1.439317241183189210e+06 1.435913165586164454e+06 1.432510324939885410e+06 1.429110139665553346e+06 1.425714115492717363e+06 1.422323692889898317e+06 1.418940026959528448e+06 1.415563719676651293e+06 1.412194565343558555e+06 1.409539594234286342e+06
7.115543625042200802e+02 1.443536249693225836e+06 1.440742666222387459e+06 1.437263194875700632e+06 1.433872864865565440e+06 1.430484245245813392e+06 1.427098414197533857e+06 1.423716322893321048e+06 1.420338676290639443e+06 1.416965779951767530e+06 1.413597404902422102e+06 1.410232732266513864e+06 1.406870443185452139e+06 1.403508985118615907e+06 1.400146950603398029e+06 1.397492764179140329e+06
7.615543625042200802e+02 1.424164392478259979e+06 1.421385290470147738e+06 1.417926464082866209e+06 1.414558299256623257e+06 1.411193210591205629e+06 1.407831159466300393e+06 1.404471805510171456e+06 1.401114538896296173e+06 1.397758555077754427e+06 1.394402958899154095e+06 1.391046871120019350e+06 1.387689509387831436e+06 1.384330230566936079e+06 1.380968545548642986e+06 1.378313799002896063e+06
8.115543625042200802e+02 1.418313357900497271e+06 1.415549243680358166e+06 1.412108659808874130e+06 1.408756750113716815e+06 1.405405822280146414e+06 1.402055329171578633e+06 1.398704692042566603e+06 1.395353347774072783e+06 1.392000783992472570e+06 1.388646560660317540e+06 1.385290319405318936e+06 1.381931783533761278e+06 1.378570752205270343e+06 1.375207093608505093e+06 1.372550806536508957e+06
8.615543625042200802e+02 1.423128483184640761e+06 1.420372240646889433e+06 1.416940084685742855e+06 1.413594251624689205e+06 1.410247509727345081e+06 1.406899515742349438e+06 1.403549968231229810e+06 1.400198611741998699e+06 1.396845236413182691e+06 1.393489675343068782e+06 1.390131801067361841e+06 1.386771522039045813e+06 1.383408779723030515e+06 1.380043547180409776e+06 1.377386156114009907e+06
9.115543625042200802e+02 1.433296736634306610e+06 1.430542636032545706e+06 1.427112363133296836e+06 1.423767337117157178e+06 1.420420632266875356e+06 1.417072087855962105e+06 1.413721570539028384e+06 1.410368973323373822e+06 1.407014213925787713e+06 1.403657233087691013e+06 1.400297992642578902e+06 1.396936473102697637e+06 1.393572670776236104e+06 1.390206595200896496e+06 1.387548698168663308e+06
9.615543625042200802e+02 1.442310997973413672e+06 1.439556926331433933e+06 1.436126386214215774e+06 1.432780758301406167e+06 1.429433222234341316e+06 1.426083704721632646e+06 1.422732148387882859e+06 1.419378510265846737e+06 1.416022759839745471e+06 1.412664877045958303e+06 1.409304850204323186e+06 1.405942673971067416e+06 1.402578347495880909e+06 1.399211873200886184e+06 1.396553737350504147e+06
1.011554362504220080e+03 1.447130152366807917e+06 1.444375607438286068e+06 1.440944391238342272e+06 1.437598006979897851e+06 1.434249672204726143e+06 1.430899350867677713e+06 1.427547014432423515e+06 1.424192640383677324e+06 1.420836210660075070e+06 1.417477710298452061e+06 1.414117126227764878e+06 1.410754446266200626e+06 1.407389658443907974e+06 1.404022750927461777e+06 1.401364282157863490e+06
1.061554362504220080e+03 1.447503779427408241e+06 1.444748675376924453e+06 1.441316753142989473e+06 1.437969648684509564e+06 1.434620590784457978e+06 1.431269553905722685e+06 1.427916515247465111e+06 1.424561453826807672e+06 1.421204349659983767e+06 1.417845183206210146e+06 1.414483934965365101e+06 1.411120585234450176e+06 1.407755114087071503e+06 1.404387501763356617e+06 1.401728457276588539e+06
1.111554362504220080e+03 1.444267650213999674e+06 1.441511943197929999e+06 1.438079252829514444e+06 1.434731384464667644e+06 1.431381547989788931e+06 1.428029718654534081e+06 1.424675872627059929e+06 1.421319986517723650e+06 1.417962036997026531e+06 1.414602000588186784e+06 1.411239853517860640e+06 1.407875571628323523e+06 1.404509130418504123e+06 1.401140505419745576e+06 1.398480629603702808e+06
1.161554362504220080e+03 1.410505442123630550e+06 1.407749301989738131e+06 1.404315465429851552e+06 1.400967017690511420e+06 1.397616573110845406e+06 1.394264105588291772e+06 1.390909589222577866e+06 1.387552997847893042e+06 1.384194304587133462e+06 1.380833481469726423e+06 1.377470498825450428e+06 1.374105323361761868e+06 1.370737910778012127e+06 1.367368181066566613e+06 1.364707242680894909e+06
1.211554362504220080e+03 1.337295878260319354e+06 1.334541635819763644e+06 1.331109354336312041e+06 1.327763168537973193e+06 1.324414976412101416e+06 1.321064746573528508e+06 1.317712442484169034e+06 1.314358014979702188e+06 1.311001387080820743e+06 1.307642425217386801e+06 1.304280890048799105e+06 1.300916363668796606e+06 1.297548160390515812e+06 1.294175243734545773e+06 1.291509375665771775e+06
