TIME T_sat_Ch2_mesh1 T_sat_Ch2_mesh2 T_sat_Ch2_mesh3 T_sat_Ch2_mesh4 T_sat_Ch2_mesh5 T_sat_Ch2_mesh6 T_sat_Ch2_mesh7 T_sat_Ch2_mesh8 T_sat_Ch2_mesh9 T_sat_Ch2_mesh10 T_sat_Ch2_mesh11 T_sat_Ch2_mesh12 T_sat_Ch2_mesh13 T_sat_Ch2_mesh14 T_sat_Ch2_mesh15 
1.756054362504220080e+03 4.204388178387599737e+02 4.202130320914010326e+02 4.199241893284612388e+02 4.196457667274435721e+02 4.193920696215525368e+02 4.191764274738974905e+02 4.189926281843391394e+02 4.188319279619736335e+02 4.186891505793787474e+02 4.185563261155672308e+02 4.184349067804141669e+02 4.183208888307129314e+02 4.182231898616915942e+02 4.181104225059750661e+02 4.180259725699213504e+02
1.806054362504220080e+03 4.182477088911222154e+02 4.180030899478429092e+02 4.177040856094902210e+02 4.174482320264377222e+02 4.172405988393815051e+02 4.170649884956598044e+02 4.169133876128541942e+02 4.167796320373877279e+02 4.166597465776541185e+02 4.165476307015417206e+02 4.164479964735126032e+02 4.163512236865940395e+02 4.162728497396370244e+02 4.161793751381913467e+02 4.161022877064924614e+02
1.856054362504220080e+03 4.173458413633289865e+02 4.170982263856391228e+02 4.167870842813058516e+02 4.165088030593771009e+02 4.162776356651937704e+02 4.160825933658285862e+02 4.159140670395023562e+02 4.157653267562393467e+02 4.156314460807108162e+02 4.155068888450036297e+02 4.153940596049175156e+02 4.152866440456087958e+02 4.151959717835007950e+02 4.150905989226487804e+02 4.150073074194294804e+02
1.906054362504220080e+03 4.159204229950182139e+02 4.156683624770071788e+02 4.153480037450179907e+02 4.150705645491995028e+02 4.148497627336428195e+02 4.146649008981737552e+02 4.145058933350520647e+02 4.143660456654092741e+02 4.142405773490785350e+02 4.141236011654414142e+02 4.140191400954092842e+02 4.139183803093823144e+02 4.138358407661460205e+02 4.137381524739525958e+02 4.136576597029164191e+02
1.956054362504220080e+03 4.148050630759935302e+02 4.145459814257450830e+02 4.142131069640187206e+02 4.138861105629699750e+02 4.135604656811804034e+02 4.132513415866936271e+02 4.129843350535917352e+02 4.127605301440012795e+02 4.125700593210038960e+02 4.123992475962143089e+02 4.122468735516450806e+02 4.121068680749913824e+02 4.119880402585016554e+02 4.118545144085271659e+02 4.117548843968446022e+02
2.006054362504220080e+03 4.130758154694195241e+02 4.127960332613455421e+02 4.124480123573670767e+02 4.121150180823565279e+02 4.118172864558147239e+02 4.115668006451431893e+02 4.113538488278529712e+02 4.111683173650876597e+02 4.110038543355478851e+02 4.108515807913012168e+02 4.107131603534485862e+02 4.105830876674929186e+02 4.104736105121141918e+02 4.103381691327908243e+02 4.102280258297369073e+02
2.056054362504220080e+03 4.120236614361527359e+02 4.117419586751065594e+02 4.113904098826063205e+02 4.110803033730468314e+02 4.108234980887407346e+02 4.106054114979589258e+02 4.104169071670630728e+02 4.102505617980546049e+02 4.101011726873046541e+02 4.099620402602824356e+02 4.098371426545845679e+02 4.097170846506065800e+02 4.096174914986461886e+02 4.095008876329304712e+02 4.094080115742830799e+02
2.106054362504220080e+03 4.104832097215067392e+02 4.100805712002531891e+02 4.096802260036083680e+02 4.093206208942667104e+02 4.090929537463169936e+02 4.089705324880268336e+02 4.088800580161268954e+02 4.087935387531430820e+02 4.087020749699205453e+02 4.086232635386294874e+02 4.085495263934763557e+02 4.084738768563908025e+02 4.084091771048302917e+02 4.083287691005959914e+02 4.082916410066686126e+02
2.156054362504220080e+03 4.105280308398038187e+02 4.102340937258855433e+02 4.098656664805774881e+02 4.095410105082141854e+02 4.092769623639254633e+02 4.090555847695843568e+02 4.088644294567229736e+02 4.086950090923261882e+02 4.085418205410188079e+02 4.083983097760416854e+02 4.082674156728359662e+02 4.081419647372910049e+02 4.080350855515276862e+02 4.079093947865588916e+02 4.078119193667089917e+02
2.206054362504220080e+03 4.108523094286917967e+02 4.105640942958984851e+02 4.101998565834847454e+02 4.098663007223065051e+02 4.095817196972112697e+02 4.093426525098537354e+02 4.091373561612608682e+02 4.089570613641951127e+02 4.087955181680010810e+02 4.086460317250604248e+02 4.085114163994973069e+02 4.083833437399745208e+02 4.082759154784029079e+02 4.081522677340966538e+02 4.080541957635822428e+02
2.256054362504220080e+03 4.115843626436810041e+02 4.112979024157000367e+02 4.109386666410732118e+02 4.105988752931150430e+02 4.103000687475762334e+02 4.100518066555465566e+02 4.098412257097511997e+02 4.096580218420845085e+02 4.094949773168349338e+02 4.093448924488479292e+02 4.092099618128193015e+02 4.090821929336473204e+02 4.089749373073441916e+02 4.088515040164518268e+02 4.087544593183303050e+02
2.306054362504220080e+03 4.117842498008698158e+02 4.115024779536415735e+02 4.111453917914610656e+02 4.107960819647480548e+02 4.104698700675141367e+02 4.101923877237828151e+02 4.099593513247535839e+02 4.097587560867879120e+02 4.095821316503187859e+02 4.094212718465223588e+02 4.092780930637773054e+02 4.091430495480249192e+02 4.090308980511637174e+02 4.089025852337937295e+02 4.088028335345857727e+02
2.356054362504220080e+03 4.120416393457603590e+02 4.117531116821264163e+02 4.113964445318312642e+02 4.110788847189466537e+02 4.108195510521358074e+02 4.106035794261492242e+02 4.104185784635515688e+02 4.102568227902359581e+02 4.101121094754984142e+02 4.099779000422644799e+02 4.098587460151179584e+02 4.097433433093121948e+02 4.096500508084170633e+02 4.095394747132010025e+02 4.094486144579562961e+02
2.406054362504220080e+03 4.122336347206384062e+02 4.119481301267131812e+02 4.115932527119750262e+02 4.112646468345795938e+02 4.109852911547368990e+02 4.107552364577247772e+02 4.105606180084130301e+02 4.103920301626387186e+02 4.102424471058034214e+02 4.101045419721450003e+02 4.099829613071484573e+02 4.098652830619963083e+02 4.097712369168182249e+02 4.096589763208966701e+02 4.095698826236913987e+02
2.456054362504220080e+03 4.126268657834790474e+02 4.123486333458766353e+02 4.119988719836973132e+02 4.116752420140423965e+02 4.113968920772979345e+02 4.111638553068790998e+02 4.109641468236621904e+02 4.107894357455345471e+02 4.106331205812846292e+02 4.104889290688070105e+02 4.103599574308822753e+02 4.102366659283238164e+02 4.101345648463897646e+02 4.100162252930059594e+02 4.099217008423239577e+02
2.506054362504220080e+03 4.128391444723046106e+02 4.125588395615874902e+02 4.122087861439279664e+02 4.118705851104390945e+02 4.115647969857984094e+02 4.113081729911979778e+02 4.110914389252908450e+02 4.109044140360421693e+02 4.107394349211879216e+02 4.105887300426779802e+02 4.104554908120504706e+02 4.103282946531867310e+02 4.102250105034157741e+02 4.101038819122915697e+02 4.100092307893928592e+02
2.556054362504220080e+03 4.131147299151148218e+02 4.128415660356488388e+02 4.124966576142155645e+02 4.121830913093668869e+02 4.119166311860851692e+02 4.116896028836838468e+02 4.114920369932702897e+02 4.113168767033478730e+02 4.111583857063902201e+02 4.110110195652628136e+02 4.108771720218095993e+02 4.107496823171077835e+02 4.106413550396246137e+02 4.105169100977999506e+02 4.104200027584939789e+02
2.606054362504220080e+03 4.133891749550982695e+02 4.131127597666632028e+02 4.127689110655423406e+02 4.124653236410657655e+02 4.122166918430891656e+02 4.120068691655080215e+02 4.118255816596181376e+02 4.116655544771891755e+02 4.115214670623826123e+02 4.113872481885259731e+02 4.112668350492723448e+02 4.111507213929540967e+02 4.110546762808597236e+02 4.109417459381779167e+02 4.108513932465524476e+02
2.656054362504220080e+03 4.140290948743526087e+02 4.137591173303861751e+02 4.134210788387487696e+02 4.131174330234114791e+02 4.128633795436759328e+02 4.126478017302265471e+02 4.124608562022060596e+02 4.122956606916438886e+02 4.121466539522642734e+02 4.120081988537647248e+02 4.118836114178629373e+02 4.117640020852631437e+02 4.116643932605782652e+02 4.115482366892470054e+02 4.114561883717467481e+02
2.706054362504220080e+03 4.146026907293760360e+02 4.143367514906290126e+02 4.140040128664005579e+02 4.137089164835355177e+02 4.134644398223205712e+02 4.132560714791699183e+02 4.130747426178776323e+02 4.129139727203877896e+02 4.127687321921816874e+02 4.126332341116260523e+02 4.125117995704012515e+02 4.123936720627523869e+02 4.122977448867551402e+02 4.121790911181894330e+02 4.120894106505635364e+02
2.756054362504220080e+03 4.150350153799190593e+02 4.147718073019735812e+02 4.144503438493432554e+02 4.141742082502727271e+02 4.139454361932921529e+02 4.137485165445254438e+02 4.135760078494133722e+02 4.134223843946057855e+02 4.132826055412638198e+02 4.131529792925849165e+02 4.130334090412366663e+02 4.129242818597738847e+02 4.128215102931753790e+02 4.127290524202807660e+02 4.126092271053752825e+02
2.806054362504220080e+03 4.150576801653611483e+02 4.147950984886628021e+02 4.144818778738671199e+02 4.142193900408952913e+02 4.140010105417436534e+02 4.138123662985324813e+02 4.136463987755834069e+02 4.134982358396493396e+02 4.133630205614941246e+02 4.132372499136283750e+02 4.131211579442361881e+02 4.130148122960684987e+02 4.129151421911766420e+02 4.128242001835779433e+02 4.127112151513529739e+02
2.856054362504220080e+03 4.149733421360281795e+02 4.147109068417980779e+02 4.143904993743728937e+02 4.141158818246875626e+02 4.138875603010083637e+02 4.136907224314005589e+02 4.135185680343977879e+02 4.133648636743204747e+02 4.132263294970066454e+02 4.130949174559332278e+02 4.129807016106360038e+02 4.128613606578392137e+02 4.127767505071099663e+02 4.127708167836595976e+02 4.127695259908868479e+02
2.906054362504220080e+03 4.134659497620559137e+02 4.131915370542135406e+02 4.128475660642801586e+02 4.125111858949794623e+02 4.121859724036357306e+02 4.118960634770980960e+02 4.116534779396172326e+02 4.114468278434645754e+02 4.112637461314383813e+02 4.110980024647641358e+02 4.109489356291641684e+02 4.108093220059871555e+02 4.106901378998843484e+02 4.105571034462691955e+02 4.104527011633370535e+02
2.956054362504220080e+03 4.127664831039318187e+02 4.124817857201251741e+02 4.121273387772715751e+02 4.117803935227731813e+02 4.114334623792715320e+02 4.111032309224742676e+02 4.108190816572017638e+02 4.105813854723760414e+02 4.103778357662586131e+02 4.101977806731898681e+02 4.100397274991875065e+02 4.098934668875273815e+02 4.097723401836863673e+02 4.096362039833326207e+02 4.095323057070302184e+02
3.006054362504220080e+03 4.122388644966671336e+02 4.119588719319712027e+02 4.116042881843522991e+02 4.112582002937424477e+02 4.109149623931451742e+02 4.105965984840873944e+02 4.103298285305234572e+02 4.100914093632558206e+02 4.098827122105049057e+02 4.096976092623930299e+02 4.095400092841230730e+02 4.093981509735510258e+02 4.092785412326302890e+02 4.091401934357742221e+02 4.090345585722517399e+02
3.056054362504220080e+03 4.115643098482493656e+02 4.112640030638342523e+02 4.109014162082368102e+02 4.105647071405863926e+02 4.102680586828046216e+02 4.100142790036737779e+02 4.097981686540308033e+02 4.096119647382483322e+02 4.094470541205401446e+02 4.093003135546413205e+02 4.091710996219214280e+02 4.090513640640033941e+02 4.089505150829701847e+02 4.088327641764303166e+02 4.087627197521036919e+02
3.106054362504220080e+03 4.114428578222181159e+02 4.111544277409718688e+02 4.107940226146939722e+02 4.104555142815740396e+02 4.101583701507641422e+02 4.099133290068846236e+02 4.097053308585153104e+02 4.095238106086389962e+02 4.093614584688252762e+02 4.092124171566218820e+02 4.090793661376892487e+02 4.089523611832480583e+02 4.088481407014066917e+02 4.087243792025417406e+02 4.086313862892858992e+02
3.156054362504220080e+03 4.112698996296693394e+02 4.109849926798888191e+02 4.106242175584098959e+02 4.103012023271011230e+02 4.100287542624329262e+02 4.097946598549584678e+02 4.095897588546318957e+02 4.094066892032114993e+02 4.092401198601961596e+02 4.090847149226743227e+02 4.089436878445902153e+02 4.088084113133450046e+02 4.086940023430941551e+02 4.085625472191682661e+02 4.084588665917187313e+02
3.206054362504220080e+03 4.112040641271746608e+02 4.109134882287298751e+02 4.105523562622568647e+02 4.102021822628022392e+02 4.098869097979874709e+02 4.096264300432537766e+02 4.093988152181135547e+02 4.091965784533890655e+02 4.090130440977765147e+02 4.088458568521877510e+02 4.086958520303095383e+02 4.085544002108653103e+02 4.084346944727284381e+02 4.082967634137806385e+02 4.081932344441329974e+02
3.256054362504220080e+03 4.113235918702697518e+02 4.110431607468035509e+02 4.106830041196748198e+02 4.103304778052521442e+02 4.099762703084784334e+02 4.096407463339326114e+02 4.093459468726808268e+02 4.090897967879444082e+02 4.088636433363620881e+02 4.086592738341705626e+02 4.084744830085126068e+02 4.083037081041881606e+02 4.081544078276734808e+02 4.079925783174074922e+02 4.078703229012528482e+02
3.306054362504220080e+03 4.108856067647229224e+02 4.105979895265181767e+02 4.102318991985772527e+02 4.098717931784230473e+02 4.095173926680168961e+02 4.092042981173325416e+02 4.089421436469617106e+02 4.087118794019041275e+02 4.085097091512646443e+02 4.083271905292656356e+02 4.081666846383027405e+02 4.080159199897055373e+02 4.078934706249814326e+02 4.077531900963271596e+02 4.076459042122423853e+02
3.356054362504220080e+03 4.104739820095567211e+02 4.101779360190067223e+02 4.098075622545031820e+02 4.094462889934825398e+02 4.091190140698151936e+02 4.088493761157556605e+02 4.086215757193612603e+02 4.084234873054599575e+02 4.082460806169993930e+02 4.080831843513834087e+02 4.079358822819913257e+02 4.077965569325683646e+02 4.076775512838777331e+02 4.075425545932443470e+02 4.074366031790904685e+02
3.406054362504220080e+03 4.105025671311623796e+02 4.102042988977345317e+02 4.098326257571676479e+02 4.094692129487665397e+02 4.091334073324183009e+02 4.088513474560985514e+02 4.086139206062499625e+02 4.084087224656793751e+02 4.082268276927680972e+02 4.080606539265807555e+02 4.079115389059689392e+02 4.077708146050749178e+02 4.076518606504276931e+02 4.075170893457639636e+02 4.074115642249241205e+02
3.456054362504220080e+03 4.105171217343408898e+02 4.102218820803450399e+02 4.098509885041256666e+02 4.094881193114347866e+02 4.091373101618872283e+02 4.088275381179057035e+02 4.085677337508025744e+02 4.083449402417294323e+02 4.081488515756141737e+02 4.079712476546037578e+02 4.078124234304866036e+02 4.076637681536436162e+02 4.075379302355239020e+02 4.073971435610060325e+02 4.072879174566223810e+02
