TIME T_sat_Ch2_mesh1 T_sat_Ch2_mesh2 T_sat_Ch2_mesh3 T_sat_Ch2_mesh4 T_sat_Ch2_mesh5 T_sat_Ch2_mesh6 T_sat_Ch2_mesh7 T_sat_Ch2_mesh8 T_sat_Ch2_mesh9 T_sat_Ch2_mesh10 T_sat_Ch2_mesh11 T_sat_Ch2_mesh12 T_sat_Ch2_mesh13 T_sat_Ch2_mesh14 T_sat_Ch2_mesh15 
0.000000000000000000e+00 6.201579828352394088e+02 6.201161684746650735e+02 6.200256989691380340e+02 6.199272231053221276e+02 6.198868806535581371e+02 6.197896829437249835e+02 6.196917697030714862e+02 6.195906724934020531e+02 6.195499986267027452e+02 6.194500745368804928e+02 6.193493750455736517e+02 6.192453247865532830e+02 6.192042043552357882e+02 6.190987783798790360e+02 6.190346500734269739e+02
5.000040000000043960e+01 5.677121046436951701e+02 5.676877187785689785e+02 5.676486344526139192e+02 5.676076281388562847e+02 5.675783450377793997e+02 5.675381405356154119e+02 5.674979505257413166e+02 5.674571372783955212e+02 5.674287775060577133e+02 5.673885424713969314e+02 5.673482759765615810e+02 5.673073249725349569e+02 5.672797152779359067e+02 5.672384544740065166e+02 5.672112838337519634e+02
1.000003999999985922e+02 5.652713615907993017e+02 5.652514760326450869e+02 5.652259594647700851e+02 5.652010101212604241e+02 5.651772447865664617e+02 5.651536774117865889e+02 5.651310121888939193e+02 5.651091276776680843e+02 5.650887633756678952e+02 5.650683020419751301e+02 5.650484850343691505e+02 5.650291718933989387e+02 5.650113654780666366e+02 5.649925983793714295e+02 5.649782498501942882e+02
1.502405034099261059e+02 5.632417486154045037e+02 5.632214356269938662e+02 5.631965293145677833e+02 5.631741176978728163e+02 5.631539758586879998e+02 5.631355319881504329e+02 5.631185383074217725e+02 5.631027472253039150e+02 5.630879259443257752e+02 5.630737455168925862e+02 5.630603097210434953e+02 5.630474706146524113e+02 5.630355611886122915e+02 5.630225477344059755e+02 5.630123966802540281e+02
2.004200391960640388e+02 5.615247248630050763e+02 5.615040503411163400e+02 5.614798006149992489e+02 5.614592536164209378e+02 5.614415195238758542e+02 5.614259781888990801e+02 5.614122727393173591e+02 5.614001166655020825e+02 5.613889851042840746e+02 5.613786685900198563e+02 5.613693158823643898e+02 5.613607873927109040e+02 5.613531865692201563e+02 5.613439283143602552e+02 5.613365176806119052e+02
2.534293625042201370e+02 5.588283096815824820e+02 5.588090572976636849e+02 5.587839341273630680e+02 5.587626836688702952e+02 5.587442892844701419e+02 5.587276902329249424e+02 5.587127204642641800e+02 5.586991702075546300e+02 5.586866627248932673e+02 5.586750540380089660e+02 5.586645758820354786e+02 5.586551283658252487e+02 5.586468635097181732e+02 5.586370313183422240e+02 5.586291836510761186e+02
3.034293625042201370e+02 5.545503289477198905e+02 5.545305578388338290e+02 5.545049694775894977e+02 5.544826532767361869e+02 5.544626972668681901e+02 5.544445016095644405e+02 5.544278492987298250e+02 5.544125386150595887e+02 5.543982006361366075e+02 5.543845632892578124e+02 5.543718094278215176e+02 5.543598397308236372e+02 5.543487245512388881e+02 5.543375322605419342e+02 5.543264333083172914e+02
3.565543625042201370e+02 5.461171039224585684e+02 5.460956239759331083e+02 5.460682511981265179e+02 5.460445161191437364e+02 5.460232845117852776e+02 5.460039221815866313e+02 5.459862253846797557e+02 5.459699446428130614e+02 5.459547880962069257e+02 5.459401291313572528e+02 5.459269604140267802e+02 5.459134261600866012e+02 5.459045546851018571e+02 5.459028834931862093e+02 5.459019003853001095e+02
4.065543625042201370e+02 5.361938028569688868e+02 5.361702241008397323e+02 5.361391822181117277e+02 5.361126219122534167e+02 5.360889686531104417e+02 5.360673946849972253e+02 5.360476477508670996e+02 5.360294985078113541e+02 5.360124753821480681e+02 5.359962440293763848e+02 5.359810602592211808e+02 5.359671564972420583e+02 5.359603486688475869e+02 5.359591762290313000e+02 5.359582992830214607e+02
4.565543625042201370e+02 5.239080238998977848e+02 5.238823261196032490e+02 5.238487872306061490e+02 5.238206016971716963e+02 5.237956552686539453e+02 5.237729604895481543e+02 5.237523062657322725e+02 5.237333729543128129e+02 5.237158134473759219e+02 5.236987020310886010e+02 5.236838329111060375e+02 5.236778617785387269e+02 5.236767440107199718e+02 5.236756172086098786e+02 5.236747976849160295e+02
