TIME q_liq_Ch2_mesh1 q_liq_Ch2_mesh2 q_liq_Ch2_mesh3 q_liq_Ch2_mesh4 q_liq_Ch2_mesh5 q_liq_Ch2_mesh6 q_liq_Ch2_mesh7 q_liq_Ch2_mesh8 q_liq_Ch2_mesh9 q_liq_Ch2_mesh10 q_liq_Ch2_mesh11 q_liq_Ch2_mesh12 q_liq_Ch2_mesh13 q_liq_Ch2_mesh14 q_liq_Ch2_mesh15 
0.000000000000000000e+00 6.549345482197704769e+03 6.549345482212361276e+03 6.555887480647572374e+03 6.559135077550636197e+03 6.498967557642761676e+03 6.552028526042443445e+03 6.548617318605501168e+03 6.540268470764701306e+03 6.482852187014337687e+03 6.532149837943343300e+03 6.527989563246565012e+03 6.518793934528392128e+03 6.463416305961536636e+03 6.506507655427861209e+03 6.531683282068443987e+03
5.000040000000043960e+01 1.250032024728707114e+02 1.237427256550307959e+02 1.239340365017899757e+02 1.313720692224015067e+02 1.406026729710370091e+02 1.234598209552242878e+02 1.274350263859801800e+02 1.338579322733710342e+02 1.441024342051077838e+02 1.292878272968525835e+02 1.328154368300040176e+02 1.407179564764647637e+02 1.486571796823294846e+02 1.418436275329246996e+02 1.411253914129150360e+02
1.000003999999985922e+02 2.517003771995229400e+01 5.165327682264123865e+00 6.909707427337849595e+01 1.328085708206204174e+02 8.395792568407651402e+01 -7.263223444391769590e+01 -1.856068517663729835e+02 -1.778510077501462376e+02 -1.061928653268287945e+02 -2.719013357266981856e+01 4.716971669564924419e+00 -2.116565109305095405e+01 -5.340926004850170017e+01 -8.276402966950207940e+01 -2.154886054348602542e+01
1.502405034099261059e+02 -3.669263883030771806e-02 -3.404172698394281743e-02 -1.066174776773848830e-02 -9.505041149892303962e-03 -8.308069270441927057e-03 -7.328469777621992622e-03 -6.168525790892047389e-03 -5.379625563121553586e-03 -4.694992370481651696e-03 -4.326456905876828636e-03 -4.080581597139365524e-03 -4.767714719211741531e-03 -7.032845648465272173e-03 -1.526942549065354350e-02 -6.015256096588546958e-02
2.004200391960640388e+02 4.265902388693487524e+01 5.227432815337505190e+01 -5.594989764664896725e+00 9.646226060841730998e+01 2.468860722554070435e+02 2.071545995000864195e+02 7.215566374715372433e+01 -1.188929059787719768e-02 6.776667680743989064e-02 9.116964542199668120e-02 9.528198067522343495e-02 9.019527426264545289e-02 8.334379354452783883e-02 7.766892880053245796e-02 7.306628704688690468e-02
2.553043625042201370e+02 1.364153741350821463e+02 1.364079394207779217e+02 1.529046143636739430e+02 2.713709384641754809e+02 3.078641851890955650e+02 2.094350667117805926e+02 2.128427359484367685e+02 2.737414048159596973e+02 3.498316017084148939e+02 4.062895596678116021e+02 4.374448177150848664e+02 5.882493024252100895e+02 2.583536137658425247e+01 5.060809546178206553e-01 1.164728651877719456e-01
3.053043625042201370e+02 1.714477877866821984e+02 1.714225643029341768e+02 1.759109579196286290e+02 2.057369681668760677e+02 2.189884688127982884e+02 1.957929669013563228e+02 1.894768953916279486e+02 1.781146182733671992e+02 1.716978563109386471e+02 1.626512176844892679e+02 1.582614614742377626e+02 1.489049362648220836e+02 1.428514986400041096e+02 1.355173702148671282e+02 1.261611140301396290e+02
3.553043625042201370e+02 1.559815079857966111e+02 1.559663354587981416e+02 1.576343048770523012e+02 1.689751603255280372e+02 1.949101477859641420e+02 2.079588458192644680e+02 1.991781747747951670e+02 1.823590764007032021e+02 1.724200493736552176e+02 1.585856228674760473e+02 1.591472789353080657e+02 1.518130164596454108e+02 1.455140240642860476e+02 1.397964762247839019e+02 1.473123714680147032e+02
4.053043625042201370e+02 4.172668311659215874e+02 4.167914346701391537e+02 4.233688114717350572e+02 4.675215882702933641e+02 4.227895277519419324e+02 2.789072771691647290e+02 1.330291080500052487e+02 -1.719555319509357361e+01 -9.324906738589521638e+01 -1.245469451978712669e+02 -1.242363241655111779e+02 -9.714610166684525439e+01 -5.526267384661397131e+01 -4.337178829061294749e+01 -4.344178896510596388e+01
4.553043625042201370e+02 2.470130956002942639e+02 2.469790067789503212e+02 2.482097890610637592e+02 2.590808877597444280e+02 2.932224457559451025e+02 2.627542138698341887e+02 2.303175184933243997e+02 1.820826141280853676e+02 1.463794690109130272e+02 1.083200218389817877e+02 8.487778338583493110e+01 5.613065009690123475e+01 4.311924337772191507e+01 2.540931155782629070e+00 -7.820524416133732615e+00
5.053043625042201370e+02 7.622209023591284449e+01 7.622386020194073808e+01 7.889479432478434262e+01 8.819727669681724080e+01 1.254444908141062314e+02 1.395878308142222011e+02 1.269818402648620577e+02 1.212894211215183162e+02 1.138304886644327354e+02 1.060422184766936766e+02 1.057962143867391802e+02 1.019203097821234394e+02 9.724199477594346774e+01 9.605415881973596015e+01 9.773083752438482463e+01
5.553043625042200802e+02 7.611895296399765698e+01 7.611831801296074218e+01 7.862641302363081763e+01 8.690175806374151080e+01 1.236835879130146623e+02 1.397100706538650456e+02 1.287466448162109884e+02 1.232102687998571753e+02 1.167391011976054784e+02 1.092376581851035269e+02 1.102552250501907878e+02 1.068333428105618310e+02 1.026194520213385459e+02 1.018447266621757592e+02 1.039789468756287363e+02
6.053043625042200802e+02 7.822531253965321696e+01 7.822374516181623960e+01 8.070452701343403135e+01 8.862311904582796274e+01 1.240840553766018104e+02 1.399573128750828914e+02 1.288875804150900990e+02 1.225519363650133755e+02 1.158385031941622003e+02 1.079675219983973733e+02 1.088021307153507848e+02 1.051827003162206466e+02 1.008447157544101600e+02 1.000201177321555832e+02 1.018603564065948319e+02
6.553043625042200802e+02 7.813103416405716928e+01 7.812947947411923622e+01 8.060543553742843415e+01 8.848824457328593951e+01 1.237998286709467948e+02 1.396660315576556570e+02 1.286375615821009433e+02 1.222421350649081973e+02 1.155614508589750784e+02 1.077192129750220460e+02 1.085138327947915684e+02 1.048704653977416541e+02 1.005989133872125052e+02 9.969155317275716754e+01 1.016592438870367943e+02
7.065543625042200802e+02 7.784846999559140102e+01 7.784690202872045006e+01 8.032454493505021276e+01 8.836719958342079906e+01 1.238020436784375562e+02 1.393534151578169542e+02 1.281556030047409820e+02 1.218067243129724915e+02 1.150739784351530091e+02 1.072810272854684115e+02 1.079159707747195256e+02 1.042202056924802207e+02 9.998134111297862603e+01 9.894156339094682551e+01 1.010239179164699550e+02
7.596793625042200802e+02 7.875498900197767682e+01 7.875273900128652826e+01 8.121947388515202704e+01 8.944526006390989892e+01 1.246621173687303497e+02 1.397258943169606766e+02 1.283032085937434204e+02 1.218414490516468334e+02 1.150076383728288363e+02 1.071904107992129269e+02 1.076637013970402421e+02 1.038857025848120799e+02 9.965598132585797941e+01 9.849944768027791042e+01 1.007333564261955559e+02
8.096793625042200802e+02 7.738337190842190694e+01 7.738172575719848112e+01 7.997060724595017689e+01 8.991014564052207447e+01 1.246992981288226758e+02 1.358069326644765908e+02 1.237286932074743930e+02 1.183851384742103932e+02 1.115554196303565533e+02 1.044104690275997598e+02 1.044872213192786461e+02 1.009969401640848758e+02 9.680012336528234584e+01 9.581552620097309614e+01 9.804776293997868208e+01
8.596793625042200802e+02 7.936621439517040244e+01 7.936452928525564232e+01 8.197719464282273805e+01 9.304660591872578834e+01 1.275104404971234402e+02 1.369584820456275054e+02 1.246168836933044730e+02 1.191590814217424139e+02 1.121584928641460976e+02 1.049777435918165907e+02 1.047818217962716147e+02 1.011232548976667118e+02 9.692204463880248966e+01 9.563064749019507360e+01 9.836653676194352158e+01
9.096793625042200802e+02 7.645137612219018308e+01 7.645483524410607856e+01 7.954631583637309689e+01 9.368379799408391762e+01 1.259280059650120904e+02 1.311076949583467695e+02 1.195977081094115562e+02 1.142976104305290050e+02 1.077247553687308823e+02 1.010054480104179362e+02 1.005730510623041596e+02 9.706300535314727540e+01 9.296240224011862097e+01 9.165588817049756187e+01 9.486927994170957845e+01
9.596793625042200802e+02 7.435191813052269083e+01 7.434954182436875669e+01 7.750343923081132402e+01 9.530403210591335039e+01 1.258016196383028387e+02 1.269307102500559807e+02 1.158315203231082933e+02 1.104186539664644755e+02 1.040304966048034885e+02 9.741697359488138375e+01 9.674231881647789066e+01 9.326367848727575449e+01 8.913686921500676874e+01 8.799313668378606224e+01 9.027011537804068553e+01
1.009679362504220080e+03 7.393914288348864261e+01 7.393616300800118779e+01 7.729227896326845837e+01 9.744719645173070433e+01 1.270725943889827363e+02 1.249659252403782403e+02 1.142120554356788489e+02 1.085794083068179532e+02 1.023170750161050222e+02 9.574167429339918556e+01 9.494197289296312192e+01 9.143136413310254795e+01 8.733702616510443306e+01 8.613258940806788644e+01 8.840492943968385475e+01
1.059679362504220080e+03 7.352014613768699292e+01 7.351704828308488970e+01 7.712968021203002422e+01 9.969009649457103706e+01 1.286973788032156563e+02 1.230550985737834253e+02 1.126102723084025428e+02 1.068030980412054021e+02 1.006578674891853069e+02 9.413168224728747191e+01 9.321095335681455651e+01 8.968189460981407990e+01 8.562179772877487949e+01 8.437308284540954162e+01 8.661391165938643155e+01
1.109679362504220080e+03 7.238852338734086800e+01 7.238548289182256212e+01 7.562917717618790903e+01 1.030954526363366455e+02 1.310920555411032922e+02 1.209938112657601010e+02 1.116194005413630066e+02 1.050494658248583306e+02 9.931948410401382432e+01 9.261021262619073013e+01 9.180977299778908218e+01 8.815681994546278588e+01 8.422070922022673756e+01 8.287280719220410674e+01 8.525844542233527079e+01
1.159679362504220080e+03 7.308820729183049991e+01 7.308457215084401071e+01 7.650980334726592957e+01 1.052492753696981254e+02 1.319569259977867830e+02 1.202174792026730756e+02 1.114892334481700118e+02 1.044088790671273728e+02 9.893886030705252210e+01 9.210543309550082824e+01 9.141135113113995203e+01 8.765341374177597800e+01 8.382259592592126296e+01 8.234412762723935941e+01 8.502213370629195310e+01
1.209679362504220080e+03 7.287182810697669311e+01 7.286903373568198106e+01 7.620439771909849469e+01 1.056818953330047037e+02 1.317247929996173639e+02 1.191681192319829705e+02 1.106977194604423715e+02 1.033592672497513973e+02 9.798691164444393564e+01 9.111452327716443733e+01 9.035729550104244368e+01 8.653151107978932544e+01 8.274400933613031839e+01 8.116748743772272690e+01 8.393131806172942788e+01
1.259679362504220080e+03 7.238057484614510884e+01 7.237726335051746673e+01 7.583155173342150590e+01 1.057839779615972873e+02 1.313281260822322452e+02 1.182803384847962036e+02 1.099368292228859190e+02 1.024356695415019942e+02 9.712018426566804408e+01 9.023936526155885929e+01 8.940902277244977370e+01 8.554097367132199281e+01 8.178992761632734698e+01 8.014584924476449146e+01 8.294560632624521190e+01
1.309679362504220080e+03 7.197013785297096433e+01 7.196676746756918419e+01 7.542778536215696761e+01 1.052130758687792422e+02 1.307441840078803637e+02 1.176762280253961279e+02 1.092109367649056964e+02 1.017007528170133952e+02 9.634797723889322185e+01 8.951865496138812262e+01 8.855767056809914095e+01 8.468067120642449197e+01 8.094209342985624289e+01 7.925028807407419151e+01 8.205060895576373525e+01
1.359679362504220080e+03 7.162601063833902515e+01 7.162270329810520764e+01 7.504625734268243775e+01 1.043244125865308547e+02 1.300634518394049053e+02 1.171736525837664402e+02 1.084632537118398119e+02 1.010119984869786975e+02 9.556998374498623150e+01 8.881926238030111165e+01 8.769156404601069710e+01 8.381921974266285247e+01 8.007380442774535823e+01 7.834075907815055473e+01 8.115519984937489539e+01
1.409679362504220080e+03 7.132099449859651941e+01 7.131779814084643476e+01 7.465339831011530691e+01 1.033003680242902362e+02 1.292513729812633869e+02 1.164308510300783155e+02 1.073624160740560711e+02 9.992046291026740334e+01 9.430475640722804087e+01 8.762577572360142142e+01 8.618367296675769751e+01 8.227220834768546354e+01 7.846000345037769819e+01 7.661622671421180542e+01 7.965895531482027536e+01
1.459679362504220080e+03 7.130803253088814131e+01 7.130480282215779653e+01 7.466655730040424999e+01 1.024838976038787024e+02 1.288601813854841964e+02 1.164547488529773318e+02 1.070151282612957289e+02 9.970902283043790248e+01 9.394637877542140814e+01 8.737004037208885165e+01 8.574942185339985201e+01 8.185615131361693386e+01 7.802483889453060328e+01 7.614285862127333360e+01 7.917022642171140490e+01
1.509679362504220080e+03 6.983565770264947048e+01 6.983300076368610121e+01 7.325261261209786312e+01 1.010737532140463060e+02 1.272531539796557070e+02 1.148330425603562048e+02 1.054989077585242683e+02 9.830100206663763629e+01 9.263121082807464290e+01 8.619804593151862093e+01 8.457442873229713598e+01 8.076770497468257304e+01 7.700906268205812921e+01 7.515744147273480280e+01 7.827003631399361439e+01
