TIME q_liq_Ch2_mesh1 q_liq_Ch2_mesh2 q_liq_Ch2_mesh3 q_liq_Ch2_mesh4 q_liq_Ch2_mesh5 q_liq_Ch2_mesh6 q_liq_Ch2_mesh7 q_liq_Ch2_mesh8 q_liq_Ch2_mesh9 q_liq_Ch2_mesh10 q_liq_Ch2_mesh11 q_liq_Ch2_mesh12 q_liq_Ch2_mesh13 q_liq_Ch2_mesh14 q_liq_Ch2_mesh15 
0.000000000000000000e+00 6.549345482197704769e+03 6.549345482212361276e+03 6.555887480647572374e+03 6.559135077550636197e+03 6.498967557642761676e+03 6.552028526042443445e+03 6.548617318605501168e+03 6.540268470764701306e+03 6.482852187014337687e+03 6.532149837943343300e+03 6.527989563246565012e+03 6.518793934528392128e+03 6.463416305961536636e+03 6.506507655427861209e+03 6.531683282068443987e+03
5.000040000000043960e+01 7.293384385173668534e+02 7.305080861034233521e+02 7.336084619510888842e+02 7.425674780104275214e+02 7.596296522982962642e+02 7.489929182922226119e+02 7.500743125527872053e+02 7.524267511500556793e+02 7.745758132138690826e+02 7.518616524381023964e+02 7.502569342386054814e+02 7.518382812597948259e+02 7.730157299700872500e+02 7.490384635142289653e+02 7.454955628846415721e+02
1.000003999999985922e+02 -6.012252934520847703e+01 -5.345078314753051529e+01 -2.894169774903927461e+01 -5.610520453968332077e+01 -9.871927068618566636e+01 -1.088039878457239240e+02 -1.055686021880978700e+02 -9.744462902884060895e+01 -8.623773138525024251e+01 -8.290118539726238112e+01 -7.579254173608256906e+01 -6.748492000706612259e+01 -5.982080533909458353e+01 -6.363764789445254877e+01 -5.083831047965914252e+01
1.502405034099261059e+02 1.378578339398358565e+01 1.431636310794545608e+01 3.966743268375223863e+01 4.784835439461917872e+01 5.444342631930395981e+01 6.145923547629471528e+01 5.210919199148742109e+01 3.344936807772700860e+01 1.663598874306482145e+01 1.601379017464086951e+00 -9.241283357725523118e+00 -1.816744794601592261e+01 -2.673232943444002174e+01 -4.700774922500729502e+01 -3.212080749576713146e+01
2.004200391960640388e+02 1.602146320914693689e+01 2.283566133223984096e+01 5.473029435678612487e+01 4.746601924613926116e+01 3.759341576291071618e+01 4.357407552299451936e+01 3.752564623865974625e+01 3.830075448721026987e+01 3.324747003824948166e+01 2.488463825559522036e+01 2.474967072088103137e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.635845668413450138e-01
2.553043625042201370e+02 2.911522685232584990e+02 2.897865803702062522e+02 2.848716040245613499e+02 2.937539882278008463e+02 2.069961748113956901e+02 1.720664994331674791e+02 1.579514189403953139e+02 8.494492176252209958e+01 3.860213539158565688e+00 -1.499895611977952910e-02 6.650536967921234777e-02 7.078306275732997033e-02 6.629883624469293246e-02 6.479532999997192344e-02 6.794767403807089323e-02
3.053043625042201370e+02 1.464152346428465705e+02 1.464588508125741271e+02 1.487885657934657502e+02 1.544806383418737994e+02 1.661409422206845647e+02 1.726670748672025582e+02 1.852642282939294773e+02 1.821220978402068624e+02 1.679923140387936371e+02 1.552591344967082421e+02 1.485996773972943288e+02 1.393576520928409082e+02 1.310205266034421925e+02 1.237473992631634019e+02 1.227059545549947188e+02
3.553043625042201370e+02 1.950217200487971638e+02 1.950140805818589342e+02 1.956546491239206773e+02 1.992251979450384169e+02 2.105436817695884884e+02 2.334699557383978004e+02 2.631785379135257585e+02 2.666560784238736233e+02 2.670006895814111658e+02 2.616493613722629448e+02 2.746046173316494219e+02 2.758724745596552452e+02 2.759297536265167992e+02 2.749793818108958021e+02 2.849407592500906503e+02
4.053043625042201370e+02 8.550279301679975674e+01 8.550636887387499030e+01 8.786355065283392207e+01 9.333254485475802653e+01 1.062805100241518801e+02 1.412383240715732313e+02 1.603679046765845158e+02 1.463192015029253525e+02 1.412950224329337345e+02 1.287805493718848595e+02 1.319554455253891945e+02 1.263516417443698430e+02 1.218387086600216804e+02 1.192520542975278204e+02 1.222024304095691178e+02
4.553043625042201370e+02 7.542104555487981088e+01 7.542511967166441877e+01 7.764958816947083164e+01 8.293949376812777530e+01 1.057990407220525668e+02 1.326182518375456425e+02 1.413179297965562284e+02 1.294932199655588363e+02 1.247380216516823026e+02 1.128627035280257331e+02 1.184881920814316629e+02 1.156229532243214635e+02 1.101125457274483779e+02 1.140660004378585768e+02 1.037277314020427355e+02
5.053043625042201370e+02 7.464162233414867842e+01 7.464513989433507390e+01 7.700667938001380719e+01 8.222768017453014977e+01 1.031489888078161954e+02 1.289113946770362418e+02 1.393458994326259699e+02 1.301905455347958878e+02 1.279266005081994422e+02 1.185574121759466948e+02 1.265505818470820714e+02 1.256067304709273174e+02 1.222252247368826374e+02 1.267772009043624166e+02 1.217942200794120140e+02
5.553043625042200802e+02 7.521062434675098984e+01 7.521216836987410659e+01 7.750128424832196572e+01 8.243206316493656516e+01 1.074841081898268413e+02 1.316943817510931183e+02 1.374902231996421733e+02 1.290651443976884707e+02 1.253447035350061469e+02 1.159831978786837681e+02 1.223937350645701088e+02 1.203726377345749512e+02 1.165200264945990085e+02 1.192476997672833932e+02 1.167222621128462947e+02
6.053043625042200802e+02 7.517602100329104076e+01 7.517620931917561222e+01 7.747068293764579039e+01 8.263736606715170296e+01 1.085030629139987752e+02 1.324174139712244198e+02 1.372259763632033014e+02 1.290130049723140644e+02 1.252197284055972517e+02 1.159151655380016024e+02 1.222524800513792229e+02 1.201721968672938345e+02 1.163846626591196980e+02 1.187823534542882840e+02 1.164988754777311897e+02
6.584293625042200802e+02 7.554961715842927106e+01 7.554886797986794988e+01 7.785653426379778352e+01 8.312470976314797610e+01 1.087084556245657581e+02 1.325290938271636776e+02 1.375007702799735227e+02 1.292089794813545325e+02 1.253897455763512454e+02 1.160483510454355951e+02 1.223638594471182302e+02 1.202085616756098005e+02 1.164886075126040765e+02 1.185447151590606438e+02 1.164819321462163799e+02
7.084293625042200802e+02 7.557972778340183595e+01 7.557859668287809995e+01 7.788497843985861380e+01 8.309912638174259314e+01 1.081610785297675363e+02 1.322247816896555435e+02 1.379212003927300714e+02 1.294446666018613143e+02 1.256736158709529860e+02 1.162609975227329926e+02 1.226215661025416352e+02 1.204071545962214032e+02 1.167993992521682287e+02 1.183984876238283590e+02 1.164161456486420150e+02
7.584293625042200802e+02 7.473818658577062024e+01 7.473694884538443262e+01 7.705283086874416654e+01 8.223957933335803716e+01 1.070472926794955129e+02 1.313786178454650724e+02 1.375866946745971688e+02 1.290331870980163558e+02 1.253009074232396216e+02 1.158664353725994403e+02 1.222060606486829926e+02 1.199440708204477062e+02 1.163476771785431652e+02 1.179290170524489554e+02 1.157800379404025080e+02
8.084293625042200802e+02 6.957151039777164669e+01 6.957307696487359294e+01 7.194313280041285452e+01 7.729977392392642344e+01 1.097551305967593578e+02 1.331981963877763917e+02 1.299747586801138652e+02 1.235372848437588971e+02 1.195524024428608385e+02 1.112253115888088928e+02 1.170802156572395205e+02 1.152630600389135225e+02 1.116389721782389444e+02 1.140150565956803206e+02 1.113582135284692640e+02
8.584293625042200802e+02 6.985952047220364136e+01 6.986953503059636716e+01 7.233585700166824495e+01 7.998834872265761931e+01 1.155503524936269883e+02 1.336381372084471195e+02 1.250831600043433554e+02 1.183645010287928017e+02 1.119414838819292441e+02 1.054302703683154618e+02 1.107489426783977109e+02 1.080767047034486410e+02 1.036016102177143949e+02 1.042403696602563343e+02 1.038094306057493412e+02
9.084293625042200802e+02 6.795887259352240051e+01 6.797702792707090680e+01 7.175350150095599133e+01 8.706173418167070110e+01 1.197745995839796223e+02 1.291549037393597814e+02 1.193256412643833357e+02 1.158799518242312701e+02 1.106965783427366716e+02 1.037051066906985000e+02 1.074789469304224951e+02 1.055471360860109939e+02 1.015061465562443459e+02 1.032663196215243460e+02 1.009636526732498112e+02
9.584293625042200802e+02 6.899349237791376765e+01 6.901482284328685068e+01 7.320022565142613757e+01 9.301131396418253416e+01 1.236398530825435955e+02 1.275786698788678990e+02 1.182596184326458228e+02 1.138567279632408855e+02 1.086056193610810254e+02 1.015009199299511806e+02 1.046452807137170424e+02 1.022964128100676788e+02 9.820398909613787453e+01 9.901489244633317810e+01 9.826970403993767889e+01
1.008429362504220080e+03 6.410525687588281585e+01 6.414201939065358715e+01 6.892375730931476596e+01 9.185517010228839752e+01 1.220333287294645856e+02 1.229331373086144765e+02 1.146138142304179723e+02 1.104186707923378208e+02 1.057802708554325477e+02 9.928138393741112111e+01 1.018701793541953151e+02 9.959200622027542238e+01 9.594085306985063255e+01 9.676025818821111102e+01 9.682046661182651803e+01
1.058429362504220080e+03 3.357425855044169793e+01 3.409212836186809881e+01 4.781274969497871297e+01 8.946818675162720069e+01 1.478151744124092772e+02 1.500018148819174257e+02 7.010704907388341667e+01 -3.744631181609047843e+01 -6.471927231326905883e+01 3.127846496478762006e+01 1.376078394479692122e+02 1.856983286462052547e+02 1.639108114446859190e+02 1.224657792066303585e+02 8.368788757222050378e+01
1.108429362504220080e+03 9.118258610334507352e+01 9.096809479101329998e+01 9.788258979988464148e+01 1.360088317097759045e+02 1.498159694840902603e+02 1.276205360208176529e+02 1.260613426726470436e+02 1.152416022916295475e+02 1.117619263753438048e+02 1.023405342047367697e+02 1.046565752747923028e+02 9.964709416943800591e+01 9.661590895660945932e+01 9.363632405016048210e+01 9.093960443047924969e+01
1.158429362504220080e+03 3.271348023771705726e+01 3.281593564913967498e+01 4.477084662045365349e+01 8.866688942647739680e+01 1.016179888756481660e+02 8.631277190406866850e+01 8.801945503776828161e+01 8.139012828323805593e+01 8.063971615100291501e+01 7.533748761423642293e+01 7.906675907252834179e+01 7.798924528768567654e+01 7.528598366564463618e+01 7.693530195272052197e+01 7.642300379820017042e+01
1.208429362504220080e+03 9.513218619216773675e+01 9.495470458424212268e+01 1.036906430217560455e+02 1.401306129936416767e+02 1.459022312784279052e+02 1.235243466362996401e+02 1.223637966277261597e+02 1.110255317141169371e+02 1.070407425181178951e+02 9.753841909787013265e+01 9.881812148312755539e+01 9.339295144026792173e+01 8.964769952329673686e+01 8.678199114153586891e+01 8.693894519469897375e+01
1.258429362504220080e+03 4.175074385858967219e+01 4.160014515674191671e+01 5.100312982629441194e+01 9.229324726686877511e+01 1.009134381559527327e+02 8.257245005057313847e+01 8.051104138559432499e+01 7.172750178020010026e+01 6.888155220384219035e+01 6.212764610137279675e+01 6.360592251793776342e+01 6.085987120984981402e+01 5.710939615747847142e+01 5.753715131764991497e+01 5.969641176435420959e+01
1.308429362504220080e+03 8.140154285657355615e+01 8.136401261594444634e+01 8.707046274937994212e+01 1.246797545864158963e+02 1.449952063125905966e+02 1.284431625058522286e+02 1.277705128090814384e+02 1.201546639513507699e+02 1.177978439250634892e+02 1.108766389798762191e+02 1.141922140567503021e+02 1.108264723710592392e+02 1.084493733089959875e+02 1.069839937480849130e+02 1.114931041231263293e+02
1.358429362504220080e+03 1.234334642570758547e+02 1.234234655908202711e+02 1.263820052967078169e+02 1.622919052372214139e+02 1.691630983687302887e+02 1.420452930984769182e+02 1.349411194487884131e+02 1.194632465178683560e+02 1.119899836728905740e+02 9.995436264729235631e+01 9.755175949093813870e+01 9.017023956619519254e+01 8.408369731841668226e+01 8.106959771733063747e+01 8.138554272284856950e+01
1.408429362504220080e+03 4.001877668614568506e+01 4.002042225076958459e+01 4.481734016772787754e+01 8.450514285826163530e+01 1.144143946011508035e+02 1.036956620706757377e+02 1.018073384225593969e+02 9.667956147741523409e+01 9.504151463339428574e+01 9.011547860273485355e+01 9.188216922681807830e+01 8.952471623005703805e+01 8.766681600424585952e+01 8.688801514877752652e+01 9.229553604822322654e+01
1.458429362504220080e+03 6.216903810075103110e+01 6.215255457127262417e+01 6.489066972311856318e+01 8.204293435774081900e+01 1.337633306240690843e+02 1.606993029297019859e+02 1.503060279802928676e+02 1.361953421874848402e+02 1.235175005434970075e+02 1.064898679845324381e+02 9.832723367801281711e+01 8.541424060268025187e+01 7.571594085885683967e+01 6.622267479966616577e+01 5.866505246668062057e+01
1.508429362504220080e+03 -2.696188058251959063e+01 -2.693880901314157583e+01 -1.172673172044147627e+01 2.556624326539261460e+01 3.274749092367681413e+01 2.285983698923806529e+01 1.504310902706450648e+01 9.498722768641890468e+00 4.419784541325748606e+00 2.487471391230944556e-03 -1.730997863979966800e+00 -3.564607574343605645e+00 -6.915524543668795765e+00 -6.746888643818746978e+00 -2.679737266541813323e+00
1.558429362504220080e+03 1.095569967288446236e+02 1.095160846875107126e+02 1.125629218501259174e+02 1.651719861015207016e+02 1.699931104860421556e+02 1.219096386323087415e+02 9.502323563501438741e+01 5.982704338260442256e+01 3.800649494207242896e+01 1.933634595030611436e+01 1.062429463695287790e+00 -9.066835492047021772e-01 -1.558551497612039149e+01 -2.592011597016993463e+00 -1.475028346023745485e+01
1.608429362504220080e+03 1.186594028758139530e+02 1.177042419209561928e+02 1.304917966290921072e+02 1.360685980312496497e+02 1.177009252836182043e+02 9.066736810110842271e+01 7.750774828085491208e+01 6.131767165468565395e+01 5.045884863219135497e+01 3.968205557739216971e+01 3.195408929424029765e+01 2.501637329375300922e+01 2.092593541175909522e+01 1.563701781822821779e+01 2.158316689457642212e+01
1.658429362504220080e+03 -3.102647396672791160e+02 -3.101176016333747611e+02 -2.943327041762199201e+02 -2.486493773608148103e+02 -2.264352163654548917e+02 -2.138294592845680313e+02 -1.987918064664108329e+02 -1.871861090469210751e+02 -1.741166565660253696e+02 -1.658922165068200627e+02 -1.442061873149820883e+02 -1.305663471231740687e+02 -1.041312358246537997e+02 -1.030888098558398553e+02 -3.793283277904897943e+01
1.708429362504220080e+03 1.687358331056261989e+02 1.681704359998015832e+02 1.768952930127808258e+02 2.036546525263476042e+02 1.860961045994311007e+02 1.569468545367094805e+02 1.481522129945918209e+02 1.329408551191878587e+02 1.262726195356274985e+02 1.146173150543791479e+02 1.123187388377949958e+02 1.030549479329137057e+02 1.019584252073139226e+02 9.154694783883378761e+01 9.907146501726073495e+01
1.758429362504220080e+03 1.102320869660411660e+02 1.101781369136743933e+02 1.128602899816400509e+02 1.507114413746391790e+02 1.390364601658609160e+02 1.116304639276962121e+02 1.023925424198459808e+02 8.764896450986127263e+01 7.886399248828539044e+01 6.850497971437840761e+01 6.314104826243188739e+01 5.467866905691965229e+01 5.084776897307828847e+01 3.999791432695644744e+01 4.644630160301252886e+01
