TIME q_liq_Ch2_mesh1 q_liq_Ch2_mesh2 q_liq_Ch2_mesh3 q_liq_Ch2_mesh4 q_liq_Ch2_mesh5 q_liq_Ch2_mesh6 q_liq_Ch2_mesh7 q_liq_Ch2_mesh8 q_liq_Ch2_mesh9 q_liq_Ch2_mesh10 q_liq_Ch2_mesh11 q_liq_Ch2_mesh12 q_liq_Ch2_mesh13 q_liq_Ch2_mesh14 q_liq_Ch2_mesh15 
0.000000000000000000e+00 6.549345482197704769e+03 6.549345482212361276e+03 6.555887480647572374e+03 6.559135077550636197e+03 6.498967557642761676e+03 6.552028526042443445e+03 6.548617318605501168e+03 6.540268470764701306e+03 6.482852187014337687e+03 6.532149837943343300e+03 6.527989563246565012e+03 6.518793934528392128e+03 6.463416305961536636e+03 6.506507655427861209e+03 6.531683282068443987e+03
5.000040000000043960e+01 4.568370967965309319e+03 4.569393012966229435e+03 4.573853641027896629e+03 4.580121553636639874e+03 4.540826313588180710e+03 4.583877886094755013e+03 4.584129412221720486e+03 4.581058043418147463e+03 4.542211570701741948e+03 4.577591740401671814e+03 4.576955648007949094e+03 4.573807681301977937e+03 4.539668514137294551e+03 4.570736433868389213e+03 4.591791009340903656e+03
1.000003999999985922e+02 1.044966916213836612e+03 1.045063783103849801e+03 1.044837987782683967e+03 1.046391191968571775e+03 1.051817039968986819e+03 1.058288691606812563e+03 1.065008089575931081e+03 1.070336404632904532e+03 1.099733256517788277e+03 1.065266797770420226e+03 1.059506015337829240e+03 1.056402106407262863e+03 1.083430315523465197e+03 1.045393650208211284e+03 1.036925088763761778e+03
1.502405034099261059e+02 3.123151043103154052e+02 3.123910467739380579e+02 3.139238258098610572e+02 3.303621925786056295e+02 3.624587123291709645e+02 3.581915316382770698e+02 3.644876707011099484e+02 3.640463106638184172e+02 3.814940117796645040e+02 3.521159023915328703e+02 3.495053715713228257e+02 3.533880973528888489e+02 3.701902532139019399e+02 3.471995959962589495e+02 3.412267085542532072e+02
2.004200391960640388e+02 4.545995694694322253e+01 4.545241256942583163e+01 4.983891991148028211e+01 6.593437388933648435e+01 7.509713257462570368e+01 7.136456924673822755e+01 8.122266434286399317e+01 1.001210257538155872e+02 1.252409219589009552e+02 1.456673855162401594e+02 1.790480314290405488e+02 2.168146368969141804e+02 2.615116361398204390e+02 2.753128121321103094e+02 2.398360158815197281e+02
2.553043625042201370e+02 -1.381882437268349406e+02 -1.381968957557215845e+02 -7.685836696237871024e+01 -2.992928208819539027e+00 -4.822573454244795244e+01 -3.102489589755171906e+01 -3.536707493666411750e+01 -2.453157454892333789e+01 -1.526629498854363831e+01 -7.118743105207900435e+00 9.238222431585100480e+00 2.240504422990269262e+01 3.948082326724203028e+01 3.764591845003690818e+00 -4.704662923405690123e+01
3.053043625042201370e+02 -1.192472894985677243e+02 -1.192445143151668674e+02 -6.073175988744930009e+01 7.439813770262520443e+00 -3.881218717650960315e+01 -1.672219507143061179e+01 -1.441536248779909890e+01 3.473550719855149183e+00 1.815822476037801891e+01 2.966921414538280288e+01 5.038604970014606721e+01 6.847449535699551859e+01 8.919662939976674920e+01 5.236738567342715811e+01 5.495740912128779243e+00
3.559293625042201370e+02 3.901128936338567854e+01 4.118910343379602779e+01 3.709590167799440508e+01 2.829016749765537853e+01 3.963205884811910806e+01 2.125238262912221643e+01 1.581765547019982066e+01 2.196269132259392798e+00 -3.717382656388916295e+00 -1.381065897708232804e+01 -1.720202299593725215e+01 -2.094875158210593469e+01 -1.606605556451656724e+01 -4.824840445790808019e+01 -8.686555200256238152e+01
4.065543625042201370e+02 3.516390099639486522e+01 3.496486621939986605e+01 5.654486967933674890e+01 6.852229075051198492e+01 5.395139685256245343e+01 5.235517426516266681e+01 4.252482841423223903e+01 3.262223064545257500e+01 2.214572182554057633e+01 3.185421076560378317e+00 -1.698974383813695610e+01 -4.027366115948788661e+01 -7.660108242940481205e+01 -9.891823768003750672e+01 -1.793656102827867826e+01
4.565543625042201370e+02 1.339963427957827946e+01 1.020563995939873791e+01 3.736155146026370488e+01 4.752932341804589811e+01 3.395081490698360227e+01 3.484339926775895435e+01 2.759406151608398972e+01 2.358344703835538070e+01 1.676978254722056150e+01 6.479054122188638409e+00 -3.375406959302808207e+00 -1.382151892002697835e+01 -2.748578167447617560e+01 -4.196377159533577839e+01 -2.789444398365172972e+01
5.065543625042201370e+02 2.314394216652009462e+01 2.329680083502841370e+01 5.060173959196983162e+01 5.874170296435424632e+01 4.080445227774984573e+01 4.586829711769446050e+01 3.775189750919151521e+01 3.791843349636511107e+01 3.813469460358768259e+01 2.905050456705975392e+01 2.233961585907463743e+01 1.614771883003280806e+01 5.864589541966371833e+00 -1.496824962138847859e+00 -1.679501100372905861e-03
5.565543625042200802e+02 3.473910884073946193e+01 3.382555868903625651e+01 6.335476300444771880e+01 7.176914727508834346e+01 5.107996151440088539e+01 5.612787159208009768e+01 4.666714610070886238e+01 4.370074172729722051e+01 3.770622930231376557e+01 2.592645481404379737e+01 1.517314832755252674e+01 4.593501935266003144e+00 -1.445511675027881715e+01 -2.205041323565432521e+01 -1.960865685405873988e-03
6.065543625042200802e+02 4.528715807590972275e+01 4.302061783757378066e+01 7.379110702658223886e+01 8.112799583318758323e+01 5.685729640004595353e+01 6.172046454739202659e+01 5.357476163122660751e+01 5.273958771537623136e+01 5.075089711542550219e+01 3.960844393780394057e+01 3.278721028956418593e+01 2.433615427503409379e+01 1.608278225170244013e+01 3.506053999208879279e+00 3.097463115153813895e+00
6.565543625042200802e+02 6.546280593738160292e+01 7.002497643016016582e+01 9.931555983113001673e+01 8.771762655383287210e+01 7.206719695725159625e+01 7.769278916492859821e+01 6.969167592012712475e+01 6.662410929286082251e+01 6.103396621494162133e+01 4.485376082620825855e+01 5.706338001961332651e+01 1.313452363419628632e+01 2.765954090385009945e-01 6.173011452682516248e-02 1.766569599561335080e-02
