TIME void_Ch0_mesh1 void_Ch0_mesh2 void_Ch0_mesh3 void_Ch0_mesh4 void_Ch0_mesh5 void_Ch0_mesh6 void_Ch0_mesh7 void_Ch0_mesh8 void_Ch0_mesh9 void_Ch0_mesh10 void_Ch0_mesh11 void_Ch0_mesh12 void_Ch0_mesh13 void_Ch0_mesh14 void_Ch0_mesh15 
0.000000000000000000e+00 1.020916740795525544e-05 1.020920578480369391e-05 1.020537457823803029e-05 1.020541958024639937e-05 1.020546458972207201e-05 1.020550960677702765e-05 1.020555463144115638e-05 1.020559966373876467e-05 1.020564470369390317e-05 1.020568975133061576e-05 1.020573480667082534e-05 1.020577986973558237e-05 1.020582494054832765e-05 1.020587001914309326e-05 1.020590563867361004e-05
5.000040000000043960e+01 2.297066315805299241e-01 3.008048796989009621e-01 3.853049781636991855e-01 4.696282870516725882e-01 5.356605454094647278e-01 5.813601492129839565e-01 6.089788422607811391e-01 6.215671690620295786e-01 6.232645936287398714e-01 6.192509420293048628e-01 6.142537098075201429e-01 6.111013571368005826e-01 6.089770242179309845e-01 6.249779815271023775e-01 4.606672927178606103e-01
1.000003999999985922e+02 3.690521452477563136e-01 3.879496409653606648e-01 3.982072157964912651e-01 4.084341686491819723e-01 4.174112525326909573e-01 4.256860845606953436e-01 4.336033906323573106e-01 4.413868749342176323e-01 4.487868788787682806e-01 4.566171373965127178e-01 4.618775030774002199e-01 4.743735644856151290e-01 4.612897747544569826e-01 5.314874111157019687e-01 2.347209952778587239e-01
1.502405034099261059e+02 8.673258498434119890e-01 9.708017361262574196e-01 6.931946192384788041e-01 6.947749685286984667e-01 6.861727123451074606e-01 6.686465218428762070e-01 6.537930622093344191e-01 6.732967334326435127e-01 7.020989981623357856e-01 7.029794016436848869e-01 8.751096632007258069e-01 9.658277666355750135e-01 9.722935311679945514e-01 9.727736459624873877e-01 9.730975225740671197e-01
2.004200391960640388e+02 3.290067432135154735e-01 3.563312739719092237e-01 3.691250573399998403e-01 3.852625628714322903e-01 4.014126530290853534e-01 4.165297591475823902e-01 4.298817726665871697e-01 4.424557261066721092e-01 4.525490827858314469e-01 4.705499388466151678e-01 4.375759276202207948e-01 7.404636028150406446e-01 9.746914609910490856e-01 9.905961532520105584e-01 9.905855249873500856e-01
2.553043625042201370e+02 5.394765446604462980e-04 1.863453221483492620e-04 1.759279834507457914e-04 1.883883805044244092e-04 2.307927215190461786e-04 3.161609754767384563e-04 4.611955401555250904e-04 7.259359638915045170e-04 1.333580455591246161e-03 2.270242133439784836e-03 2.305003661299280804e-01 9.019644567255857837e-01 9.890297406914262401e-01 9.907629293239682555e-01 9.907600249366413925e-01
3.053043625042201370e+02 1.328395768078015208e-04 1.128432960689080411e-04 1.120908904197161150e-04 1.152500865786383789e-04 1.233445669945964867e-04 1.360197685507864070e-04 1.504123097668836619e-04 1.612261378035867833e-04 1.615322422664608644e-04 1.436126326046293180e-04 1.022258969506389161e-04 4.655180357569598361e-05 9.963809283640402762e-06 3.456991959000287329e-01 9.175982564672805486e-01
3.553043625042201370e+02 1.341256960547947152e-04 1.229702641465710408e-04 1.140567801080654602e-04 1.123449171280852888e-04 1.150839863352268682e-04 1.213460632522687520e-04 1.315678515778406560e-04 1.483694141195915394e-04 1.784954660058912150e-04 2.348326621682161235e-04 3.382618176199382988e-04 5.419197343059625792e-04 1.083168608172816816e-03 1.952393346393230689e-03 3.523889022313670977e-03
4.053043625042201370e+02 1.637795755604936796e-04 1.358440504135552840e-04 1.219438152612893394e-04 1.195719796325801315e-04 1.260010159498277914e-04 1.394214347266665088e-04 1.587328569995418315e-04 1.833526127695335624e-04 2.140929117593691586e-04 2.548394261000509991e-04 3.153492158443289340e-04 4.279756670926822899e-04 5.313772992390355466e-04 4.827976695251244045e-03 5.000591738697053807e-04
4.553043625042201370e+02 1.703150383220946413e-04 1.524855209602029563e-04 1.393951720867942260e-04 1.328364183026145790e-04 1.360718872788458061e-04 1.562008469098659152e-04 2.060811914201837074e-04 3.127575147173884359e-04 5.635483339125965533e-04 1.451239908051418130e-03 5.625778784506184522e-03 2.655049265187616261e-02 1.699961065565743779e-01 6.739027811741421514e-01 9.234133724045470171e-01
