TIME T_sat_Ch3_mesh1 T_sat_Ch3_mesh2 T_sat_Ch3_mesh3 T_sat_Ch3_mesh4 T_sat_Ch3_mesh5 T_sat_Ch3_mesh6 T_sat_Ch3_mesh7 T_sat_Ch3_mesh8 T_sat_Ch3_mesh9 T_sat_Ch3_mesh10 T_sat_Ch3_mesh11 T_sat_Ch3_mesh12 T_sat_Ch3_mesh13 T_sat_Ch3_mesh14 T_sat_Ch3_mesh15 
0.000000000000000000e+00 6.201575877715479237e+02 6.201164193919523768e+02 6.200257037979458801e+02 6.199271288847896813e+02 6.198869555901968624e+02 6.197896825328310797e+02 6.196917671347175656e+02 6.195905794354758882e+02 6.195500678227381286e+02 6.194500739561992759e+02 6.193493719504023147e+02 6.192452310443904935e+02 6.192042622654191746e+02 6.190988009624288679e+02 6.190345500401864456e+02
5.000040000000043960e+01 5.649729105576725487e+02 5.649576536677617469e+02 5.649374255094119235e+02 5.649179839657193725e+02 5.649002691256675917e+02 5.648820159231889875e+02 5.648642592341680029e+02 5.648468962642782571e+02 5.648312160614352706e+02 5.648146156928296477e+02 5.647983398816327281e+02 5.647823196096709353e+02 5.647681626295373007e+02 5.647521448346867601e+02 5.647401939565199882e+02
1.000003999999985922e+02 5.587756203676775613e+02 5.587571505546374055e+02 5.587341593784130964e+02 5.587170152765143030e+02 5.587037067434749815e+02 5.586934646948434420e+02 5.586858656199530060e+02 5.586802689726018798e+02 5.586751932009988195e+02 5.586713895057787340e+02 5.586675116623705435e+02 5.586635044099095921e+02 5.586585004584203489e+02 5.586530501792475434e+02 5.586485787333036797e+02
1.502405034099261059e+02 5.398819277561661920e+02 5.398630053884648987e+02 5.398377831502856452e+02 5.398170322329681312e+02 5.397988690532939700e+02 5.397825460836832008e+02 5.397678861028175561e+02 5.397546265471421520e+02 5.397423766673215368e+02 5.397307445871140317e+02 5.397201744942218511e+02 5.397103633011602142e+02 5.397014449089647314e+02 5.396936873981694589e+02 5.396906018908799751e+02
2.004200391960640388e+02 4.721587411491861985e+02 4.721578962759942897e+02 4.721567903481666235e+02 4.721556570110558937e+02 4.721546639969070043e+02 4.721535528761128830e+02 4.721524349144991675e+02 4.721512890485308844e+02 4.721503044747789204e+02 4.721491599180087633e+02 4.721480042891248559e+02 4.721468152961147666e+02 4.721458259959342172e+02 4.721446204981882602e+02 4.721438403211792547e+02
2.553043625042201370e+02 4.518928922744679539e+02 4.517756220020658589e+02 4.516349156864720271e+02 4.515156317639937242e+02 4.514159371349286971e+02 4.513302692696203735e+02 4.512564358648356801e+02 4.511908727187404793e+02 4.511307492811661746e+02 4.510748289241123530e+02 4.510242681313310413e+02 4.509829255780520043e+02 4.509484062638266550e+02 4.509281732972108898e+02 4.509242877032743877e+02
3.053043625042201370e+02 4.489899933625749782e+02 4.488654921886617331e+02 4.487143594260713826e+02 4.485849525090942507e+02 4.484768841785732434e+02 4.483833516099675194e+02 4.483010607232826032e+02 4.482278186632677830e+02 4.481616482877801104e+02 4.480997391776454037e+02 4.480435526048753445e+02 4.479902942202729150e+02 4.479454092712152260e+02 4.478933732124783660e+02 4.478506230792343672e+02
3.553043625042201370e+02 4.481072043623804575e+02 4.479783625490335339e+02 4.478174725795548170e+02 4.476685810131445464e+02 4.475387550749851471e+02 4.474280557703103796e+02 4.473321732562933448e+02 4.472475871336308160e+02 4.471716834900681761e+02 4.471013622925245841e+02 4.470375029386250958e+02 4.469775219653377007e+02 4.469263133998886133e+02 4.468683013378271198e+02 4.468212663144353769e+02
4.053043625042201370e+02 4.530288210252579688e+02 4.529132359459424038e+02 4.527673746046651786e+02 4.526306877648041223e+02 4.525085831062297643e+02 4.524037251011770877e+02 4.523125834737818991e+02 4.522320690574683795e+02 4.521596542381593622e+02 4.520928300355242868e+02 4.520327190344052610e+02 4.519759443154130167e+02 4.519282625609694719e+02 4.518745277331480565e+02 4.518300454796219583e+02
4.553043625042201370e+02 4.534268171199452127e+02 4.533098051958046995e+02 4.531640231581295666e+02 4.530265292915676127e+02 4.529040280157695406e+02 4.528002179126048077e+02 4.527107864396634795e+02 4.526321486172600999e+02 4.525615092940320210e+02 4.524963012872145782e+02 4.524372846522495593e+02 4.523817193864628052e+02 4.523343461973746571e+02 4.522810597407246860e+02 4.522371065791001001e+02
5.053043625042201370e+02 4.532986793511599330e+02 4.531814183475742084e+02 4.530353074814341880e+02 4.528973608196364466e+02 4.527741961810350517e+02 4.526696154669005523e+02 4.525794036244882363e+02 4.525000122721050957e+02 4.524286409813325918e+02 4.523627422197817509e+02 4.523030620036017240e+02 4.522468721996600038e+02 4.521988932499015732e+02 4.521450071588529340e+02 4.521006120235504682e+02
5.553043625042200802e+02 4.529323033609593381e+02 4.528142181686080221e+02 4.526670779280212855e+02 4.525281598158808265e+02 4.524040589079395431e+02 4.522985780415640420e+02 4.522075179078923384e+02 4.521273270762545735e+02 4.520551922051791962e+02 4.519885667333122683e+02 4.519281943547149467e+02 4.518713464881583377e+02 4.518227490975504566e+02 4.517682089966696140e+02 4.517233192971113453e+02
6.053043625042200802e+02 4.523184050429798617e+02 4.521989051136927742e+02 4.520500057299584000e+02 4.519092931057678584e+02 4.517834290850396428e+02 4.516763937822672688e+02 4.515839664936042368e+02 4.515025550063661512e+02 4.514293032198989977e+02 4.513616449919949218e+02 4.513003213876068571e+02 4.512425781712383355e+02 4.511931791311059783e+02 4.511377736617334904e+02 4.510922177117627143e+02
6.553043625042200802e+02 4.515061017457254593e+02 4.513847368837799081e+02 4.512335013282795444e+02 4.510905894464158905e+02 4.509627364557840679e+02 4.508539507150725854e+02 4.507599731840294908e+02 4.506771669644862186e+02 4.506026362956687308e+02 4.505337853265866102e+02 4.504713628397881848e+02 4.504125800527260708e+02 4.503622605496656774e+02 4.503058400947423934e+02 4.502595013134061901e+02
7.065543625042200802e+02 4.505664751517335844e+02 4.504429141963776146e+02 4.502889323816286833e+02 4.501436116610249201e+02 4.500137505322238098e+02 4.499031865464829707e+02 4.498076079273424739e+02 4.497233393967428583e+02 4.496474555541004747e+02 4.495773278383096567e+02 4.495137261534971458e+02 4.494538157275628691e+02 4.494025065721122019e+02 4.493449742212036426e+02 4.492977680948673083e+02
7.596793625042200802e+02 4.489249679467415035e+02 4.487974540971198394e+02 4.486386426927797970e+02 4.484910362366866821e+02 4.483615042000391782e+02 4.482514314320138737e+02 4.481562428055434566e+02 4.480722523859732291e+02 4.479965902599121819e+02 4.479265331348346422e+02 4.478630454016375779e+02 4.478030871335256506e+02 4.477519454860383803e+02 4.476942281397627426e+02 4.476466979996876034e+02
8.096793625042200802e+02 4.469124306644039848e+02 4.467810706711973125e+02 4.466164354685899411e+02 4.464649551147259672e+02 4.463334262584136241e+02 4.462214595731493887e+02 4.461244319206094247e+02 4.460387233017048629e+02 4.459614709950615179e+02 4.458898700925242338e+02 4.458250122863255456e+02 4.457636900419020094e+02 4.457114976078696031e+02 4.456523511145746284e+02 4.456037091198551821e+02
8.596793625042200802e+02 4.447080223287246667e+02 4.445705319692613102e+02 4.443986746268623733e+02 4.442441983838651822e+02 4.441136286380832416e+02 4.440021143312490608e+02 4.439050409023893167e+02 4.438190002334235942e+02 4.437412405859431601e+02 4.436688888006760862e+02 4.436033511269092742e+02 4.435411117363787525e+02 4.434883741380504034e+02 4.434282107621553450e+02 4.433784558401395088e+02
9.096793625042200802e+02 4.428632740712616283e+02 4.427206432558934921e+02 4.425423413451471220e+02 4.423823670638134331e+02 4.422474267359607438e+02 4.421320885068251414e+02 4.420316107415401348e+02 4.419425049212169370e+02 4.418619458316230748e+02 4.417869664145536035e+02 4.417190327225835631e+02 4.416544988325738927e+02 4.415998127291472315e+02 4.415373884208660797e+02 4.414858818378384058e+02
9.596793625042200802e+02 4.414543644616209690e+02 4.413072971201690393e+02 4.411237136254037523e+02 4.409589456242954384e+02 4.408198270240386591e+02 4.407008989801964844e+02 4.405972935311569927e+02 4.405054035787557609e+02 4.404223233835013502e+02 4.403450040809130996e+02 4.402749519131910461e+02 4.402083963457914138e+02 4.401519939968173389e+02 4.400876220490220589e+02 4.400345948207258289e+02
1.009679362504220080e+03 4.402832392130854373e+02 4.401323836439991055e+02 4.399442313823819859e+02 4.397748633010902495e+02 4.396313574432399491e+02 4.395087559859871362e+02 4.394020306602394612e+02 4.393074116082605087e+02 4.392218937467532669e+02 4.391423459499216051e+02 4.390702804505780250e+02 4.390018350130810632e+02 4.389438070389343238e+02 4.388776351980835102e+02 4.388232246595872539e+02
