TIME T_liq_Ch0_mesh1 T_liq_Ch0_mesh2 T_liq_Ch0_mesh3 T_liq_Ch0_mesh4 T_liq_Ch0_mesh5 T_liq_Ch0_mesh6 T_liq_Ch0_mesh7 T_liq_Ch0_mesh8 T_liq_Ch0_mesh9 T_liq_Ch0_mesh10 T_liq_Ch0_mesh11 T_liq_Ch0_mesh12 T_liq_Ch0_mesh13 T_liq_Ch0_mesh14 T_liq_Ch0_mesh15 
0.000000000000000000e+00 5.633138618567938920e+02 5.633135643040105833e+02 5.633395402485977002e+02 5.633392475025744943e+02 5.633389545384151234e+02 5.633386612113804404e+02 5.633383674246804276e+02 5.633380730934350140e+02 5.633377781341517903e+02 5.633374824655181783e+02 5.633371860115869367e+02 5.633368886954215213e+02 5.633365904313077408e+02 5.633362911248646014e+02 5.633360550839380494e+02
5.000040000000043960e+01 5.664834134853283558e+02 5.664771523897461520e+02 5.664659735041758495e+02 5.664519075218734088e+02 5.664384644269586033e+02 5.664253192248436335e+02 5.664124648205461199e+02 5.663999121780665291e+02 5.663876729018605829e+02 5.663757589944962092e+02 5.663641829349081718e+02 5.663529577639559420e+02 5.663420971795234209e+02 5.663316156854280052e+02 5.663216182574707318e+02
1.000003999999985922e+02 5.638844097462762193e+02 5.637650802577596778e+02 5.634551070366229624e+02 5.630178723298832892e+02 5.624550768826303511e+02 5.617720823779599186e+02 5.609806447502993478e+02 5.601228256942328017e+02 5.592598090061624134e+02 5.584269038266273810e+02 5.576787812338676531e+02 5.570287800528807338e+02 5.564158722337133440e+02 5.557993018520611486e+02 5.551711866555600636e+02
1.502405034099261059e+02 5.607122146912654443e+02 5.606583940346072268e+02 5.606201757764249578e+02 5.605878958500032923e+02 5.605583669830494955e+02 5.605303000240098754e+02 5.605031374187436768e+02 5.604765529608940824e+02 5.604504989141912574e+02 5.604244927630195434e+02 5.603995968044238225e+02 5.603723610982849550e+02 5.603530185210845502e+02 5.603109101687643943e+02 5.603534328545021026e+02
2.004200391960640388e+02 5.514841588262614778e+02 5.514380975289266189e+02 5.514005151198651902e+02 5.513649784119115793e+02 5.513311098292399492e+02 5.512986509701166824e+02 5.512673379506295532e+02 5.512369910915820128e+02 5.512075415716391262e+02 5.511788630720488982e+02 5.511514801648125967e+02 5.511228585056643396e+02 5.511050286688958977e+02 5.510456182000422132e+02 5.510635464943993611e+02
2.534293625042201370e+02 5.294348028019435333e+02 5.293864169980890892e+02 5.293390961740033163e+02 5.292945143784399988e+02 5.292528339328282527e+02 5.292135781078519585e+02 5.291763368518078323e+02 5.291402285893029784e+02 5.290993720401652354e+02 5.289952824886086091e+02 5.282420855463490170e+02 5.257949430662592931e+02 5.227762355607659401e+02 5.193545611027907398e+02 5.155830493183409544e+02
3.034293625042201370e+02 4.745225367519070119e+02 4.721769914226438800e+02 4.681322966413485460e+02 4.642639288235226900e+02 4.603717156662539196e+02 4.563137237422889143e+02 4.520140623629893071e+02 4.473697828677770190e+02 4.421794690681460338e+02 4.364639633102523817e+02 4.304263702977640378e+02 4.242999053205633686e+02 4.182379864533964451e+02 4.125296699435622827e+02 4.064079697072527324e+02
3.534293625042201370e+02 4.279618799146834363e+02 4.293539670822336802e+02 4.317570613721568975e+02 4.338665514203187854e+02 4.357699367406345914e+02 4.374323008116792835e+02 4.388192798833441657e+02 4.399000307269707832e+02 4.406440257054421750e+02 4.410542434683802639e+02 4.411384768870332209e+02 4.409265374800171458e+02 4.404923852553611709e+02 4.399815676271724669e+02 4.387062017440115937e+02
4.034293625042201370e+02 4.373343945942627897e+02 4.368106214532124909e+02 4.357256742163904732e+02 4.344547768428181485e+02 4.329995118994951895e+02 4.314068569763388723e+02 4.297378087104011684e+02 4.280761749676612453e+02 4.265307163444329603e+02 4.252443738772275879e+02 4.243683427292471606e+02 4.240317607435421792e+02 4.242860329346883077e+02 4.250450085289124331e+02 4.260407315869260287e+02
4.534293625042201370e+02 4.291478133028514321e+02 4.289581596205851497e+02 4.285934684707794418e+02 4.281425936337374765e+02 4.275712314081392265e+02 4.268710268800621748e+02 4.260419752323206239e+02 4.250923183721651526e+02 4.240318529904373577e+02 4.228893428516414019e+02 4.216993626446687813e+02 4.205117096296625050e+02 4.193854784142118319e+02 4.183769748179112185e+02 4.175289395863820232e+02
