TIME T_liq_Ch0_mesh1 T_liq_Ch0_mesh2 T_liq_Ch0_mesh3 T_liq_Ch0_mesh4 T_liq_Ch0_mesh5 T_liq_Ch0_mesh6 T_liq_Ch0_mesh7 T_liq_Ch0_mesh8 T_liq_Ch0_mesh9 T_liq_Ch0_mesh10 T_liq_Ch0_mesh11 T_liq_Ch0_mesh12 T_liq_Ch0_mesh13 T_liq_Ch0_mesh14 T_liq_Ch0_mesh15 
0.000000000000000000e+00 5.633138618567938920e+02 5.633135643040105833e+02 5.633395402485977002e+02 5.633392475025744943e+02 5.633389545384151234e+02 5.633386612113804404e+02 5.633383674246804276e+02 5.633380730934350140e+02 5.633377781341517903e+02 5.633374824655181783e+02 5.633371860115869367e+02 5.633368886954215213e+02 5.633365904313077408e+02 5.633362911248646014e+02 5.633360550839380494e+02
5.000040000000043960e+01 5.659176895915702517e+02 5.659119200467871451e+02 5.658997892609162363e+02 5.658842601246368531e+02 5.658707163986085789e+02 5.658572891195448165e+02 5.658439263673586765e+02 5.658306292079778359e+02 5.658174009257245416e+02 5.658042448378929521e+02 5.657911643432246365e+02 5.657781628487424541e+02 5.657652435130053163e+02 5.657524092418584587e+02 5.657397351378652957e+02
1.000003999999985922e+02 5.625400705111974275e+02 5.625088445012205511e+02 5.624809260351447620e+02 5.624551244677712702e+02 5.624304951321092858e+02 5.624065420982635715e+02 5.623829862380301847e+02 5.623596630733333086e+02 5.623364841428117415e+02 5.623133580730459471e+02 5.622903835127883667e+02 5.622670070255650216e+02 5.622453275938529487e+02 5.622170598198814560e+02 5.622223811868115035e+02
1.502405034099261059e+02 5.535104821403361939e+02 5.534380932132266935e+02 5.533977028018716737e+02 5.533598521872008860e+02 5.533240075948701815e+02 5.532899067825777593e+02 5.532573145655730968e+02 5.532260538347888996e+02 5.531960192035983255e+02 5.531669691145172010e+02 5.531394243848092174e+02 5.531104367035378573e+02 5.530928751825017571e+02 5.530324595254780888e+02 5.533798515989567477e+02
2.004200391960640388e+02 5.301892415664523242e+02 5.301402124926074748e+02 5.300940304942075727e+02 5.300494406836251073e+02 5.300078905142011081e+02 5.299690694080943558e+02 5.299326880432313374e+02 5.298984245998800588e+02 5.298656725497708067e+02 5.298310045218280493e+02 5.297684575277723980e+02 5.294322080305380496e+02 5.277162593714876948e+02 5.249024025604751387e+02 5.224993899790645173e+02
2.553043625042201370e+02 4.152293989467088977e+02 4.134611124838478418e+02 4.110154521449847493e+02 4.070018053063986372e+02 4.042888309385978118e+02 4.029066507793975802e+02 4.028373942073936860e+02 4.040293884238870419e+02 4.062078258684442176e+02 4.081648020776406725e+02 4.102646072346079222e+02 4.115533852220420954e+02 4.115632802614546222e+02 4.106823463838333623e+02 4.094621691006595370e+02
3.053043625042201370e+02 4.442743469574450046e+02 4.439909496163394920e+02 4.434775119022166336e+02 4.430029284521087902e+02 4.425725464760853356e+02 4.421864641877734243e+02 4.418151442952794810e+02 4.414180662713068841e+02 4.409888174910953467e+02 4.405440075540513476e+02 4.400709258697423252e+02 4.395272633157125597e+02 4.383587187281477213e+02 4.373903581273638679e+02 4.362626222330193855e+02
3.553043625042201370e+02 4.368055475852603990e+02 4.363486242552653493e+02 4.357314717908605530e+02 4.351617836910656933e+02 4.346266444254290491e+02 4.341327895707104858e+02 4.336762674901647756e+02 4.332493486283470361e+02 4.328393872601047292e+02 4.324239675237268443e+02 4.319890030160350989e+02 4.315055532846531037e+02 4.308790326243768050e+02 4.299094955871240131e+02 4.283823124556627704e+02
4.053043625042201370e+02 4.307812230537008418e+02 4.305643243353864023e+02 4.301844298579006818e+02 4.298093732561118259e+02 4.294198707982465635e+02 4.290058409069487197e+02 4.285455570164059509e+02 4.280078084540838290e+02 4.273534998545684971e+02 4.265401551389088581e+02 4.255424020017831026e+02 4.243709101573820135e+02 4.230866878307694492e+02 4.217910542723064395e+02 4.206056691018916922e+02
4.553043625042201370e+02 4.328894609863337450e+02 4.311236600340463383e+02 4.302178178906589778e+02 4.294566650711826128e+02 4.286324173938011768e+02 4.277149567430771526e+02 4.267007252614016579e+02 4.255930546438659121e+02 4.243960515985152711e+02 4.231087302427710028e+02 4.217332347122229521e+02 4.202924571485433489e+02 4.188427598446240836e+02 4.174510229118107532e+02 4.161782638429089616e+02
