TIME T_liq_Ch0_mesh1 T_liq_Ch0_mesh2 T_liq_Ch0_mesh3 T_liq_Ch0_mesh4 T_liq_Ch0_mesh5 T_liq_Ch0_mesh6 T_liq_Ch0_mesh7 T_liq_Ch0_mesh8 T_liq_Ch0_mesh9 T_liq_Ch0_mesh10 T_liq_Ch0_mesh11 T_liq_Ch0_mesh12 T_liq_Ch0_mesh13 T_liq_Ch0_mesh14 T_liq_Ch0_mesh15 
0.000000000000000000e+00 5.633138618567938920e+02 5.633135643040105833e+02 5.633395402485977002e+02 5.633392475025744943e+02 5.633389545384151234e+02 5.633386612113804404e+02 5.633383674246804276e+02 5.633380730934350140e+02 5.633377781341517903e+02 5.633374824655181783e+02 5.633371860115869367e+02 5.633368886954215213e+02 5.633365904313077408e+02 5.633362911248646014e+02 5.633360550839380494e+02
5.000040000000043960e+01 5.657399856223787538e+02 5.656821530851045736e+02 5.655747101702025930e+02 5.654682995960065455e+02 5.653567804746701313e+02 5.652422436340357308e+02 5.651247544467236139e+02 5.650042942269014929e+02 5.648807829669921148e+02 5.647540776137880130e+02 5.646239707516507451e+02 5.644901901004456022e+02 5.643523986639627310e+02 5.642101957013547917e+02 5.640632201787668691e+02
1.000003999999985922e+02 5.592802732340530838e+02 5.590191005345481017e+02 5.586385833161940582e+02 5.583135632245599709e+02 5.580047231040745146e+02 5.577103248565634885e+02 5.574290283722569939e+02 5.571571095593129712e+02 5.568876093104144047e+02 5.566101231115326300e+02 5.563106472385144343e+02 5.559707218300627574e+02 5.555655116230185513e+02 5.550677708790568659e+02 5.544967260299497411e+02
1.502405034099261059e+02 5.612869841566470086e+02 5.612236051524545246e+02 5.611834935138011815e+02 5.611533299523281357e+02 5.611268078912264627e+02 5.611014811674929206e+02 5.610765546642154504e+02 5.610518709800421675e+02 5.610273421962492648e+02 5.610032608021180067e+02 5.609787030982261058e+02 5.609561701611917215e+02 5.609276773358952823e+02 5.609152183894668724e+02 5.608679292127300187e+02
2.004200391960640388e+02 5.563216256177061041e+02 5.562581564844600734e+02 5.562153659246531561e+02 5.561818500413093034e+02 5.561515245132161454e+02 5.561224080821590405e+02 5.560939351299999771e+02 5.560658691208051323e+02 5.560383279618495180e+02 5.560108173060218633e+02 5.559846913330464986e+02 5.559555321623354303e+02 5.559320555960238153e+02 5.558069064056210209e+02 5.547018098439485811e+02
2.546349066371080880e+02 5.403703979608608279e+02 5.403240281922383019e+02 5.402784738192709710e+02 5.402359157503732376e+02 5.401963526867043583e+02 5.401592640893475163e+02 5.401242213204668587e+02 5.400905423854993614e+02 5.400549558345458081e+02 5.399876245872305844e+02 5.396182417453733251e+02 5.377569922655786741e+02 5.350439923763335628e+02 5.318055823175798196e+02 5.284193607149551326e+02
3.077599066371080880e+02 5.140814673014424443e+02 5.140342212614604023e+02 5.139942608790538543e+02 5.139543821837585256e+02 5.139166775012466815e+02 5.138806863427928420e+02 5.138463104917246937e+02 5.138129928735054364e+02 5.137809188774464246e+02 5.137497820451573034e+02 5.137202806899040297e+02 5.136706736332324681e+02 5.132820606708471587e+02 5.084117698270982828e+02 4.878997149563024891e+02
3.577599066371080880e+02 4.167613833231904437e+02 4.149937951808973366e+02 4.122511288868502106e+02 4.099782983695372991e+02 4.079941068200105860e+02 4.062668621750379998e+02 4.047610494808654948e+02 4.034396906011474471e+02 4.022663051788516668e+02 4.012065948236992767e+02 4.002299725599235671e+02 3.993101509949357251e+02 3.984262046228745930e+02 3.975617669717945546e+02 3.966984919449229210e+02
4.077599066371080880e+02 4.212147728309965942e+02 4.223420773903782219e+02 4.243305748874475967e+02 4.261141231243228162e+02 4.277042831102558011e+02 4.290226207891444687e+02 4.300170525886237556e+02 4.306742438699661761e+02 4.310251530148044594e+02 4.311396879594220763e+02 4.311095741462953015e+02 4.310235523911321707e+02 4.309443545465609304e+02 4.308911721837443451e+02 4.308126571980101289e+02
4.577599066371080880e+02 4.329725432618374157e+02 4.328020125656211121e+02 4.325175523539928690e+02 4.320790089800810279e+02 4.314795529819841704e+02 4.307249787959038940e+02 4.298283954037508465e+02 4.288125065852191824e+02 4.277092127592378574e+02 4.265560037257554313e+02 4.253899607204226072e+02 4.242412300803645167e+02 4.231300353789013116e+02 4.220722813554385766e+02 4.210984043557564291e+02
