TIME void_Ch3_mesh1 void_Ch3_mesh2 void_Ch3_mesh3 void_Ch3_mesh4 void_Ch3_mesh5 void_Ch3_mesh6 void_Ch3_mesh7 void_Ch3_mesh8 void_Ch3_mesh9 void_Ch3_mesh10 void_Ch3_mesh11 void_Ch3_mesh12 void_Ch3_mesh13 void_Ch3_mesh14 void_Ch3_mesh15 
0.000000000000000000e+00 1.020922114411899294e-05 1.020939273052746068e-05 1.020882848170312699e-05 1.020745131894299321e-05 1.020583209447052546e-05 1.020447234509394383e-05 1.020314147792257324e-05 1.020180595356578348e-05 1.020021254145741457e-05 1.019885843005042817e-05 1.019746587386831080e-05 1.019596176556267762e-05 1.019409761155669489e-05 1.019331859439897771e-05 1.019353945337985338e-05
5.000040000000043960e+01 2.826009920005741471e-01 2.282355943191736736e-01 2.524107751237554820e-01 2.860515309048279331e-01 3.134929977635045883e-01 3.402053949155898760e-01 3.658604084513097932e-01 3.892611476995781472e-01 4.071319716877828676e-01 4.253304287365826664e-01 4.442590188007233820e-01 4.624995085365933845e-01 4.824391881267766635e-01 4.497457010515223397e-01 4.720678301370833663e-01
1.000003999999985922e+02 4.076909647731105646e-01 6.034940142367907490e-02 2.074245156726820527e-01 4.893264967997538739e-01 5.712453836698938581e-01 6.739298542084274368e-01 7.492014949190184403e-01 7.837655856654596187e-01 8.203991581306652181e-01 8.074858649087992557e-01 8.013610518224558721e-01 7.895704237691689720e-01 8.046374915782231740e-01 7.289347976574183097e-01 7.946824599258522914e-01
1.502405034099261059e+02 5.436480472654054985e-01 2.181838852489748348e-01 3.568808326627449512e-01 4.630406878423738992e-01 5.306336600162293582e-01 5.784541844257387044e-01 6.197984308199832038e-01 6.444649842357853542e-01 6.612491413959068476e-01 6.878963554150860915e-01 7.463459257584652562e-01 7.590923027997170669e-01 7.913694750886072216e-01 8.677029142221274194e-01 9.999839599531566980e-01
2.004200391960640388e+02 7.986793507656231306e-01 9.999978001277327611e-01 9.999878336297688408e-01 9.999851674541719859e-01 9.999862583403187344e-01 9.999878554355569049e-01 9.999895947871142443e-01 9.999910202285464678e-01 9.999921734981630506e-01 9.999930325795730601e-01 9.999937498484949838e-01 9.999943235083859072e-01 9.999948867661861973e-01 9.999952287003521789e-01 9.999941169073298664e-01
2.553043625042201370e+02 7.065003681249687559e-04 1.815524246626405930e-03 1.725038018880627189e-02 2.091178820919014358e-01 3.280830378453450935e-01 3.960823866257688342e-01 4.530535879383578157e-01 5.149382650435091469e-01 5.907873170645132621e-01 6.402219762262014724e-01 7.252196641326279503e-01 7.226028542540799959e-01 8.713456873266607339e-01 9.998300683137152367e-01 9.998016905050068903e-01
3.053043625042201370e+02 7.502270559788978528e-04 1.030098778699496963e-04 1.540348966257540884e-02 1.738722584844147323e-01 3.084903645471879230e-01 4.019002468829273589e-01 4.801579849725478022e-01 5.370512707381585038e-01 5.792707849159168809e-01 6.086617069869835195e-01 6.595748354379684653e-01 6.580463474874558294e-01 7.596541919535609866e-01 5.916181919008427492e-01 7.720358840568629644e-01
3.553043625042201370e+02 4.208227883883249509e-04 2.737955827522918603e-04 4.358626903936259171e-05 5.343307569503517179e-02 2.027217090833423885e-01 3.216935143250619356e-01 4.151527955346251963e-01 4.830336098812967327e-01 5.333983343333610350e-01 5.689462562192260098e-01 6.222272831172638297e-01 6.268619339672839574e-01 7.294365453683474554e-01 5.602329846918482348e-01 7.522982172533395628e-01
4.053043625042201370e+02 1.701542495491765409e-04 1.134884993323982867e-04 2.958956339450963133e-05 7.838571503819766195e-02 2.444339297268963151e-01 3.738080836994481237e-01 4.749470472610730631e-01 5.428469603628042206e-01 5.936826649925108779e-01 6.205586147475020686e-01 6.846226646851636399e-01 6.671308392317256697e-01 8.016476068065344629e-01 5.639223861758003720e-01 8.260266247500660519e-01
4.553043625042201370e+02 1.238379542989686373e-04 1.107772924756625040e-04 1.773823116287487833e-05 5.610484512300833310e-02 2.087307925313844348e-01 3.264483772266613681e-01 4.175623047275610067e-01 4.834671829811931221e-01 5.323094334780774650e-01 5.651602635157980670e-01 6.227452638478687685e-01 6.162989449175076961e-01 7.372874675783597231e-01 5.389064606295534965e-01 7.634567399768562579e-01
5.053043625042201370e+02 9.280483395942963165e-05 8.904784983459465347e-05 1.606645603629533711e-05 5.342934503960198450e-02 2.046715958971392635e-01 3.219365099614848735e-01 4.130822800302703657e-01 4.790001835974501687e-01 5.278678093844946240e-01 5.610630272541083929e-01 6.182916662161713761e-01 6.127975412638926311e-01 7.325830278606122459e-01 5.356023132477121251e-01 7.594712245502951431e-01
5.553043625042200802e+02 6.175853268317427712e-05 6.336783381926582178e-05 1.405595192087898372e-05 5.194299630723466649e-02 2.028654980380189821e-01 3.200412696479076335e-01 4.112227221070759442e-01 4.771187127813970030e-01 5.259552340656219460e-01 5.592725523657380293e-01 6.163450495481223035e-01 6.111569922925895737e-01 7.304882012948974435e-01 5.339746671465460670e-01 7.579598930041359095e-01
6.053043625042200802e+02 3.906948285428376612e-05 4.155375236467071345e-05 1.239008799112913644e-05 4.966640681323660628e-02 2.003078920080161307e-01 3.175982119789184654e-01 4.090276227504736628e-01 4.750387959393592707e-01 5.239658896559741263e-01 5.574907950003128443e-01 6.144512107554926938e-01 6.096517891284755075e-01 7.285058770931707173e-01 5.326230209694158280e-01 7.568437988168322805e-01
6.569293625042200802e+02 2.540437228828080972e-05 2.706899596761263164e-05 1.129454925306956414e-05 4.824753743363661973e-02 1.984381812014869850e-01 3.157408347955840133e-01 4.073100709009918607e-01 4.733935788598492289e-01 5.223717531430019934e-01 5.560872433491250710e-01 6.128688281296336138e-01 6.085305512979609643e-01 7.266950457455245704e-01 5.317874160545528195e-01 7.559499516904216732e-01
7.069293625042200802e+02 1.851440057289936020e-05 1.940585392638403874e-05 1.072525865937514295e-05 4.316301391724484265e-02 1.929621046305382281e-01 3.107405458783689678e-01 4.031131629461431887e-01 4.696002037913280525e-01 5.189528944481075490e-01 5.531337354058093458e-01 6.097594200395095587e-01 6.063109261176321541e-01 7.234870558556459885e-01 5.300712997626845224e-01 7.539360774684183975e-01
7.569293625042200802e+02 1.511225803116718825e-05 1.557075792175900949e-05 1.041946910475425964e-05 3.892677371335215991e-02 1.878894585939938910e-01 3.057385595712018289e-01 3.985707715042139943e-01 4.652742923325420832e-01 5.148919712703008411e-01 5.494216580930822991e-01 6.059851108164742151e-01 6.031569781985880452e-01 7.198576522082861251e-01 5.270665282104943783e-01 7.517662364740534953e-01
8.069293625042200802e+02 1.351293919520309375e-05 1.333750834688811932e-05 1.034830890486620108e-05 4.006325488042600941e-02 1.918344252751212342e-01 3.149743953704236543e-01 4.099109829421044293e-01 4.789167299881607054e-01 5.294783595680043753e-01 5.639085373445523741e-01 6.222976198134815284e-01 6.155832198334222349e-01 7.375494798181526646e-01 5.378888974234549147e-01 7.692520634841411020e-01
8.569293625042200802e+02 5.290393641114655076e-04 2.742940250621197108e-04 2.823338122793735667e-05 8.956014000011976173e-02 2.363157550428819087e-01 3.482692960046951391e-01 4.339355760123994044e-01 4.968074656363957731e-01 5.425181203709695810e-01 5.738478096807948514e-01 6.295973595179154003e-01 6.219486323756954205e-01 7.405642895299686668e-01 5.440472013448377497e-01 7.709386114917120558e-01
9.069293625042200802e+02 7.546523226395041896e-03 1.460589906589424827e-03 1.173868167224980259e-04 1.457007680102970770e-01 2.807397216597354306e-01 3.810379250263090656e-01 4.595943014227283907e-01 5.175502800872937570e-01 5.602297482768809900e-01 5.878548540136605549e-01 6.444292858538211988e-01 6.305277905435962005e-01 7.554988044785326817e-01 5.490075852527236400e-01 7.871739498832421855e-01
9.569293625042200802e+02 7.134019745549816452e-03 1.449748219643901860e-03 1.175743346050384970e-04 1.567625193219669422e-01 2.898916684421184442e-01 3.879609788251366376e-01 4.653404454073931107e-01 5.223632145360885826e-01 5.644985056626024011e-01 5.914943143886294274e-01 6.481294689241464679e-01 6.330985530013474305e-01 7.589833415921664050e-01 5.512557075102501036e-01 7.919840812542754405e-01
1.006929362504220080e+03 4.508919253251949914e-03 9.204656825961191448e-04 1.578752613046709640e-04 1.629106423803489967e-01 2.954580390822670877e-01 3.925023185591650643e-01 4.692025516821104469e-01 5.256588222023245160e-01 5.673895860893564125e-01 5.939975116506197583e-01 6.504959847791043082e-01 6.349154451944493127e-01 7.609003710766791828e-01 5.528994110394560568e-01 7.949493041880661970e-01
1.056929362504220080e+03 2.752722611233169962e-03 3.605937509779064696e-04 4.025906462745560722e-03 1.697246815846679135e-01 3.034680241660182021e-01 3.996798681653368490e-01 4.769948332694007309e-01 5.327041796331172252e-01 5.746144750920060273e-01 6.002519174124477663e-01 6.573457593619248529e-01 6.401346555090023926e-01 7.684884281027609676e-01 5.570343077736729098e-01 8.036222501715101219e-01
1.106929362504220080e+03 1.027543425345939579e-02 6.167530436230677727e-04 1.465549888679368654e-02 1.839591788704023623e-01 3.151134362737571526e-01 4.069733346187359158e-01 4.833703972687372619e-01 5.373756545807638618e-01 5.781804304392903493e-01 6.032999442678467217e-01 6.594591789364506740e-01 6.428238195912663322e-01 7.679050188333060856e-01 5.615593012273603080e-01 8.024802279594736021e-01
1.156929362504220080e+03 8.941519602399165476e-03 5.449394172819034023e-04 3.348591408282161619e-02 2.133781860891051096e-01 3.458170984531658276e-01 4.329592391162421228e-01 5.079634017336632779e-01 5.591018900452529028e-01 6.000631868431570703e-01 6.216441396223648663e-01 6.810717552364938809e-01 6.556943787144511315e-01 7.914924006266825796e-01 5.707141806363669190e-01 8.274841644129156126e-01
1.206929362504220080e+03 2.189316763037311639e-02 1.263333356036223020e-03 7.249278037197229296e-02 2.510913744235649392e-01 3.749869901922247561e-01 4.544422956035962247e-01 5.266318397472008472e-01 5.738363909912768124e-01 6.141393446092464625e-01 6.315690274852202579e-01 6.947379842969417796e-01 6.600876988753292540e-01 8.075375544749897605e-01 5.712034915972773463e-01 8.468374316180190542e-01
1.256929362504220080e+03 2.105930000300412774e-02 1.875410138460741885e-03 7.285737413652305927e-02 2.490317242151369181e-01 3.712242180610312858e-01 4.505678219288756781e-01 5.221316479599950044e-01 5.697689934750578278e-01 6.095030500602618417e-01 6.285674155407179331e-01 6.892539342404063740e-01 6.590133375097770863e-01 8.000395692065404019e-01 5.727266948970486382e-01 8.392066319448173717e-01
