TIME void_Ch3_mesh1 void_Ch3_mesh2 void_Ch3_mesh3 void_Ch3_mesh4 void_Ch3_mesh5 void_Ch3_mesh6 void_Ch3_mesh7 void_Ch3_mesh8 void_Ch3_mesh9 void_Ch3_mesh10 void_Ch3_mesh11 void_Ch3_mesh12 void_Ch3_mesh13 void_Ch3_mesh14 void_Ch3_mesh15 
0.000000000000000000e+00 1.020922114411899294e-05 1.020939273052746068e-05 1.020882848170312699e-05 1.020745131894299321e-05 1.020583209447052546e-05 1.020447234509394383e-05 1.020314147792257324e-05 1.020180595356578348e-05 1.020021254145741457e-05 1.019885843005042817e-05 1.019746587386831080e-05 1.019596176556267762e-05 1.019409761155669489e-05 1.019331859439897771e-05 1.019353945337985338e-05
5.000040000000043960e+01 9.007449391661606630e-02 7.077258307024988926e-02 7.119526008125882932e-02 9.955842105411792653e-02 1.268119339874055340e-01 1.526672308615761031e-01 1.770888057865055432e-01 2.016770641292653377e-01 2.207607960118065649e-01 2.406137304353366813e-01 2.601995107121556350e-01 2.816276310649453163e-01 2.997072959336802289e-01 2.913329336267474479e-01 3.071925208933768969e-01
1.000003999999985922e+02 9.357089825267192462e-02 7.052745512743252392e-03 1.499922310571196737e-01 2.999236495238623013e-01 3.724454551296584315e-01 4.265067596965199104e-01 4.766997615541610500e-01 5.064761039985219426e-01 5.288200473287151260e-01 5.460995038850059435e-01 5.708284050437879564e-01 5.770530196661668443e-01 6.034054623990305899e-01 4.643762057087285067e-01 6.374683795212874315e-01
1.502405034099261059e+02 1.891206940153922766e-01 4.200412589010566605e-02 1.321795798209393080e-01 2.857895460966783929e-01 3.819774131369476078e-01 4.783948830042261124e-01 5.678170053541484741e-01 6.360418599397665851e-01 6.808889085941511876e-01 7.235183452975070262e-01 7.703999887373309541e-01 7.952475827461306102e-01 8.231056492242359024e-01 7.013953285269987070e-01 8.418858813122176432e-01
2.004200391960640388e+02 3.131845164861664088e-01 1.333527266121985744e-01 2.418453950351665549e-01 3.396043213429063568e-01 4.032576533255362028e-01 4.587611238676538861e-01 5.142240130685570287e-01 5.568923789002919733e-01 5.868407261182094770e-01 6.116414678255003290e-01 6.535748106921031031e-01 6.665544443914522832e-01 7.032058319914603617e-01 9.999859566943296585e-01 9.998690433757360108e-01
2.534293625042201370e+02 4.120122767259649654e-01 1.793833711760108307e-01 3.048241863540175900e-01 4.056359667615082598e-01 4.635468051228666675e-01 5.174810933097494514e-01 5.642144781328549685e-01 6.160353745311486495e-01 6.052888608575627272e-01 7.131115434300777656e-01 5.442111514596308375e-01 9.998647964893202511e-01 9.999632713474390089e-01 9.999817848603979042e-01 9.999820710541197366e-01
3.034293625042201370e+02 6.790346305479889599e-01 2.971633715419900734e-01 4.521650511825024421e-01 5.505562413935576327e-01 5.999494586730987900e-01 6.440587897457086264e-01 6.904188649053532023e-01 7.364339649041707903e-01 7.188065456392894736e-01 7.979484754356221954e-01 7.417893858468532775e-01 9.997948395654222553e-01 9.999421091464634204e-01 9.999721458998939161e-01 9.999729384019651057e-01
3.534293625042201370e+02 3.431297827655489536e-04 1.886335939869047279e-04 6.956046451582989932e-05 4.728614428926217992e-05 4.034558348686646985e-05 1.393147241640024195e-05 8.981372460162755089e-02 2.423159480711095659e-01 3.567089664100092650e-01 4.347834009575238245e-01 5.115223146559727541e-01 5.455041024238665992e-01 6.493821749447050706e-01 5.085237263525963503e-01 6.693197051476882375e-01
4.034293625042201370e+02 2.287317965272583518e-04 1.690912979826484145e-04 7.353996570125676934e-05 5.198493330527299291e-05 4.428623584573935720e-05 1.494390503143871681e-05 7.039091540339031949e-02 2.198112721078323839e-01 3.366622404594257767e-01 4.180626254308344447e-01 4.961850903617581743e-01 5.349195603187233417e-01 6.384225099048145280e-01 4.986693614530912644e-01 6.725368375639567686e-01
4.534293625042201370e+02 2.065509280010986606e-04 1.548853935500657509e-04 6.889489089994231411e-05 1.474104924068898664e-05 3.284926839540313476e-02 1.580701656399027266e-01 2.706695958873929220e-01 3.560390561964774103e-01 4.189325750731096587e-01 4.660587101760666484e-01 5.257094335074889990e-01 5.404892529093231479e-01 6.478761117047902029e-01 4.746091870770273724e-01 6.817756300251737178e-01
5.034293625042201370e+02 1.444714346686439260e-04 1.206688373230271888e-04 6.168004408127739817e-05 1.337953254897350543e-05 1.062418249714228019e-01 2.283182269393126962e-01 3.337354687278536458e-01 4.070234429779732155e-01 4.634127366944916226e-01 5.027085807228629522e-01 5.613995025267839445e-01 5.649425320872565326e-01 6.822288446168867093e-01 4.865645640005883954e-01 7.144606847709711328e-01
5.534293625042200802e+02 1.125060294382018591e-04 1.009404040143393235e-04 5.769007202812863116e-05 1.334345045174769563e-05 1.028066690271632333e-01 2.262252868653183147e-01 3.317362460100310995e-01 4.057846292870816995e-01 4.620653545642205984e-01 5.017719159233851034e-01 5.600483173288360872e-01 5.641758404906943580e-01 6.801161006780965801e-01 4.860097486095723562e-01 7.112068905742139346e-01
