TIME void_Ch3_mesh1 void_Ch3_mesh2 void_Ch3_mesh3 void_Ch3_mesh4 void_Ch3_mesh5 void_Ch3_mesh6 void_Ch3_mesh7 void_Ch3_mesh8 void_Ch3_mesh9 void_Ch3_mesh10 void_Ch3_mesh11 void_Ch3_mesh12 void_Ch3_mesh13 void_Ch3_mesh14 void_Ch3_mesh15 
0.000000000000000000e+00 1.020922114411899294e-05 1.020939273052746068e-05 1.020882848170312699e-05 1.020745131894299321e-05 1.020583209447052546e-05 1.020447234509394383e-05 1.020314147792257324e-05 1.020180595356578348e-05 1.020021254145741457e-05 1.019885843005042817e-05 1.019746587386831080e-05 1.019596176556267762e-05 1.019409761155669489e-05 1.019331859439897771e-05 1.019353945337985338e-05
5.000040000000043960e+01 4.208440328835670596e-02 3.375620361538287512e-02 3.625438474266981514e-02 5.536489737508426545e-02 7.463671408749218694e-02 9.349849081703688614e-02 1.113466747829607306e-01 1.301633197147806509e-01 1.441270527035635740e-01 1.593718939566274029e-01 1.744693038050464939e-01 1.922677148292184501e-01 2.056538067497370725e-01 2.032185518834389026e-01 2.153329287358356214e-01
1.000003999999985922e+02 9.055011711765161009e-02 6.329678859727680407e-02 8.677449624250226090e-02 1.359173103338404687e-01 1.786632285302147405e-01 2.166771415880519858e-01 2.519629559747948999e-01 2.833151910226248682e-01 3.102896032300989648e-01 3.354863140704247293e-01 3.610385733699761901e-01 3.840861615006915253e-01 4.116867278715469203e-01 3.802828936519868086e-01 4.070541252126729237e-01
1.502405034099261059e+02 1.785870979522375876e-02 7.735840557225177362e-03 3.081748639668828171e-01 4.249132027323314631e-01 5.256664926189555942e-01 5.685470781088028946e-01 6.159105813824230502e-01 6.363264359530944603e-01 6.550328010798932565e-01 6.656660215361566157e-01 6.857175989627783963e-01 6.908353986298995109e-01 7.145566444215785129e-01 5.478713016965751637e-01 7.590644652759449551e-01
2.004200391960640388e+02 1.235056302887262425e-01 3.355320405300097480e-02 1.111222291910380633e-01 3.084208357428987468e-01 4.142685454736635409e-01 5.078060596336665400e-01 5.900854939252894171e-01 6.443505113294046849e-01 6.782495725850835600e-01 7.122502499165804801e-01 7.526269991007791260e-01 7.738277624109241026e-01 8.184835654050932607e-01 6.258124221162787437e-01 8.524230642449618367e-01
2.544293625042201370e+02 3.393229027878131299e-01 8.006757781017109776e-02 1.812534591621806357e-01 2.898451002493580564e-01 3.547397334148157388e-01 4.067940253290214248e-01 4.585619924282642312e-01 4.959319234510667918e-01 5.223988232724928737e-01 5.491209519845032805e-01 5.872258984231082390e-01 6.094655313569597999e-01 6.372724696767488872e-01 6.548466724283948937e-01 2.623351544787358436e-01
3.044293625042201370e+02 3.187933202497784113e-01 1.327475650255101336e-01 2.326231349799508796e-01 3.351364795111916872e-01 4.020184793687248681e-01 4.590131714429215304e-01 5.117264809124119074e-01 5.566764359594597034e-01 5.692013681782942536e-01 6.278333089179353177e-01 5.702085247721035977e-01 8.125083049652292999e-01 9.999990000653409261e-01 9.999990000655427647e-01 9.999990000660556877e-01
3.575543625042201370e+02 3.954707621382805294e-01 1.286949636243212014e-01 2.522351770679085448e-01 3.601773779756358151e-01 4.224252192127490035e-01 4.765788244872507518e-01 5.323264809845490442e-01 5.640965950749006197e-01 6.093100675915511522e-01 5.766515450575114832e-01 7.718861520122979325e-01 9.999990000711438398e-01 9.999990000712325466e-01 9.999990000713414595e-01 9.999990000713835370e-01
4.075543625042201370e+02 5.163830012801242653e-01 2.460465624104615778e-01 3.733729557996917081e-01 4.636368284007830187e-01 5.239860297114784515e-01 5.752887218865435637e-01 6.245477852732532753e-01 6.627641400105592773e-01 6.791647799772325689e-01 7.174789011035862529e-01 7.166142832741448920e-01 7.999127731824501319e-01 6.933994447748035306e-01 9.946960179821603409e-01 9.999952966660109466e-01
4.575543625042201370e+02 2.704271703240531516e-04 1.790450364859791322e-04 7.169761777687460680e-05 5.057582942870197257e-05 4.377267170907070350e-05 1.652165881862811733e-05 2.121992643817935398e-02 1.665959391344999652e-01 2.896778325855582370e-01 3.778310982576303934e-01 4.541766132008029921e-01 5.006557066467438588e-01 5.841889192162740274e-01 4.809125812718550996e-01 5.893633789700964964e-01
5.075543625042201370e+02 2.584862611853139280e-04 1.436793435435336724e-04 5.612094948643701577e-05 3.927539874523996451e-05 3.369951564121604265e-05 1.174173521078109841e-05 7.950094485139697076e-02 2.145626558492990943e-01 3.201939272992806451e-01 3.947670980717772893e-01 4.695698187107336663e-01 5.015054338792692690e-01 6.112069031148739118e-01 4.520671639771537409e-01 6.461278607928616635e-01
5.575543625042200802e+02 2.468431890174261766e-04 1.622322604451226365e-04 5.756118121473338423e-05 4.105215682588358425e-05 1.112323738678395817e-05 6.432475389486524975e-02 1.969994793734719529e-01 3.047563046639484297e-01 3.814148291579624317e-01 4.383490127311420181e-01 5.026277729987889131e-01 5.235232641899814077e-01 6.308534804633580961e-01 4.613852834582457541e-01 6.648868580669551331e-01
6.075543625042200802e+02 1.676729960464551437e-04 1.292204166526787074e-04 5.867183388664014672e-05 1.478437670385676551e-05 1.051148773209790131e-02 1.495225895224286117e-01 2.697358544640171552e-01 3.597540325685634199e-01 4.241668237806829334e-01 4.720182744476124070e-01 5.334848588736841313e-01 5.440622509632438986e-01 6.591606758156107748e-01 4.703534600809800015e-01 6.959229846052346069e-01
6.575543625042200802e+02 1.936260227223107332e-04 1.440207641080244868e-04 6.463902581633495267e-05 1.378230309219240433e-05 4.516301043212606753e-02 1.744821183837426959e-01 2.862317018970023663e-01 3.684656540313737683e-01 4.290850719460534979e-01 4.737322054713409836e-01 5.330998041937486942e-01 5.428758168682287222e-01 6.558062681155362172e-01 4.682911254709356541e-01 6.899513472300324857e-01
7.075543625042200802e+02 1.441977580220227706e-04 1.212109621340417626e-04 6.212751017933991937e-05 1.358646423111484985e-05 7.468070214272970464e-02 1.949561472383695704e-01 2.999799013333682707e-01 3.758900003877671536e-01 4.330713589129430718e-01 4.749884956049004181e-01 5.326434581406743751e-01 5.413843235372765017e-01 6.526423484775145667e-01 4.649986495413152565e-01 6.853398216496346951e-01
7.575543625042200802e+02 1.009421819225983475e-04 9.425734552595931427e-05 5.609167047567151931e-05 1.317971253232232773e-05 8.576923619062773452e-02 2.026888980607310098e-01 3.049886834354825771e-01 3.785486651352198417e-01 4.342552812652099026e-01 4.751088603336078298e-01 5.320220184871167213e-01 5.403379027123924594e-01 6.506696366098492224e-01 4.628704954253159420e-01 6.826925033603924442e-01
