TIME void_Ch3_mesh1 void_Ch3_mesh2 void_Ch3_mesh3 void_Ch3_mesh4 void_Ch3_mesh5 void_Ch3_mesh6 void_Ch3_mesh7 void_Ch3_mesh8 void_Ch3_mesh9 void_Ch3_mesh10 void_Ch3_mesh11 void_Ch3_mesh12 void_Ch3_mesh13 void_Ch3_mesh14 void_Ch3_mesh15 
0.000000000000000000e+00 1.020922114411899294e-05 1.020939273052746068e-05 1.020882848170312699e-05 1.020745131894299321e-05 1.020583209447052546e-05 1.020447234509394383e-05 1.020314147792257324e-05 1.020180595356578348e-05 1.020021254145741457e-05 1.019885843005042817e-05 1.019746587386831080e-05 1.019596176556267762e-05 1.019409761155669489e-05 1.019331859439897771e-05 1.019353945337985338e-05
5.000040000000043960e+01 3.791250235216266362e-01 2.102939144607405275e-01 3.264358458874559998e-01 4.127871903407600573e-01 4.670018826625815800e-01 5.072559698509372383e-01 5.491891171716675180e-01 5.770068161578931765e-01 5.970442051188770138e-01 6.129998333417507883e-01 6.406725437130583733e-01 6.443503303146140837e-01 7.060684798475507229e-01 5.655896223116942956e-01 6.732613298719632988e-01
1.000003999999985922e+02 4.477690210918673364e-01 1.975839048770970940e-01 3.332602688736885921e-01 4.372795512534195517e-01 4.844314171876178965e-01 5.140118582936846758e-01 5.575168070809003451e-01 6.035766882421279567e-01 6.622549865437742378e-01 7.159058994322936575e-01 7.677752065306714391e-01 7.898947847124706545e-01 8.443337402785441315e-01 7.077040521160204989e-01 9.317933005874659003e-01
1.502405034099261059e+02 9.999954856934489822e-01 9.999935802770918425e-01 9.999935120883496342e-01 9.999932222874516885e-01 9.999927835645019414e-01 9.999922368928461092e-01 9.999916223701207363e-01 9.999907734860566944e-01 9.999896296410023533e-01 9.999879564229692264e-01 9.999856268706126539e-01 9.999811997578136324e-01 9.999717716010594337e-01 9.999453208175231866e-01 9.998699552540358804e-01
2.004200391960640388e+02 5.826958495443178565e-01 1.803602322952831960e-01 3.602854750420267371e-01 5.079058207937926506e-01 6.035091943379580215e-01 5.175965596171125949e-01 9.992966280889781228e-01 9.998662760059044974e-01 9.999453216783520393e-01 9.999681802111993756e-01 9.999782529419445343e-01 9.999833080058305734e-01 9.999862648206456761e-01 9.999878798133059465e-01 9.999813828732515564e-01
2.553043625042201370e+02 8.005351887296107208e-04 7.956721313231765436e-05 2.025931679605385075e-02 2.116094957136423482e-01 3.082027231127171807e-01 3.678217792588498458e-01 4.423984443506923658e-01 5.093179787169284101e-01 5.922242642737606255e-01 5.887626024397705216e-01 6.621330370568984103e-01 5.976759204384584079e-01 9.778240023426461036e-01 9.936461920574619633e-01 9.999840452812354119e-01
3.053043625042201370e+02 5.238852127194336232e-04 3.147702591271211514e-04 4.845921507994132242e-05 1.229762963720874014e-01 2.724178776432772953e-01 3.814956478871201484e-01 4.654666860177390508e-01 5.270220040278242868e-01 5.718017187113545452e-01 6.026215766591693779e-01 6.506780381033836491e-01 6.561967607577426920e-01 7.472944710292894754e-01 5.933754929856203120e-01 7.651991930251327290e-01
3.553043625042201370e+02 2.055084428285922343e-04 1.520764208429017180e-04 4.986199062699006818e-05 3.375836360125194537e-03 1.466249519734819651e-01 2.913752273420847638e-01 4.031269564238059155e-01 4.810708593895655638e-01 5.360125631224977871e-01 5.751467518989095140e-01 6.255470440994630454e-01 6.387773820524853541e-01 7.241646657114613195e-01 5.850896040243270813e-01 7.449562784322186770e-01
4.053043625042201370e+02 6.784799777506400349e-05 6.063667404104099997e-05 1.226025653421567009e-05 1.667673856526948883e-01 3.305822905593863714e-01 4.146358454391655957e-01 4.986803208960141065e-01 5.470561872329486874e-01 5.890857643852235315e-01 6.124177928640380797e-01 6.645046554454453469e-01 6.544111266467325105e-01 7.614625122731621953e-01 5.815108389774210629e-01 7.777141031513062908e-01
4.553043625042201370e+02 9.997230890263437205e-05 9.280913073712061801e-05 1.522147107838982509e-05 4.932058655938874325e-02 2.155054905361217243e-01 3.418540369161955361e-01 4.365502546549084317e-01 5.043344403807494825e-01 5.543991851525987835e-01 5.866390373754482024e-01 6.467585537917832639e-01 6.355637482475408051e-01 7.626245208152443444e-01 5.590248261846781919e-01 7.932876149502807728e-01
5.053043625042201370e+02 6.974995005970169889e-05 6.985171788259189238e-05 1.420886677038591750e-05 5.319149672894785824e-02 2.176576054103618041e-01 3.423298102346951088e-01 4.360841596734121861e-01 5.033838346729643254e-01 5.528106401427524963e-01 5.849721756585597454e-01 6.444551598343756238e-01 6.335692487680608664e-01 7.597163816073883025e-01 5.564492188343558299e-01 7.909967289708160765e-01
5.553043625042200802e+02 4.386954161855883660e-05 4.632434204935377179e-05 1.235467371072195094e-05 6.324334123371989913e-02 2.230362256680243627e-01 3.448910513084654794e-01 4.362322272035168980e-01 5.025333493959995845e-01 5.510434773740224834e-01 5.830459017378254449e-01 6.415945191162327754e-01 6.317510036048771260e-01 7.557332014643809437e-01 5.548955721297558208e-01 7.872637688828376668e-01
6.053043625042200802e+02 2.826360875805499246e-05 3.016651762795040614e-05 1.139844486864096393e-05 5.887992292331905436e-02 2.197293379280226000e-01 3.421712161246832640e-01 4.343896438790243453e-01 5.009796118572518164e-01 5.497630929422976376e-01 5.819033121442861445e-01 6.407302562095756882e-01 6.304586531978804143e-01 7.553818984436472261e-01 5.531876154353738695e-01 7.880051640089031917e-01
6.553043625042200802e+02 1.989168435885660174e-05 2.101912339971247237e-05 1.075893072760273318e-05 6.078851030225568275e-02 2.204296284878749790e-01 3.421660091623155431e-01 4.338806825525972632e-01 5.002410522718657715e-01 5.488051171123795591e-01 5.809621195227796520e-01 6.395275645216259575e-01 6.295109744205449331e-01 7.539069337846172614e-01 5.522532675127623802e-01 7.873166868191385781e-01
7.065543625042200802e+02 1.534115890947839456e-05 1.595034141047776773e-05 1.040545757473149193e-05 6.356517697389633959e-02 2.218391607991551662e-01 3.427011653835210225e-01 4.337661505012213037e-01 4.998296574421141059e-01 5.481221704515607529e-01 5.802451926687339778e-01 6.385545505458685156e-01 6.287082757855979587e-01 7.526618825450029915e-01 5.514241124077851053e-01 7.869510355494763187e-01
7.596793625042200802e+02 1.312119701503857443e-05 1.340464641790786990e-05 1.022877177795805421e-05 6.864078012120113093e-02 2.254903000634102261e-01 3.452268015311898974e-01 4.353279639366873233e-01 5.009295058849045912e-01 5.487861564455321917e-01 5.806980674514727880e-01 6.388061097103681085e-01 6.287419208917053304e-01 7.526453543072547658e-01 5.512464945297442798e-01 7.877387622299300007e-01
8.096793625042200802e+02 1.269756133471767991e-05 1.282577170375281370e-05 1.018625743316730113e-05 9.507302602454027751e-02 2.486772480545017261e-01 3.642755252939103294e-01 4.508915282763401589e-01 5.143805260291722803e-01 5.605340216411278664e-01 5.908018325211662480e-01 6.487607207750517579e-01 6.362515919184761337e-01 7.615191720338941872e-01 5.577943746999870500e-01 7.960997029703869021e-01
8.596793625042200802e+02 3.282530428543779539e-04 1.973035661772319605e-04 2.194196363223344519e-05 9.927094507234821008e-02 2.506355919586302217e-01 3.649151615769573032e-01 4.506891184587474286e-01 5.138219875140649373e-01 5.596672568923282132e-01 5.899520965326280342e-01 6.475145841565651539e-01 6.354014246910706376e-01 7.598965400680488536e-01 5.570951534681037876e-01 7.957776458196474945e-01
9.096793625042200802e+02 5.526228764542713643e-04 2.821435542339977248e-04 2.702955085447468676e-05 1.170020872620336910e-01 2.666298282255131213e-01 3.781617813524874028e-01 4.620948907815125017e-01 5.237804171048159319e-01 5.686764887277376834e-01 5.978115991173760246e-01 6.554300071511365289e-01 6.414366703831767547e-01 7.671267016808056560e-01 5.626409334746242941e-01 8.032536465265059933e-01
9.596793625042200802e+02 3.994997009645425865e-04 2.408668265864564886e-04 2.305322762296083206e-05 1.361028092249959853e-01 2.803625980181629895e-01 3.875993950851141512e-01 4.687747114593311393e-01 5.287583697738971189e-01 5.725078062818432789e-01 6.004315637673862671e-01 6.584063807924197542e-01 6.419747174331703610e-01 7.705147533680059002e-01 5.615172537671914155e-01 8.083159313312017202e-01
