TIME void_Ch2_mesh1 void_Ch2_mesh2 void_Ch2_mesh3 void_Ch2_mesh4 void_Ch2_mesh5 void_Ch2_mesh6 void_Ch2_mesh7 void_Ch2_mesh8 void_Ch2_mesh9 void_Ch2_mesh10 void_Ch2_mesh11 void_Ch2_mesh12 void_Ch2_mesh13 void_Ch2_mesh14 void_Ch2_mesh15 
0.000000000000000000e+00 1.020921949086271893e-05 1.020939377641868024e-05 1.020860447795980608e-05 1.020680490894228335e-05 1.020472361723618022e-05 1.020291889763380385e-05 1.020114124644126134e-05 1.019935987707151939e-05 1.019728027425611904e-05 1.019543163247937683e-05 1.019352487103157994e-05 1.019148824591515492e-05 1.018901234701307923e-05 1.018788202636649774e-05 1.018811671678756275e-05
5.000040000000043960e+01 2.150503406541099879e-02 1.795168960163501595e-02 1.638183825491841897e-02 3.069365458787478088e-02 4.832200833061577050e-02 6.855629347804285956e-02 8.754329504134446271e-02 1.074838474314272208e-01 1.224406054661432708e-01 1.386475633553159725e-01 1.545536099526493012e-01 1.734558513723019058e-01 1.868295534278548997e-01 1.880454578286605283e-01 1.826321367312194188e-01
1.000003999999985922e+02 3.346731757744486613e-02 2.367482254481075368e-02 2.110816178900015369e-02 5.654711646135637121e-02 9.876620990331654026e-02 1.401616884623443082e-01 1.768796207034560308e-01 2.106734508239742065e-01 2.364328812417516579e-01 2.635582177114915714e-01 2.900454756693522929e-01 3.167344708519533869e-01 3.392255579187902770e-01 3.247419653523360150e-01 3.269236238686774598e-01
1.502405034099261059e+02 1.145509800551879759e-02 2.929935462502148390e-03 3.346068568405458077e-02 1.364044784851430325e-01 2.122503237258188680e-01 2.755368249110870527e-01 3.299704846619904708e-01 3.731822328667377398e-01 4.030559395975524817e-01 4.346920348936975653e-01 4.702224487812232678e-01 4.933100019765198629e-01 5.412297780712814754e-01 4.574053719429866938e-01 5.104699629609765754e-01
2.004200391960640388e+02 1.434183114220490170e-02 5.926880610631274533e-03 1.394839774141941324e-01 2.532523374471287170e-01 3.666715573901834224e-01 4.388185637290202279e-01 5.178405789203363030e-01 5.716780997981627532e-01 6.049205748177869379e-01 6.412575924044970899e-01 6.890297227422036430e-01 7.153183130005835721e-01 7.743620150193885054e-01 5.803434708976874523e-01 8.135954726198145748e-01
2.534293625042201370e+02 1.103168628293325210e-01 3.905594206166357329e-02 2.003710911195004107e-01 2.903097231402916312e-01 3.741839245094774058e-01 4.381232301309209154e-01 4.993882787063352868e-01 5.456140474779258565e-01 5.731219085262955204e-01 6.065909165249216972e-01 6.513668434028918597e-01 6.724421228303800735e-01 7.347473339171023410e-01 5.336223777625896947e-01 7.556843446320878899e-01
3.065543625042201370e+02 3.383298575803650454e-01 6.687911265745719036e-02 1.646424615847323081e-01 2.701049134700819754e-01 3.468965199500548824e-01 4.059202351599175418e-01 4.649020050455337505e-01 5.081822204447813407e-01 5.367516824830446120e-01 5.592955524837197601e-01 6.086850130916162671e-01 6.022446592004301325e-01 7.147121232102261468e-01 4.565400825964534559e-01 8.768763972314485011e-01
3.565543625042201370e+02 2.431537168005512561e-01 1.069105791645678649e-01 1.981158433822929332e-01 2.886739653788134574e-01 3.580965040114437170e-01 4.140057009784720576e-01 4.698495060928860045e-01 5.107695318266409767e-01 5.446012490739066125e-01 5.554066814872390401e-01 6.387260575694946318e-01 5.477789549679179526e-01 8.394532263862648502e-01 9.999990000602932971e-01 9.999990000608214302e-01
4.096793625042201370e+02 2.610845728312644054e-01 1.231579034246722132e-01 2.189275359814964461e-01 3.088634110984669889e-01 3.775742734462412264e-01 4.327176765434628813e-01 4.870945340785537425e-01 5.306931536332922805e-01 5.526871477956553091e-01 6.039496109785015276e-01 5.513275199170863949e-01 9.999989959806537820e-01 9.999989018552849496e-01 9.999986669803280215e-01 9.999983064557511625e-01
4.596793625042201370e+02 6.234224858749773945e-01 2.094116068834893096e-01 3.971021856862846366e-01 4.885778474416577200e-01 5.245839723873926275e-01 5.681718148728231998e-01 6.083954568994175416e-01 6.489734518467064062e-01 6.431650262937783635e-01 7.142821206173620707e-01 6.955600325803918960e-01 9.958659856957641221e-01 9.999965973423904364e-01 9.999956153164009098e-01 9.999946129439386544e-01
