TIME void_Ch2_mesh1 void_Ch2_mesh2 void_Ch2_mesh3 void_Ch2_mesh4 void_Ch2_mesh5 void_Ch2_mesh6 void_Ch2_mesh7 void_Ch2_mesh8 void_Ch2_mesh9 void_Ch2_mesh10 void_Ch2_mesh11 void_Ch2_mesh12 void_Ch2_mesh13 void_Ch2_mesh14 void_Ch2_mesh15 
0.000000000000000000e+00 1.020921949086271893e-05 1.020939377641868024e-05 1.020860447795980608e-05 1.020680490894228335e-05 1.020472361723618022e-05 1.020291889763380385e-05 1.020114124644126134e-05 1.019935987707151939e-05 1.019728027425611904e-05 1.019543163247937683e-05 1.019352487103157994e-05 1.019148824591515492e-05 1.018901234701307923e-05 1.018788202636649774e-05 1.018811671678756275e-05
5.000040000000043960e+01 2.601563960216848187e-02 2.112203773409244284e-02 2.252731074440515388e-02 4.184859118723893712e-02 6.344460085931881432e-02 8.516953979651824269e-02 1.054680633608710838e-01 1.265633875156461641e-01 1.422299864273125214e-01 1.592511298598743297e-01 1.759492753357142225e-01 1.955294345664973787e-01 2.094983382738006827e-01 2.095419446043804979e-01 2.023515211723709573e-01
1.000003999999985922e+02 3.955379732497001088e-02 2.233790552873170937e-02 1.600055153195363913e-02 5.976526714522516215e-02 1.115106203071926649e-01 1.616802929092559238e-01 2.054997535787831120e-01 2.441042737525257189e-01 2.729748736378318497e-01 3.034196016944144536e-01 3.336270384129612632e-01 3.619703833778485369e-01 3.886476786347395351e-01 3.598315763204470441e-01 3.714788924692713490e-01
1.502405034099261059e+02 1.060089337633461940e-03 1.046087766007616429e-05 1.796415113977790634e-01 3.709197244193969678e-01 4.715817816631392434e-01 5.432415163427735116e-01 6.062673515424783499e-01 6.443716621486301754e-01 6.611966692015424085e-01 6.851575434869514591e-01 7.132665408703336984e-01 7.199116723615140989e-01 7.585495248862280659e-01 5.498167252317160969e-01 7.723748446929972200e-01
2.004200391960640388e+02 1.238850547029258509e-01 1.749714103444598851e-02 1.166653696881134739e-01 2.536377854715848312e-01 3.311801986739642545e-01 3.988915861762966641e-01 4.650747524017773693e-01 5.169303462481178446e-01 5.474896196261191950e-01 5.846641365573854721e-01 6.288079039173494200e-01 6.589956534465553073e-01 7.011809049667164784e-01 5.815575565232664612e-01 7.033602775734441037e-01
2.525543625042201370e+02 2.212920385808615775e-01 5.047577524787988379e-02 1.410815072668205328e-01 2.369358736016276279e-01 3.366686532496789841e-01 4.037923955594689418e-01 4.826441033544291992e-01 5.379743133924540510e-01 5.789273380359173382e-01 6.100672310786247055e-01 6.560193402881138169e-01 6.649045227773782152e-01 7.282452961271840275e-01 6.050651034999248168e-01 4.853693484048238194e-01
3.059293625042201370e+02 3.348345432349862372e-01 1.089413027138532164e-01 2.098944419978369669e-01 3.078263532900958888e-01 3.780972573585222318e-01 4.317605463644657582e-01 4.862122624862005305e-01 5.238612854975928101e-01 5.586576913085072871e-01 5.501947135999358807e-01 6.751759256117269015e-01 4.848146135970675674e-01 9.997762330123166619e-01 9.999475185262074461e-01 9.999467478277411780e-01
3.590543625042201370e+02 2.774674293739132214e-01 1.382070700837080834e-01 2.375818235584435945e-01 3.285319747940689261e-01 3.982313839021459634e-01 4.537460329900505629e-01 5.096456986929367439e-01 5.514840737174515617e-01 5.831583480958815180e-01 5.945462824543619185e-01 6.678769923023976096e-01 9.999990000683891544e-01 9.999989976950727222e-01 9.999989863394743717e-01 9.999989623615744838e-01
4.090543625042201370e+02 5.512052709408926665e-01 2.668085948621542469e-01 3.826234076880248303e-01 4.658468348003435011e-01 5.259256797661441274e-01 5.686555490128271106e-01 6.207945471700240248e-01 6.525080633655544471e-01 6.671083860516823227e-01 7.272459283207880487e-01 9.999989989073755359e-01 9.999989767598717050e-01 9.999989283165128251e-01 9.999988482478687768e-01 9.999987376718357801e-01
4.590543625042201370e+02 4.158736408673987563e-03 1.193589423781194273e-03 2.137875071456707594e-04 1.168035531796262781e-04 8.072995876642735311e-03 1.113465712756787906e-01 2.235913221475342716e-01 2.907223941341589013e-01 3.670446181145179954e-01 5.159884126093792212e-01 6.469631273797150639e-01 7.265958635800550125e-01 8.142461459077887653e-01 7.138458219106817992e-01 9.066914122042892821e-01
