TIME T_sat_Ch0_mesh1 T_sat_Ch0_mesh2 T_sat_Ch0_mesh3 T_sat_Ch0_mesh4 T_sat_Ch0_mesh5 T_sat_Ch0_mesh6 T_sat_Ch0_mesh7 T_sat_Ch0_mesh8 T_sat_Ch0_mesh9 T_sat_Ch0_mesh10 T_sat_Ch0_mesh11 T_sat_Ch0_mesh12 T_sat_Ch0_mesh13 T_sat_Ch0_mesh14 T_sat_Ch0_mesh15 
1.009679362504220080e+03 4.373112755456460832e+02 4.371476345350121164e+02 4.369430339165126043e+02 4.367426354390078131e+02 4.365412901004023070e+02 4.363389892691980094e+02 4.361357243960165988e+02 4.359314868582172267e+02 4.357262677874399515e+02 4.355200579346305858e+02 4.353128476031956211e+02 4.351046267422511846e+02 4.348953851096875951e+02 4.346851122864130730e+02 4.345184428876885931e+02
1.059679362504220080e+03 4.363831143675030262e+02 4.362162299925277580e+02 4.360075595635015020e+02 4.358031678277721426e+02 4.355977944381307339e+02 4.353914297245241869e+02 4.351840637552464273e+02 4.349756863584448752e+02 4.347662871530868074e+02 4.345558555798635894e+02 4.343443809324094786e+02 4.341318524654407156e+02 4.339182595024583406e+02 4.337035913584357445e+02 4.335334221852211840e+02
1.109679362504220080e+03 4.354224396981583141e+02 4.352521360655098306e+02 4.350391757647084887e+02 4.348305573148842313e+02 4.346209158121532710e+02 4.344102406997865273e+02 4.341985212881460257e+02 4.339857467903726160e+02 4.337719063471093932e+02 4.335569890373102453e+02 4.333409838856467786e+02 4.331238799442905361e+02 4.329056663837015435e+02 4.326863324440715814e+02 4.325124493356403264e+02
1.159679362504220080e+03 4.343841730584089191e+02 4.342101430149933776e+02 4.339924639486600881e+02 4.337792346660253315e+02 4.335649359046547602e+02 4.333495565347623142e+02 4.331330852307748955e+02 4.329155103905937381e+02 4.326968199774724440e+02 4.324770012610175627e+02 4.322560404716093672e+02 4.320339225087363388e+02 4.318106307794030840e+02 4.315861472473264939e+02 4.314081451748492100e+02
1.209679362504220080e+03 4.333386569947844578e+02 4.331607798967912117e+02 4.329382624799007999e+02 4.327202697100176465e+02 4.325011560168887286e+02 4.322809081071706032e+02 4.320595119524672327e+02 4.318369527387785638e+02 4.316132148948191798e+02 4.313882822257850194e+02 4.311621381681070488e+02 4.309347662004407766e+02 4.307061502418745249e+02 4.304762747595203223e+02 4.302939723431690595e+02
1.259679362504220080e+03 4.323491837412042287e+02 4.321675467674231186e+02 4.319402958720380639e+02 4.317176361929040809e+02 4.314937981734479422e+02 4.312687664837335433e+02 4.310425254736592251e+02 4.308150593272198421e+02 4.305863522149455775e+02 4.303563884113157201e+02 4.301251523650481658e+02 4.298926287836650886e+02 4.296588026572805461e+02 4.294236590756935925e+02 4.292371584498890229e+02
1.309679362504220080e+03 4.314210564654041491e+02 4.312357745806586991e+02 4.310039305713366957e+02 4.307767420726299861e+02 4.305483192295986328e+02 4.303186465466443451e+02 4.300877085105412334e+02 4.298554896289308545e+02 4.296219744377694383e+02 4.293871474751357482e+02 4.291509932395931628e+02 4.289134962113101892e+02 4.286746408646534974e+02 4.284344115182149153e+02 4.282438568678865067e+02
1.359679362504220080e+03 4.305383097672056465e+02 4.303494603833416932e+02 4.301131212752700890e+02 4.298815034780426458e+02 4.296485992845874762e+02 4.294143931492235424e+02 4.291788694354734162e+02 4.289420123997997507e+02 4.287038061652278884e+02 4.284642346828674704e+02 4.282232816957010755e+02 4.279809307750471135e+02 4.277371653550811743e+02 4.274919686148533629e+02 4.272974526740230203e+02
1.409679362504220080e+03 4.296837258840862432e+02 4.294913263124567493e+02 4.292504759475085052e+02 4.290144522592445355e+02 4.287770913600262475e+02 4.285383771839804581e+02 4.282982934650668199e+02 4.280568237264856180e+02 4.278139512723705593e+02 4.275696591798111399e+02 4.273239303065661261e+02 4.270767473951518127e+02 4.268280932100137761e+02 4.265779505141831578e+02 4.263794906825373232e+02
1.459679362504220080e+03 4.286772507634675549e+02 4.284806590634827899e+02 4.282345625506784472e+02 4.279933353372352371e+02 4.277507095080077306e+02 4.275066679074984677e+02 4.272611930015631856e+02 4.270142667707801820e+02 4.267658705577658793e+02 4.265159848987623263e+02 4.262645894581027619e+02 4.260116633128998842e+02 4.257571856482371118e+02 4.255011364954752935e+02 4.252979563306492992e+02
