TIME P_Ch1_mesh1 P_Ch1_mesh2 P_Ch1_mesh3 P_Ch1_mesh4 P_Ch1_mesh5 P_Ch1_mesh6 P_Ch1_mesh7 P_Ch1_mesh8 P_Ch1_mesh9 P_Ch1_mesh10 P_Ch1_mesh11 P_Ch1_mesh12 P_Ch1_mesh13 P_Ch1_mesh14 P_Ch1_mesh15 
0.000000000000000000e+00 1.594251139956676215e+07 1.593423691360449605e+07 1.591668563756642491e+07 1.589745410107399896e+07 1.588957419940634258e+07 1.587061461660880782e+07 1.585153118135077134e+07 1.583184828927188925e+07 1.582392867852451466e+07 1.580450006897937320e+07 1.578493724413991533e+07 1.576474585139197297e+07 1.575676533516655304e+07 1.573633358652328886e+07 1.572391626247298717e+07
5.000040000000043960e+01 7.927783618637085892e+06 7.925140456973706372e+06 7.921096654998325743e+06 7.916887144198273309e+06 7.913722912611509673e+06 7.909603968394092284e+06 7.905496245718252845e+06 7.901341213461531326e+06 7.898307293951417319e+06 7.894221111455000006e+06 7.890140206034153700e+06 7.886004206237740815e+06 7.883075956715201959e+06 7.878918341058337130e+06 7.876137097293230705e+06
1.000003999999985922e+02 7.678840564281743951e+06 7.676651688069841824e+06 7.673836512603963725e+06 7.671095732664176263e+06 7.668502434966911562e+06 7.665947486834222451e+06 7.663493728133628145e+06 7.661123331975574605e+06 7.658914543906077743e+06 7.656694771608301438e+06 7.654543368775620125e+06 7.652445905551058240e+06 7.650510563982732594e+06 7.648468528687806800e+06 7.646905214614555240e+06
1.502405034099261059e+02 7.457957562766257674e+06 7.455734255263690837e+06 7.453248357016243972e+06 7.451330786903722212e+06 7.449729947387165390e+06 7.448300463198104873e+06 7.447007091731885448e+06 7.445824071729487740e+06 7.444694311177894473e+06 7.443585025371612050e+06 7.442526665703514591e+06 7.441503744544343092e+06 7.440550958049979992e+06 7.439413370586247183e+06 7.438535533425891772e+06
2.004200391960640388e+02 7.247817639655299485e+06 7.245667622482867911e+06 7.243057317910286598e+06 7.240812239569659345e+06 7.238837484134999104e+06 7.237056912592407316e+06 7.235454440337687731e+06 7.234002685360006057e+06 7.232662291072082706e+06 7.231405943823853508e+06 7.230253846938787028e+06 7.229190950143184513e+06 7.228253472864043899e+06 7.227145178649486974e+06 7.226264323508693837e+06
2.513043625042201370e+02 6.906706177228019573e+06 6.904553660072353669e+06 6.902174376241292804e+06 6.900272553538947366e+06 6.898682153309165500e+06 6.897295153275057673e+06 6.896027126705621369e+06 6.894872228731120937e+06 6.893772295725785196e+06 6.892733884057324380e+06 6.891782726984743960e+06 6.890909198066174984e+06 6.890121586489606649e+06 6.889188689336191863e+06 6.888573335991893895e+06
3.031793625042201370e+02 6.234126284296019003e+06 6.232264395548253320e+06 6.229863487073087133e+06 6.227792294103408232e+06 6.225941396148086525e+06 6.224257085971520282e+06 6.222717213977879845e+06 6.221306472340423614e+06 6.219980445955361240e+06 6.218737893260214478e+06 6.217520285605491139e+06 6.216541507685094140e+06 6.216168465481036343e+06 6.216047609643160366e+06 6.215955119198399596e+06
3.531793625042201370e+02 5.262823681719209999e+06 5.260896226902571507e+06 5.258493629349756986e+06 5.256409761800141074e+06 5.254542774944881909e+06 5.252844603925446048e+06 5.251293727012189105e+06 5.249880382971229963e+06 5.248544774343053810e+06 5.247330391994733363e+06 5.246055965221048333e+06 5.245198749961346388e+06 5.245050499908389524e+06 5.244948144554037601e+06 5.244872285356931388e+06
4.063043625042201370e+02 4.289647660558787175e+06 4.287804388068735600e+06 4.285381968364131637e+06 4.283326531481835991e+06 4.281503166741687804e+06 4.279850639801504090e+06 4.278345429522201419e+06 4.276968833758011460e+06 4.275687768937067129e+06 4.274449383511022665e+06 4.273378756326208822e+06 4.272950327275929041e+06 4.272872985945254564e+06 4.272796866914584301e+06 4.272740691880032420e+06
4.563043625042201370e+02 2.579943989894218277e+06 2.578328059676398989e+06 2.576257817142527550e+06 2.574505251631399151e+06 2.572965362018059473e+06 2.571578684902863111e+06 2.570355000387157314e+06 2.569191176709826570e+06 2.568256584800358862e+06 2.567987891727188602e+06 2.567930134863201063e+06 2.567873296874469612e+06 2.567825139048839454e+06 2.567770565026954282e+06 2.567733647364117671e+06
5.063043625042201370e+02 1.530744290703131584e+06 1.528031742600236554e+06 1.524648405892834999e+06 1.521362288578253938e+06 1.518111768256139942e+06 1.514871487260211492e+06 1.511656368603301235e+06 1.508640469451089622e+06 1.506035896516642766e+06 1.503788533963612514e+06 1.501835657330182148e+06 1.500100603626442607e+06 1.498611564321431797e+06 1.497081952113827225e+06 1.495859458207739284e+06
5.563043625042200802e+02 1.343241310524800094e+06 1.340483914390682708e+06 1.337059318707376020e+06 1.333749464314353652e+06 1.330474276287636254e+06 1.327229396620770916e+06 1.324087636031951290e+06 1.321258417737956624e+06 1.318826840057458961e+06 1.316688337853756966e+06 1.314795127689060988e+06 1.313079276368202176e+06 1.311589416890022578e+06 1.310026346302814549e+06 1.308766335915717063e+06
6.063043625042200802e+02 1.303605036672974005e+06 1.300856717104216339e+06 1.297440322847606381e+06 1.294138089330680203e+06 1.290872260060950881e+06 1.287654031646733638e+06 1.284685636120032519e+06 1.282123000904111890e+06 1.279880448995352257e+06 1.277868564435647102e+06 1.276065347758329008e+06 1.274408977650790475e+06 1.272966446024132892e+06 1.271427103854746791e+06 1.270188522474799072e+06
6.563043625042200802e+02 1.296901414445700124e+06 1.294172897833749885e+06 1.290780430512609193e+06 1.287504132639719406e+06 1.284268413836301537e+06 1.281271948782824213e+06 1.278690712149898522e+06 1.276443911108439788e+06 1.274442746750121005e+06 1.272621129934186349e+06 1.270973576470544329e+06 1.269443714285079390e+06 1.268112367765533738e+06 1.266664096524344059e+06 1.265490756628479809e+06
7.063043625042200802e+02 1.296967648267475422e+06 1.294254809533884050e+06 1.290881551183835370e+06 1.287620775553618325e+06 1.284441887131182477e+06 1.281541435393178603e+06 1.279033481871843804e+06 1.276832903914139606e+06 1.274861988786228001e+06 1.273058202267556684e+06 1.271420612182607641e+06 1.269894651563087944e+06 1.268563081831654767e+06 1.267113830718244892e+06 1.265937156778481556e+06
7.563043625042200802e+02 1.318532217018795665e+06 1.315829976665238617e+06 1.312470464435258415e+06 1.309223252487145131e+06 1.306102200418564025e+06 1.303291169659907697e+06 1.300843745150337694e+06 1.298679040992464870e+06 1.296728354852196062e+06 1.294933691454807064e+06 1.293297646262561437e+06 1.291768569009738276e+06 1.290429186454804381e+06 1.288969966363680782e+06 1.287784047834778205e+06
8.063043625042200802e+02 1.351516806574943941e+06 1.348819995174789801e+06 1.345468204656649614e+06 1.342229810373191955e+06 1.339142569931995356e+06 1.336382141994835110e+06 1.333969601645182353e+06 1.331827139480874874e+06 1.329890105614247965e+06 1.328102850565632107e+06 1.326469796557493508e+06 1.324941118804783328e+06 1.323598907909997506e+06 1.322134867077462375e+06 1.320944349861155497e+06
8.563043625042200802e+02 1.375861617600975558e+06 1.373167632321342593e+06 1.369819828718671575e+06 1.366586039503045380e+06 1.363511643234728603e+06 1.360768767195707886e+06 1.358367960706254467e+06 1.356232796459368896e+06 1.354299813926220406e+06 1.352514329277725425e+06 1.350881304106696974e+06 1.349351794638792984e+06 1.348007085020788014e+06 1.346539797285693698e+06 1.345346490337270778e+06
9.063043625042200802e+02 1.387673241717917612e+06 1.384980963697362691e+06 1.381635415195711190e+06 1.378403943405678961e+06 1.375334680136179086e+06 1.372597915933073964e+06 1.370200284501557238e+06 1.368066226695643272e+06 1.366132793276176788e+06 1.364345841466241749e+06 1.362710504042129265e+06 1.361178351585381664e+06 1.359830080014238134e+06 1.358359109087673947e+06 1.357162920157417888e+06
9.563043625042200802e+02 1.390430173669039272e+06 1.387739119237344712e+06 1.384395084029118763e+06 1.381164885704882210e+06 1.378099062279303558e+06 1.375366413415164221e+06 1.372970284169063671e+06 1.370835954131346894e+06 1.368900972510733409e+06 1.367111654547295999e+06 1.365473276345466962e+06 1.363937808552535949e+06 1.362585506025285693e+06 1.361110534916244214e+06 1.359911280815877719e+06
1.010679362504220080e+03 1.387479108337906655e+06 1.384789018270911183e+06 1.381446136239405023e+06 1.378216735443314770e+06 1.375154490323086269e+06 1.372426498733644141e+06 1.370031854819147149e+06 1.367896858766434249e+06 1.365959746645264095e+06 1.364167358576922445e+06 1.362525164795552846e+06 1.360985578449368244e+06 1.359628452796978410e+06 1.358148701250607381e+06 1.356945814288242720e+06
1.060679362504220080e+03 1.381297932021565968e+06 1.378608380099958275e+06 1.375266129694403149e+06 1.372037085898219375e+06 1.368978605287539773e+06 1.366256185589939589e+06 1.363863996500819223e+06 1.361729250971446745e+06 1.359790901479451917e+06 1.357996282210665289e+06 1.356351105420752428e+06 1.354808170314744348e+06 1.353447080747879343e+06 1.351963275868354598e+06 1.350757381109305425e+06
1.110679362504220080e+03 1.336103691190653015e+06 1.333415073353767162e+06 1.330074334635903826e+06 1.326850017793905456e+06 1.323859835200289963e+06 1.321260155321698636e+06 1.318979311775883194e+06 1.316947065914530307e+06 1.315102346824283479e+06 1.313391725077450275e+06 1.311825872125601629e+06 1.310353785850343527e+06 1.309062670517266262e+06 1.307643480749714421e+06 1.306485328080123523e+06
1.160679362504220080e+03 1.289055835158856818e+06 1.286368799354149494e+06 1.283029693495325278e+06 1.279867807258714223e+06 1.277002915959073463e+06 1.274515579128044192e+06 1.272323862570373574e+06 1.270364303443704266e+06 1.268579878406258766e+06 1.266919591462799581e+06 1.265397854535904480e+06 1.263962872056498658e+06 1.262706747866197955e+06 1.261317791638325900e+06 1.260181706332791364e+06
