TIME void_Ch1_mesh1 void_Ch1_mesh2 void_Ch1_mesh3 void_Ch1_mesh4 void_Ch1_mesh5 void_Ch1_mesh6 void_Ch1_mesh7 void_Ch1_mesh8 void_Ch1_mesh9 void_Ch1_mesh10 void_Ch1_mesh11 void_Ch1_mesh12 void_Ch1_mesh13 void_Ch1_mesh14 void_Ch1_mesh15 
0.000000000000000000e+00 1.020922045540531437e-05 1.020939673991477373e-05 1.020867647786266864e-05 1.020702648057646202e-05 1.020509683036486925e-05 1.020344925344356262e-05 1.020183053250776713e-05 1.020021132402708830e-05 1.019827788116672738e-05 1.019660471108173081e-05 1.019488203437392042e-05 1.019304267688865686e-05 1.019074343903028167e-05 1.018971230076120074e-05 1.018994900937382174e-05
5.000040000000043960e+01 3.090704915572624056e-01 2.652359148668586020e-01 2.940718328082874700e-01 3.255015097479148634e-01 3.476380839663377187e-01 3.711021075308406081e-01 3.935333608402782346e-01 4.167187514171329932e-01 4.295377398952122117e-01 4.459394607149855250e-01 4.628724603886460454e-01 4.825180561210676289e-01 4.958129838726169636e-01 4.710208770816407542e-01 4.743522026383335533e-01
1.000003999999985922e+02 3.658420136232166664e-01 2.238790270290379192e-02 2.648517384702167576e-01 4.929519817165051165e-01 5.524012107967483098e-01 6.691367488667615548e-01 7.598346703145002490e-01 8.587646988056402142e-01 8.833439574381366510e-01 9.250612571852543375e-01 9.452389955095069629e-01 9.544711876343882073e-01 9.525971205288985555e-01 9.149875127710292988e-01 9.524284857184129871e-01
1.502405034099261059e+02 4.963934937682805693e-01 2.136785371419126500e-01 3.376037588285876190e-01 4.245827483928836799e-01 4.752795424579957517e-01 5.172529185160851251e-01 5.751557550010434339e-01 6.275665861132094792e-01 6.716158644145111545e-01 6.998972948790447290e-01 7.276283985192979475e-01 7.271419753446860534e-01 7.675314896826855859e-01 6.698849564204181206e-01 6.545897493058324690e-01
2.004200391960640388e+02 8.431379592096429620e-01 3.986997970472342945e-01 5.573454290512178666e-01 5.823050664595861292e-01 9.775630475880624504e-01 9.999976588562835556e-01 9.999912820083874943e-01 9.999880666990695888e-01 9.999876245398779950e-01 9.999881755679803641e-01 9.999893184876517127e-01 9.999904851619872970e-01 9.999919461360070594e-01 9.999927940155141082e-01 9.999910773663139851e-01
2.553043625042201370e+02 5.866984851999078928e-04 4.103395869670854561e-03 3.712351141127224509e-04 7.786792147375979321e-03 2.521229990666462584e-01 4.178540375636031201e-01 4.600136203323482720e-01 4.531960681227665821e-01 5.326635642624938383e-01 7.277504119397891769e-01 7.553047372384948943e-01 9.997376188497503202e-01 9.999200399982612897e-01 9.999629700972658686e-01 9.999582618102321740e-01
3.053043625042201370e+02 3.955320424673470559e-04 2.460983249917987593e-04 9.568298560027924354e-05 2.261092386421816516e-05 9.779652692352806820e-02 2.568133442410896472e-01 3.781578961777575798e-01 4.650769325301393198e-01 5.239777037275066274e-01 5.686682301786155636e-01 6.241922199085757628e-01 6.317880543008879135e-01 7.377379916424327000e-01 5.488346106277145475e-01 8.063175137110092372e-01
3.553043625042201370e+02 2.044319627272944315e-04 1.636953122850083424e-04 8.074376236443198216e-05 1.968673356454500568e-05 1.014141887930542635e-01 2.496123201973559358e-01 3.625679440942830012e-01 4.455469439055966818e-01 5.022632261225519201e-01 5.481748915347974815e-01 6.017024001310494752e-01 6.149439142182677731e-01 7.097278411151888289e-01 5.524879012108360188e-01 7.376212640522388231e-01
4.053043625042201370e+02 1.229281406106199758e-04 1.032717130075440327e-04 4.191635884641113950e-05 2.776891869692617049e-03 1.534484684013445732e-01 2.852446125988234438e-01 3.855488837877226183e-01 4.548473086462579418e-01 5.084096644308886415e-01 5.431455550250853248e-01 5.987603832794106129e-01 5.991830299377959301e-01 7.094283600239752463e-01 5.199918609416833704e-01 7.396927185145724115e-01
4.553043625042201370e+02 1.015699572921248319e-04 9.257638354337074493e-05 1.722067861931314277e-05 1.386377153571548282e-02 1.767976443912292750e-01 3.026955542934971488e-01 3.976492217361015102e-01 4.680718180204007095e-01 5.184348376495563349e-01 5.536751289908393714e-01 6.121170476394522941e-01 6.066496782090571305e-01 7.299662529620791762e-01 5.254407417337477737e-01 7.613119378424019201e-01
