TIME T_liq_Ch2_mesh1 T_liq_Ch2_mesh2 T_liq_Ch2_mesh3 T_liq_Ch2_mesh4 T_liq_Ch2_mesh5 T_liq_Ch2_mesh6 T_liq_Ch2_mesh7 T_liq_Ch2_mesh8 T_liq_Ch2_mesh9 T_liq_Ch2_mesh10 T_liq_Ch2_mesh11 T_liq_Ch2_mesh12 T_liq_Ch2_mesh13 T_liq_Ch2_mesh14 T_liq_Ch2_mesh15 
0.000000000000000000e+00 5.633130971486292538e+02 5.633119182316188471e+02 5.655153442035178841e+02 5.695578052082852309e+02 5.735080778572950067e+02 5.772105155461604227e+02 5.807099917086209189e+02 5.840769375034496989e+02 5.873844770140968876e+02 5.905327079087290940e+02 5.936075557268080729e+02 5.967037618846469513e+02 5.998809022801405035e+02 6.016245992938282825e+02 6.016182959754569310e+02
5.000040000000043960e+01 5.655515837892819491e+02 5.656422160059222506e+02 5.660547865779598169e+02 5.665437200818043948e+02 5.669295061297920029e+02 5.671991053819516537e+02 5.673697900800951857e+02 5.674345209620233845e+02 5.674712985737260169e+02 5.674971098492923147e+02 5.675129358590661468e+02 5.675188281867629030e+02 5.675182672743931107e+02 5.675076850769609109e+02 5.674915491391254818e+02
1.000003999999985922e+02 5.612169384657236151e+02 5.613375954300710191e+02 5.622870616734520581e+02 5.633691171921376508e+02 5.641388504542526334e+02 5.645106917876559010e+02 5.646288060869954961e+02 5.646695568946089452e+02 5.646921178317206795e+02 5.646940836578984317e+02 5.646946640132754283e+02 5.646838618460529915e+02 5.646669584623035689e+02 5.646385876144861413e+02 5.646004454269242387e+02
1.502405034099261059e+02 5.589596967324789603e+02 5.591245758659498506e+02 5.617027265300882846e+02 5.626471708096431712e+02 5.628114951930680263e+02 5.628429268408409598e+02 5.628314043514210425e+02 5.628047365767180281e+02 5.627806049461745488e+02 5.627555335271445074e+02 5.627337393477445175e+02 5.627162038170893084e+02 5.626998059326518842e+02 5.626765185305783916e+02 5.626506528434454140e+02
2.004200391960640388e+02 5.612390371609079693e+02 5.613057485488811835e+02 5.613312721873915052e+02 5.612889089242654563e+02 5.612467102717745320e+02 5.612201359572268302e+02 5.611984648008321983e+02 5.611823725881810105e+02 5.611693311271031916e+02 5.611562807176563865e+02 5.611439809357270860e+02 5.611348832409809120e+02 5.611243571389438785e+02 5.611056743847487951e+02 5.610750495606430377e+02
2.553043625042201370e+02 5.590914583515115055e+02 5.590746712059739139e+02 5.589850084885289334e+02 5.589644509005490818e+02 5.589363439603616825e+02 5.589150286450063732e+02 5.588960253872681960e+02 5.588818030288944101e+02 5.588693485480665686e+02 5.588569851113894629e+02 5.588446796315801066e+02 5.588354079985915632e+02 5.588255240729248499e+02 5.588016548459402202e+02 5.587771031060763107e+02
3.084293625042201370e+02 5.556331563814619585e+02 5.557487026906726442e+02 5.556575059661155365e+02 5.555791111549691550e+02 5.555142264307926325e+02 5.554684334219629136e+02 5.554317655218720802e+02 5.554055438738021167e+02 5.553860358988162034e+02 5.553671091797460804e+02 5.553490479289340556e+02 5.553347815202971560e+02 5.553206029468881297e+02 5.553035354890545250e+02 5.553190941316888711e+02
3.584293625042201370e+02 5.498156015679476241e+02 5.498149897471149643e+02 5.497145340044330624e+02 5.496194961453151109e+02 5.495426939574366543e+02 5.494862672196750282e+02 5.494416996127299626e+02 5.494074309166070407e+02 5.493826335382544812e+02 5.493577487962031682e+02 5.493387587664947205e+02 5.493180023903282745e+02 5.493104195282929822e+02 5.492705265421092236e+02 5.491954753360245149e+02
4.084293625042201370e+02 5.409251982577915214e+02 5.411334882402555877e+02 5.409928211417432067e+02 5.409009951042623925e+02 5.408310514264965150e+02 5.407830493271500245e+02 5.407420281076530273e+02 5.407113066286623280e+02 5.406899694894465256e+02 5.406686976347285736e+02 5.406496217540441194e+02 5.406340693525527286e+02 5.406113590211025439e+02 5.406241403296060071e+02 5.405422696305666932e+02
4.615543625042201370e+02 5.312970792156070274e+02 5.313325444066256296e+02 5.312197552592157308e+02 5.311262771267514609e+02 5.310501817891671408e+02 5.309962753693238255e+02 5.309509931877175859e+02 5.309159332364680495e+02 5.308897310637294140e+02 5.308656915187650611e+02 5.308430487360752750e+02 5.308229565326088277e+02 5.308130079320270625e+02 5.307215992841912566e+02 5.307206886587015333e+02
5.115543625042201370e+02 5.145613284121318429e+02 5.146503116462271237e+02 5.144978731380031149e+02 5.143938217186505426e+02 5.143135200559742088e+02 5.142580339034335566e+02 5.142061340707537056e+02 5.141701890835068980e+02 5.141347330717038631e+02 5.141205521962308467e+02 5.140717487917409017e+02 5.141071659566970311e+02 5.140069773386187535e+02 5.139583987601951094e+02 5.139574911380120739e+02
5.615543625042200802e+02 4.919435095430001184e+02 4.918903662949110185e+02 4.917774980204804365e+02 4.916851780272152723e+02 4.916069271514065804e+02 4.915488428418937019e+02 4.914959882098545449e+02 4.914584319291842576e+02 4.914241578160236372e+02 4.913999141622639399e+02 4.913601325764744274e+02 4.913618069201581307e+02 4.912891951171979485e+02 4.912455978323620229e+02 4.912443963124421771e+02
6.115543625042200802e+02 4.401831475211951101e+02 4.431256968281703621e+02 4.475017630950938496e+02 4.537327018138255426e+02 4.595367617562164355e+02 4.650544339772279159e+02 4.702127366885021615e+02 4.719994240503498872e+02 4.722319175948415477e+02 4.721772338010173371e+02 4.720878424771402138e+02 4.720147995423231464e+02 4.719483457418626244e+02 4.719100976227675233e+02 4.718449335290482054e+02
6.615543625042200802e+02 4.296888655357495850e+02 4.313740358597893874e+02 4.369308211313028210e+02 4.462073198620524863e+02 4.545897401134276379e+02 4.621557960507721532e+02 4.666471837070999982e+02 4.671863276142240693e+02 4.671912025309810588e+02 4.671260623900440692e+02 4.670574568639963218e+02 4.669961156046232418e+02 4.669414000935219065e+02 4.668777985963999413e+02 4.668221441686142157e+02
7.153043625042200802e+02 4.362532930305340528e+02 4.357471928074106700e+02 4.412885445109325246e+02 4.518089073304486760e+02 4.621743516968201106e+02 4.668821570035246395e+02 4.673688380704609244e+02 4.673604271316926884e+02 4.672945173057032662e+02 4.672277316653781440e+02 4.671661370854403117e+02 4.671112359141258139e+02 4.670619459427454103e+02 4.670039240887052756e+02 4.669506117864364683e+02
7.653043625042200802e+02 4.407143660712546875e+02 4.401069388591465099e+02 4.451421323906060366e+02 4.545433197921958595e+02 4.641051158041712483e+02 4.668386458816689810e+02 4.671019442318185497e+02 4.670658990331711493e+02 4.669976202613748910e+02 4.669312288192974165e+02 4.668700213492510329e+02 4.668153179924678398e+02 4.667661030515514540e+02 4.667081621163657701e+02 4.666551455503098964e+02
8.153043625042200802e+02 4.436137447125062749e+02 4.430681295126782402e+02 4.480075251748695564e+02 4.570919051992028699e+02 4.656126256678376762e+02 4.669746841068292156e+02 4.670808624365255355e+02 4.670263198274893739e+02 4.669577107433272545e+02 4.668924127103267665e+02 4.668321032514268154e+02 4.667778950366925415e+02 4.667293434886578325e+02 4.666705245803190110e+02 4.666178862468915440e+02
