TIME T_liq_Ch2_mesh1 T_liq_Ch2_mesh2 T_liq_Ch2_mesh3 T_liq_Ch2_mesh4 T_liq_Ch2_mesh5 T_liq_Ch2_mesh6 T_liq_Ch2_mesh7 T_liq_Ch2_mesh8 T_liq_Ch2_mesh9 T_liq_Ch2_mesh10 T_liq_Ch2_mesh11 T_liq_Ch2_mesh12 T_liq_Ch2_mesh13 T_liq_Ch2_mesh14 T_liq_Ch2_mesh15 
0.000000000000000000e+00 5.633130971486292538e+02 5.633119182316188471e+02 5.655153442035178841e+02 5.695578052082852309e+02 5.735080778572950067e+02 5.772105155461604227e+02 5.807099917086209189e+02 5.840769375034496989e+02 5.873844770140968876e+02 5.905327079087290940e+02 5.936075557268080729e+02 5.967037618846469513e+02 5.998809022801405035e+02 6.016245992938282825e+02 6.016182959754569310e+02
5.000040000000043960e+01 5.668241321899078002e+02 5.668391180784205972e+02 5.669348156782688193e+02 5.669767380260251457e+02 5.670043542953858378e+02 5.670178405788976761e+02 5.670198807182929386e+02 5.670121577898589749e+02 5.669994747843730920e+02 5.669798809656716685e+02 5.669557820269909598e+02 5.669276593103386404e+02 5.669001333977616923e+02 5.668664407673963979e+02 5.668313834995207117e+02
1.000003999999985922e+02 5.633714832142260320e+02 5.635288782324829526e+02 5.643570751066667981e+02 5.644879882072602868e+02 5.645059728185673293e+02 5.644807015014520175e+02 5.644499718575750649e+02 5.644229159581403792e+02 5.644023159595700463e+02 5.643814432755766575e+02 5.643630442910108513e+02 5.643485829358786532e+02 5.643340796233489982e+02 5.643126985369829072e+02 5.642868604806681105e+02
1.502405034099261059e+02 5.620655609580138616e+02 5.620522400694236467e+02 5.619538384338615060e+02 5.619278993761181482e+02 5.618931983927521969e+02 5.618745269888445364e+02 5.618587904246893459e+02 5.618491944413814281e+02 5.618421519889637921e+02 5.618339560923171803e+02 5.618298107766737530e+02 5.618278773689629588e+02 5.618261767425046855e+02 5.618125724869740907e+02 5.617842184180449294e+02
2.004200391960640388e+02 5.581724553529428476e+02 5.584106157838906483e+02 5.582796500510339683e+02 5.581935425969132893e+02 5.581295055647954086e+02 5.580872550881847474e+02 5.580511886812378179e+02 5.580279024131450569e+02 5.580096511258834653e+02 5.579926319566467328e+02 5.579756858785750637e+02 5.579646593574909730e+02 5.579481532305559313e+02 5.579446646092312676e+02 5.578928602180287726e+02
2.534293625042201370e+02 5.466880305032536853e+02 5.467872838976954881e+02 5.466189641560007431e+02 5.465052209390694316e+02 5.464303086922086550e+02 5.463757277189130264e+02 5.463336516789264579e+02 5.462921113457102820e+02 5.462947645877180776e+02 5.462227164300082904e+02 5.461526494905996287e+02 5.461513652588241712e+02 5.461501502292621808e+02 5.461489125292267772e+02 5.461479741287478191e+02
3.065543625042201370e+02 5.283180703618285179e+02 5.283268361553298291e+02 5.281741549819923875e+02 5.280575050913697623e+02 5.279728987112731602e+02 5.279124922283799606e+02 5.278613888544755355e+02 5.278290612635000798e+02 5.277899654160930822e+02 5.277962946791948298e+02 5.277462374262594267e+02 5.276350929981327909e+02 5.276340027511090511e+02 5.276328297289728653e+02 5.276319988160927323e+02
3.565543625042201370e+02 4.895051773478009522e+02 4.895983854798588482e+02 4.894376870314576990e+02 4.893257188243380824e+02 4.892455067790323824e+02 4.891861934547098372e+02 4.891290297612128484e+02 4.890910981378039537e+02 4.890514129559340972e+02 4.890311704333136618e+02 4.889955272417840320e+02 4.888869317753634505e+02 4.888856723331240914e+02 4.888839838595661718e+02 4.888829395962547437e+02
4.065543625042201370e+02 4.244931641967916676e+02 4.268816755898755559e+02 4.316906582465118731e+02 4.393778594270503390e+02 4.464887259799450021e+02 4.531678857055738945e+02 4.591923225353375528e+02 4.632250925828350887e+02 4.638815884666385045e+02 4.639032613077372389e+02 4.638246685886127807e+02 4.637489037015010922e+02 4.636800072524725920e+02 4.636224687086544236e+02 4.635557661394976208e+02
4.565543625042201370e+02 4.327821438172858848e+02 4.324362892814284010e+02 4.351373367409993307e+02 4.408889037666601212e+02 4.466213908627899514e+02 4.525120310975303823e+02 4.577201056011395508e+02 4.588455647512287214e+02 4.589285253491323147e+02 4.588524139843490275e+02 4.587724730898979146e+02 4.587045095139158093e+02 4.586426412392609109e+02 4.585867415702196581e+02 4.585214280072716519e+02
5.065543625042201370e+02 4.388103758136405759e+02 4.384046852895913844e+02 4.420689493016256506e+02 4.486916971178854396e+02 4.548742692895730215e+02 4.578072751673166181e+02 4.581855334602716994e+02 4.581740021274342212e+02 4.581083364700365337e+02 4.580365696230470007e+02 4.579693483238721115e+02 4.579073820586466468e+02 4.578556864068158916e+02 4.577756243318166298e+02 4.576776695452517174e+02
5.565543625042200802e+02 4.424527164763100018e+02 4.419320937001198217e+02 4.476369325898471061e+02 4.569797954355256593e+02 4.614261846015733681e+02 4.618422054791336677e+02 4.618353990794789183e+02 4.617689852204969725e+02 4.617008120969275637e+02 4.616362067136563496e+02 4.615768534492609092e+02 4.615223534842543813e+02 4.614753659848499865e+02 4.614104075747118259e+02 4.613267126859304312e+02
6.065543625042200802e+02 4.449301064496219169e+02 4.444863716718958813e+02 4.494478348502543668e+02 4.584283547564182300e+02 4.629504081469570451e+02 4.634167573423712270e+02 4.634139821968579440e+02 4.633464853290837482e+02 4.632785600126277359e+02 4.632146332235140562e+02 4.631559776805261208e+02 4.631027279739194569e+02 4.630557953133858291e+02 4.629954663485197557e+02 4.629344259984682139e+02
