TIME T_liq_Ch2_mesh1 T_liq_Ch2_mesh2 T_liq_Ch2_mesh3 T_liq_Ch2_mesh4 T_liq_Ch2_mesh5 T_liq_Ch2_mesh6 T_liq_Ch2_mesh7 T_liq_Ch2_mesh8 T_liq_Ch2_mesh9 T_liq_Ch2_mesh10 T_liq_Ch2_mesh11 T_liq_Ch2_mesh12 T_liq_Ch2_mesh13 T_liq_Ch2_mesh14 T_liq_Ch2_mesh15 
0.000000000000000000e+00 5.633130971486292538e+02 5.633119182316188471e+02 5.655153442035178841e+02 5.695578052082852309e+02 5.735080778572950067e+02 5.772105155461604227e+02 5.807099917086209189e+02 5.840769375034496989e+02 5.873844770140968876e+02 5.905327079087290940e+02 5.936075557268080729e+02 5.967037618846469513e+02 5.998809022801405035e+02 6.016245992938282825e+02 6.016182959754569310e+02
5.000040000000043960e+01 5.668200177924381933e+02 5.668295600805139429e+02 5.670623969057554632e+02 5.672003733450989102e+02 5.672422412453721563e+02 5.672715477192533626e+02 5.672894997780696258e+02 5.672970958871053426e+02 5.672979667975491793e+02 5.672902642382457543e+02 5.672758016246802981e+02 5.672549325638919981e+02 5.672320673281725476e+02 5.672023852680489426e+02 5.671712104460358432e+02
1.000003999999985922e+02 5.623740005018844386e+02 5.625057339022847600e+02 5.639140548753272242e+02 5.646181524410670818e+02 5.647696245099210728e+02 5.648194159850694405e+02 5.648489438168289780e+02 5.648453022580270044e+02 5.648280091052571379e+02 5.648025105896708737e+02 5.647769150008496126e+02 5.647536927654959982e+02 5.647336828035466851e+02 5.647059092515761449e+02 5.646701251481883901e+02
1.502405034099261059e+02 5.630072382406655151e+02 5.630505549443292921e+02 5.628691905691820239e+02 5.628113958003973494e+02 5.627643675018946396e+02 5.627347203960413253e+02 5.627128833975580164e+02 5.626977384784568130e+02 5.626860463100473453e+02 5.626755107965950629e+02 5.626662447550395427e+02 5.626601512238970599e+02 5.626548812321267405e+02 5.626376358033174938e+02 5.626137114837470108e+02
2.004200391960640388e+02 5.606463928454494408e+02 5.606610427380304600e+02 5.605030071496704522e+02 5.604429195299725279e+02 5.604191472659550755e+02 5.603967598515584996e+02 5.603795935758295172e+02 5.603658877759054349e+02 5.603542053267854044e+02 5.603423916590937779e+02 5.603303445239945404e+02 5.603206559730650724e+02 5.603121007357423196e+02 5.602940147854368433e+02 5.602682720267139302e+02
2.531793625042201370e+02 5.560077124486211915e+02 5.561854261690164094e+02 5.560594181231998618e+02 5.559691245230621917e+02 5.559028624442565842e+02 5.558576384111403286e+02 5.558214523915419250e+02 5.557940347933424619e+02 5.557745953359824398e+02 5.557559210128654286e+02 5.557384830671675218e+02 5.557246800989515805e+02 5.557118867416792227e+02 5.556912915187361932e+02 5.557135317228456870e+02
3.063043625042201370e+02 5.455049439679156649e+02 5.457655091534983285e+02 5.455643746096417317e+02 5.454651432239786573e+02 5.454013925469598689e+02 5.453557517343643894e+02 5.453174152414657101e+02 5.452889670084977070e+02 5.452685418198497018e+02 5.452503370228682797e+02 5.452288945786145860e+02 5.452221677801045416e+02 5.451808781596477047e+02 5.451295903981430229e+02 5.451434921904843804e+02
3.594293625042201370e+02 5.320806902368171905e+02 5.322000743399505609e+02 5.320491888698461480e+02 5.319428949176377728e+02 5.318654210351132861e+02 5.318110396043371111e+02 5.317680670357377721e+02 5.317249059235427922e+02 5.317223821003667581e+02 5.316579491774581356e+02 5.315852215524168969e+02 5.315840563603883311e+02 5.315829985494909806e+02 5.315819297792562566e+02 5.315811341318136556e+02
4.094293625042201370e+02 5.084480606034524044e+02 5.085646152469799404e+02 5.084088086491537410e+02 5.083103104456224628e+02 5.082365738857157567e+02 5.081798657100691798e+02 5.081303711377862555e+02 5.080925218168370066e+02 5.080637915309078494e+02 5.080377667131784847e+02 5.080079458163001505e+02 5.079977891820273044e+02 5.079736138423417628e+02 5.079846397866325560e+02 5.079361246923978115e+02
4.594293625042201370e+02 4.490384094876222321e+02 4.533393565570131614e+02 4.597011401633329797e+02 4.667438621435269965e+02 4.721988708928138863e+02 4.745360357281086294e+02 4.749313501130725967e+02 4.749196148031399503e+02 4.748381300594683125e+02 4.747558427728736774e+02 4.746849683502395010e+02 4.746311628203420128e+02 4.745772774529514209e+02 4.745532190871224998e+02 4.744937362499935034e+02
5.094293625042201370e+02 4.222904136926683236e+02 4.251447553116873905e+02 4.310591176367015578e+02 4.402593081268321384e+02 4.484912660723514364e+02 4.558406322912420592e+02 4.623462032802888757e+02 4.637821653125611192e+02 4.638909875068260362e+02 4.638214400797036774e+02 4.637436662635462881e+02 4.636769376614778935e+02 4.636160800662184442e+02 4.635595615473972089e+02 4.634981585589400765e+02
5.594293625042200802e+02 4.272469086570537229e+02 4.274568680344873428e+02 4.323124773954928060e+02 4.414095690795560358e+02 4.502572036756558305e+02 4.589054113183710797e+02 4.616767448269339980e+02 4.619278142771296984e+02 4.618845238223128717e+02 4.618093031880619037e+02 4.617386769694200552e+02 4.616759364239712795e+02 4.616200626151190818e+02 4.615565715628758880e+02 4.614980035891954344e+02
6.094293625042200802e+02 4.346787216976273385e+02 4.334706963156920665e+02 4.385345623306563425e+02 4.486167645805327879e+02 4.587957063180708133e+02 4.616354596503334164e+02 4.618976047416547885e+02 4.618540441440508744e+02 4.617807791526366827e+02 4.617108360560175697e+02 4.616469959926531033e+02 4.615899671139432030e+02 4.615389124945310186e+02 4.614789515450452768e+02 4.614224081085609441e+02
6.594293625042200802e+02 4.400149561397231537e+02 4.391085336578621536e+02 4.435931765434744989e+02 4.522922856777769312e+02 4.605327533430883022e+02 4.618106843357906541e+02 4.619065897833534677e+02 4.618450819376906793e+02 4.617719012843500082e+02 4.617029576282066614e+02 4.616399333070002626e+02 4.615832264604885609e+02 4.615326949816559363e+02 4.614717152031945488e+02 4.614158894962294539e+02
